period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,72000,72000,,,0.0,0.0,0,0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,14250,14250,,,-4153,-4153,802.0,802.0,1884,1884,869.0,869.0,-598.0,71402.0,-598.0,-598.0,,,-4032.0,-4032.0,779.0,779.0,1829.0,1829.0,844.0,844.0,-580.0,71420.0,-580.0,-580.0,3.08,12.9
2,2.0,2.0,14250,28500,,,,,802.0,1604.0,1884,3768,869.0,1738.0,3555.0,74958.0,3555.0,2958.0,,,,,756.0,1535.0,1776.0,3605.0,819.0,1663.0,3351.0,74771.0,3351.0,2771.0,3.08,15.98
3,3.0,3.0,14250,42750,,,,,802.0,2406.0,1884,5652,869.0,2608.0,3555.0,78513.0,3555.0,6513.0,,,,,734.0,2269.0,1724.0,5329.0,795.0,2459.0,3254.0,78025.0,3254.0,6025.0,3.08,19.06
4,4.0,4.0,14250,57000,,,,,802.0,3208.0,1884,7536,869.0,3477.0,3555.0,82068.0,3555.0,10068.0,,,,,713.0,2981.0,1674.0,7003.0,772.0,3231.0,3159.0,81183.0,3159.0,9183.0,3.08,22.15
5,5.0,5.0,14250,71250,,,,,802.0,4010.0,1884,9420,869.0,4346.0,3555.0,85624.0,3555.0,13624.0,,,,,692.0,3673.0,1625.0,8628.0,750.0,3981.0,3067.0,84250.0,3067.0,12250.0,3.08,25.23
6,6.0,6.0,14250,85500,,,,,802.0,4812.0,1884,11304,869.0,5216.0,3555.0,89179.0,3555.0,17179.0,,,,,672.0,4345.0,1578.0,10206.0,728.0,4709.0,2978.0,87228.0,2978.0,15228.0,3.08,28.31
7,7.0,7.0,14250,99750,,,,,802.0,5614.0,1884,13188,869.0,6085.0,3555.0,92734.0,3555.0,20734.0,,,,,652.0,4997.0,1532.0,11738.0,707.0,5416.0,2891.0,90119.0,2891.0,18119.0,3.08,31.39
8,8.0,8.0,14250,114000,,,,,802.0,6416.0,1884,15072,869.0,6954.0,3555.0,96289.0,3555.0,24289.0,,,,,633.0,5630.0,1487.0,13225.0,686.0,6102.0,2807.0,92925.0,2807.0,20925.0,3.08,34.47
9,9.0,9.0,14250,128250,,,,,802.0,7219.0,1884,16956,869.0,7823.0,3555.0,99845.0,3555.0,27845.0,,,,,615.0,6245.0,1444.0,14669.0,666.0,6768.0,2725.0,95650.0,2725.0,23650.0,3.08,37.55
10,10.0,10.0,14250,142500,,,,,802.0,8021.0,1884,18840,869.0,8692.0,3555.0,103400.0,3555.0,31400.0,,,,,597.0,6842.0,1402.0,16071.0,647.0,7415.0,2645.0,98295.0,2645.0,26295.0,3.08,40.63
11,11.0,11.0,14250,156750,,,,,802.0,8823.0,1884,20724,869.0,9562.0,3555.0,106955.0,3555.0,34955.0,,,,,579.0,7421.0,1361.0,17432.0,628.0,8043.0,2568.0,100864.0,2568.0,28864.0,3.08,43.71
11.5,11.5,11.5,7125,163875,,,,,401.0,9224.0,942,21666,435.0,9996.0,1778.0,108733.0,1778.0,36733.0,,,,,285.0,7707.0,671.0,18102.0,309.0,8352.0,1265.0,102129.0,1265.0,30129.0,1.54,45.25
post-use,11.5,12.65,0,163875,0,72000,0,-4153,0.0,9224.0,0,21666,0.0,9996.0,0.0,108733.0,0.0,36733.0,0,72000,0.0,-4032.0,0.0,7707.0,0.0,18102.0,0.0,8352.0,0.0,102129.0,0.0,30129.0,0.0,45.25
