period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,719.0,719.0,1884.0,1884.0,702.0,702.0,-4195.0,67805.0,-4195.0,-4195.0,,,-7143.0,-7143.0,685.0,685.0,1794.0,1794.0,668.0,668.0,-3995.0,68005.0,-3995.0,-3995.0,2.34,12.16
2,2.0,2.0,11500.0,23000,,,,,719.0,1439.0,1884.0,3768.0,702.0,1403.0,3305.0,71110.0,3305.0,-890.0,,,,,652.0,1337.0,1709.0,3503.0,636.0,1304.0,2998.0,71002.0,2998.0,-998.0,2.34,14.49
3,3.0,3.0,11500.0,34500,,,,,719.0,2158.0,1884.0,5652.0,702.0,2104.0,3305.0,74414.0,3305.0,2414.0,,,,,621.0,1959.0,1627.0,5131.0,606.0,1910.0,2855.0,73857.0,2855.0,1857.0,2.34,16.83
4,4.0,4.0,11500.0,46000,,,,,719.0,2877.0,1884.0,7536.0,702.0,2806.0,3305.0,77719.0,3305.0,5719.0,,,,,592.0,2551.0,1550.0,6681.0,577.0,2487.0,2719.0,76576.0,2719.0,4576.0,2.34,19.17
5,5.0,5.0,11500.0,57500,,,,,719.0,3597.0,1884.0,9420.0,702.0,3508.0,3305.0,81024.0,3305.0,9024.0,,,,,564.0,3114.0,1476.0,8157.0,550.0,3037.0,2589.0,79165.0,2589.0,7165.0,2.34,21.5
6,6.0,6.0,11500.0,69000,,,,,719.0,4316.0,1884.0,11304.0,702.0,4209.0,3305.0,84329.0,3305.0,12329.0,,,,,537.0,3651.0,1406.0,9563.0,523.0,3561.0,2466.0,81631.0,2466.0,9631.0,2.34,23.84
7,7.0,7.0,11500.0,80500,,,,,719.0,5035.0,1884.0,13188.0,702.0,4910.0,3305.0,87634.0,3305.0,15634.0,,,,,511.0,4162.0,1339.0,10902.0,499.0,4059.0,2349.0,83980.0,2349.0,11980.0,2.34,26.18
8,8.0,8.0,11500.0,92000,,,,,719.0,5754.0,1884.0,15072.0,702.0,5612.0,3305.0,90938.0,3305.0,18938.0,,,,,487.0,4649.0,1275.0,12177.0,475.0,4534.0,2237.0,86217.0,2237.0,14217.0,2.34,28.51
8.9,8.9,8.9,10350.000000000004,102350,,,,,647.0,6402.0,1696.0,16768.0,631.0,6243.0,2974.0,93913.0,2974.0,21913.0,,,,,419.0,5068.0,1098.0,13275.0,409.0,4943.0,1927.0,88143.0,1927.0,16143.0,2.1,30.62
post-use,8.9,9.790000000000001,0.0,102350,0,72000,0,-7500,0.0,6402.0,0.0,16768.0,0.0,6243.0,0.0,93913.0,0.0,21913.0,0,72000,0.0,-7143.0,0.0,5068.0,0.0,13275.0,0.0,4943.0,0.0,88143.0,0.0,16143.0,0.0,30.62
