period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,72000,72000,,,0.0,0.0,0,0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1,1.0,13250,13250,,,-1389.0,-1389.0,858.0,858.0,1884,1884,808.0,808.0,2162.0,74162.0,2162.0,2162.0,,,-1323.0,-1323.0,817.0,817.0,1794.0,1794.0,770.0,770.0,2059.0,74059.0,2059.0,2059.0,2.69,12.51
2,2,2.0,13250,26500,,,,,858.0,1716.0,1884,3768,808.0,1616.0,3550.0,77712.0,3550.0,5712.0,,,,,778.0,1595.0,1709.0,3503.0,733.0,1503.0,3220.0,77279.0,3220.0,5279.0,2.69,15.21
3,3,3.0,13250,39750,,,,,858.0,2574.0,1884,5652,808.0,2425.0,3550.0,81262.0,3550.0,9262.0,,,,,741.0,2336.0,1627.0,5131.0,698.0,2201.0,3067.0,80346.0,3067.0,8346.0,2.69,17.9
4,4,4.0,13250,53000,,,,,858.0,3432.0,1884,7536,808.0,3233.0,3550.0,84812.0,3550.0,12812.0,,,,,706.0,3042.0,1550.0,6681.0,665.0,2866.0,2921.0,83266.0,2921.0,11266.0,2.69,20.59
5,5,5.0,13250,66250,,,,,858.0,4290.0,1884,9420,808.0,4041.0,3550.0,88362.0,3550.0,16362.0,,,,,672.0,3715.0,1476.0,8157.0,633.0,3499.0,2782.0,86048.0,2782.0,14048.0,2.69,23.28
6,6,6.0,13250,79500,,,,,858.0,5148.0,1884,11304,808.0,4850.0,3550.0,91913.0,3550.0,19913.0,,,,,640.0,4355.0,1406.0,9563.0,603.0,4102.0,2649.0,88697.0,2649.0,16697.0,2.69,25.97
7,7,7.0,13250,92750,,,,,858.0,6006.0,1884,13188,808.0,5658.0,3550.0,95463.0,3550.0,23463.0,,,,,610.0,4965.0,1339.0,10902.0,574.0,4677.0,2523.0,91220.0,2523.0,19220.0,2.69,28.67
8,8,8.0,13250,106000,,,,,858.0,6864.0,1884,15072,808.0,6466.0,3550.0,99013.0,3550.0,27013.0,,,,,581.0,5545.0,1275.0,12177.0,547.0,5224.0,2403.0,93623.0,2403.0,21623.0,2.69,31.36
9,9,9.0,13250,119250,,,,,858.0,7722.0,1884,16956,808.0,7274.0,3550.0,102563.0,3550.0,30563.0,,,,,553.0,6098.0,1214.0,13391.0,521.0,5745.0,2288.0,95912.0,2288.0,23912.0,2.69,34.05
10,10,10.0,13250,132500,,,,,858.0,8580.0,1884,18840,808.0,8082.0,3550.0,106113.0,3550.0,34113.0,,,,,527.0,6625.0,1157.0,14548.0,496.0,6241.0,2180.0,98091.0,2180.0,26091.0,2.69,36.74
11,11,11.0,13250,145750,,,,,858.0,9438.0,1884,20724,808.0,8891.0,3550.0,109664.0,3550.0,37664.0,,,,,502.0,7127.0,1102.0,15649.0,473.0,6714.0,2076.0,100167.0,2076.0,28167.0,2.69,39.43
12,12,12.0,13250,159000,,,,,858.0,10296.0,1884,22608,808.0,9699.0,3550.0,113214.0,3550.0,41214.0,,,,,478.0,7604.0,1049.0,16698.0,450.0,7164.0,1977.0,102144.0,1977.0,30144.0,2.69,42.12
13,13,13.0,13250,172250,,,,,858.0,11154.0,1884,24492,808.0,10507.0,3550.0,116764.0,3550.0,44764.0,,,,,455.0,8059.0,999.0,17697.0,429.0,7592.0,1883.0,104027.0,1883.0,32027.0,2.69,44.82
post-use,13,14.3,0,172250,0,72000,0.0,-1389.0,0.0,11154.0,0,24492,0.0,10507.0,0.0,116764.0,0.0,44764.0,0,72000,0.0,-1323.0,0.0,8059.0,0.0,17697.0,0.0,7592.0,0.0,104027.0,0.0,32027.0,0.0,44.82
