period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,72000,72000,,,0.0,0.0,0,0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1,1.0,13250,13250,,,-1389.0,-1389.0,858.0,858.0,1884,1884,808.0,808.0,2162.0,74162.0,2162.0,2162.0,,,-1208.0,-1208.0,746.0,746.0,1638.0,1638.0,703.0,703.0,1880.0,73880.0,1880.0,1880.0,2.69,12.51
2,2,2.0,13250,26500,,,,,858.0,1716.0,1884,3768,808.0,1616.0,3550.0,77712.0,3550.0,5712.0,,,,,649.0,1395.0,1425.0,3063.0,611.0,1314.0,2684.0,76564.0,2684.0,4564.0,2.69,15.21
3,3,3.0,13250,39750,,,,,858.0,2574.0,1884,5652,808.0,2425.0,3550.0,81262.0,3550.0,9262.0,,,,,564.0,1959.0,1239.0,4302.0,531.0,1845.0,2334.0,78898.0,2334.0,6898.0,2.69,17.9
4,4,4.0,13250,53000,,,,,858.0,3432.0,1884,7536,808.0,3233.0,3550.0,84812.0,3550.0,12812.0,,,,,491.0,2449.0,1077.0,5379.0,462.0,2308.0,2030.0,80928.0,2030.0,8928.0,2.69,20.59
5,5,5.0,13250,66250,,,,,858.0,4290.0,1884,9420,808.0,4041.0,3550.0,88362.0,3550.0,16362.0,,,,,427.0,2876.0,937.0,6315.0,402.0,2709.0,1765.0,82693.0,1765.0,10693.0,2.69,23.28
6,6,6.0,13250,79500,,,,,858.0,5148.0,1884,11304,808.0,4850.0,3550.0,91913.0,3550.0,19913.0,,,,,371.0,3247.0,815.0,7130.0,349.0,3059.0,1535.0,84228.0,1535.0,12228.0,2.69,25.97
7,7,7.0,13250,92750,,,,,858.0,6006.0,1884,13188,808.0,5658.0,3550.0,95463.0,3550.0,23463.0,,,,,323.0,3569.0,708.0,7838.0,304.0,3363.0,1335.0,85563.0,1335.0,13563.0,2.69,28.67
8,8,8.0,13250,106000,,,,,858.0,6864.0,1884,15072,808.0,6466.0,3550.0,99013.0,3550.0,27013.0,,,,,280.0,3850.0,616.0,8454.0,264.0,3627.0,1161.0,86723.0,1161.0,14723.0,2.69,31.36
9,9,9.0,13250,119250,,,,,858.0,7722.0,1884,16956,808.0,7274.0,3550.0,102563.0,3550.0,30563.0,,,,,244.0,4094.0,536.0,8990.0,230.0,3857.0,1009.0,87733.0,1009.0,15733.0,2.69,34.05
10,10,10.0,13250,132500,,,,,858.0,8580.0,1884,18840,808.0,8082.0,3550.0,106113.0,3550.0,34113.0,,,,,212.0,4306.0,466.0,9455.0,200.0,4056.0,878.0,88610.0,878.0,16610.0,2.69,36.74
11,11,11.0,13250,145750,,,,,858.0,9438.0,1884,20724,808.0,8891.0,3550.0,109664.0,3550.0,37664.0,,,,,184.0,4490.0,405.0,9860.0,174.0,4230.0,763.0,89373.0,763.0,17373.0,2.69,39.43
12,12,12.0,13250,159000,,,,,858.0,10296.0,1884,22608,808.0,9699.0,3550.0,113214.0,3550.0,41214.0,,,,,160.0,4651.0,352.0,10212.0,151.0,4381.0,664.0,90037.0,664.0,18037.0,2.69,42.12
13,13,13.0,13250,172250,,,,,858.0,11154.0,1884,24492,808.0,10507.0,3550.0,116764.0,3550.0,44764.0,,,,,139.0,4790.0,306.0,10519.0,131.0,4513.0,577.0,90614.0,577.0,18614.0,2.69,44.82
post-use,13,14.3,0,172250,0,72000,0.0,-1389.0,0.0,11154.0,0,24492,0.0,10507.0,0.0,116764.0,0.0,44764.0,0,72000,0.0,-1208.0,0.0,4790.0,0.0,10519.0,0.0,4513.0,0.0,90614.0,0.0,18614.0,0.0,44.82
