period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,64207,64207,,,0.0,0.0,0,0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,3012.0,3012.0,1788,1788,1439.0,1439.0,6239.0,70446.0,6239.0,6239.0,,,,,2868.0,2868.0,1703.0,1703.0,1371.0,1371.0,5942.0,70149.0,5942.0,5942.0,6.57,12.04
2,2.0,2.0,14250,28500,,,,,3012.0,6023.0,1788,3576,1439.0,2878.0,6239.0,76685.0,6239.0,12478.0,,,,,2732.0,5600.0,1622.0,3325.0,1305.0,2676.0,5659.0,75808.0,5659.0,11601.0,6.57,18.61
3,3.0,3.0,14250,42750,,,,,3012.0,9035.0,1788,5364,1439.0,4318.0,6239.0,82924.0,6239.0,18717.0,,,,,2602.0,8202.0,1545.0,4869.0,1243.0,3919.0,5389.0,81197.0,5389.0,16990.0,6.57,25.18
4,4.0,4.0,14250,57000,,,,,3012.0,12047.0,1788,7152,1439.0,5757.0,6239.0,89163.0,6239.0,24956.0,,,,,2478.0,10679.0,1471.0,6340.0,1184.0,5104.0,5133.0,86330.0,5133.0,22123.0,6.57,31.75
5,5.0,5.0,14250,71250,,,,,3012.0,15058.0,1788,8940,1439.0,7196.0,6239.0,95402.0,6239.0,31195.0,,,,,2360.0,13039.0,1401.0,7741.0,1128.0,6231.0,4888.0,91218.0,4888.0,27011.0,6.57,38.32
6,6.0,6.0,14250,85500,,,,,3012.0,18070.0,1788,10728,1439.0,8636.0,6239.0,101640.0,6239.0,37433.0,,,,,2247.0,15286.0,1334.0,9075.0,1074.0,7305.0,4656.0,95874.0,4656.0,31667.0,6.57,44.89
7,7.0,7.0,14250,99750,,,,,3012.0,21082.0,1788,12516,1439.0,10075.0,6239.0,107879.0,6239.0,43672.0,,,,,2140.0,17427.0,1271.0,10346.0,1023.0,8328.0,4434.0,100308.0,4434.0,36101.0,6.57,51.46
8,8.0,8.0,14250,114000,,,,,3012.0,24093.0,1788,14304,1439.0,11514.0,6239.0,114118.0,6239.0,49911.0,,,,,2038.0,19465.0,1210.0,11556.0,974.0,9302.0,4223.0,104530.0,4223.0,40323.0,6.57,58.03
9,9.0,9.0,14250,128250,,,,,3012.0,27105.0,1788,16092,1439.0,12953.0,6239.0,120357.0,6239.0,56150.0,,,,,1941.0,21406.0,1153.0,12709.0,928.0,10230.0,4022.0,108552.0,4022.0,44345.0,6.57,64.6
10,10.0,10.0,14250,142500,,,,,3012.0,30117.0,1788,17880,1439.0,14392.0,6239.0,126596.0,6239.0,62389.0,,,,,1849.0,23255.0,1098.0,13806.0,884.0,11114.0,3830.0,112382.0,3830.0,48175.0,6.57,71.17
11,11.0,11.0,14250,156750,,,,,3012.0,33128.0,1788,19668,1439.0,15832.0,6239.0,132835.0,6239.0,68628.0,,,,,1761.0,25016.0,1045.0,14852.0,841.0,11955.0,3648.0,116030.0,3648.0,51823.0,6.57,77.74
11.5,11.5,11.5,7125,163875,,,,,1506.0,34634.0,894,20562,720.0,16551.0,3119.0,135955.0,3119.0,71748.0,,,,,859.0,25875.0,510.0,15362.0,411.0,12366.0,1780.0,117810.0,1780.0,53603.0,3.29,81.03
post-use,11.5,12.65,0,163875,0,64207,0,0,0.0,34634.0,0,20562,0.0,16551.0,0.0,135955.0,0.0,71748.0,0,64207,0,0,0.0,25875.0,0.0,15362.0,0.0,12366.0,0.0,117810.0,0.0,53603.0,0.0,81.03
