period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,64207,64207,,,0.0,0.0,0,0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.47,5.47
1,1,1.0,13250,13250,,,,,2772.0,2772.0,1788,1788,1338.0,1338.0,5899.0,70106.0,5899.0,5899.0,,,,,2640.0,2640.0,1703.0,1703.0,1275.0,1275.0,5618.0,69825.0,5618.0,5618.0,6.11,11.58
2,2,2.0,13250,26500,,,,,2772.0,5545.0,1788,3576,1338.0,2676.0,5899.0,76004.0,5899.0,11797.0,,,,,2515.0,5155.0,1622.0,3325.0,1214.0,2488.0,5350.0,75175.0,5350.0,10968.0,6.11,17.69
3,3,3.0,13250,39750,,,,,2772.0,8317.0,1788,5364,1338.0,4015.0,5899.0,81903.0,5899.0,17696.0,,,,,2395.0,7550.0,1545.0,4869.0,1156.0,3644.0,5095.0,80270.0,5095.0,16063.0,6.11,23.8
4,4,4.0,13250,53000,,,,,2772.0,11089.0,1788,7152,1338.0,5353.0,5899.0,87801.0,5899.0,23594.0,,,,,2281.0,9830.0,1471.0,6340.0,1101.0,4745.0,4853.0,85123.0,4853.0,20916.0,6.11,29.91
5,5,5.0,13250,66250,,,,,2772.0,13862.0,1788,8940,1338.0,6691.0,5899.0,93700.0,5899.0,29493.0,,,,,2172.0,12003.0,1401.0,7741.0,1049.0,5794.0,4622.0,89745.0,4622.0,25538.0,6.11,36.02
6,6,6.0,13250,79500,,,,,2772.0,16634.0,1788,10728,1338.0,8030.0,5899.0,99598.0,5899.0,35391.0,,,,,2069.0,14071.0,1334.0,9075.0,999.0,6793.0,4402.0,94146.0,4402.0,29939.0,6.11,42.12
7,7,7.0,13250,92750,,,,,2772.0,19406.0,1788,12516,1338.0,9368.0,5899.0,105497.0,5899.0,41290.0,,,,,1970.0,16042.0,1271.0,10346.0,951.0,7744.0,4192.0,98338.0,4192.0,34131.0,6.11,48.23
8,8,8.0,13250,106000,,,,,2772.0,22179.0,1788,14304,1338.0,10706.0,5899.0,111396.0,5899.0,47189.0,,,,,1876.0,17918.0,1210.0,11556.0,906.0,8649.0,3992.0,102331.0,3992.0,38124.0,6.11,54.34
9,9,9.0,13250,119250,,,,,2772.0,24951.0,1788,16092,1338.0,12044.0,5899.0,117294.0,5899.0,53087.0,,,,,1787.0,19705.0,1153.0,12709.0,863.0,9512.0,3802.0,106133.0,3802.0,41926.0,6.11,60.45
10,10,10.0,13250,132500,,,,,2772.0,27723.0,1788,17880,1338.0,13382.0,5899.0,123193.0,5899.0,58986.0,,,,,1702.0,21407.0,1098.0,13806.0,822.0,10334.0,3621.0,109754.0,3621.0,45547.0,6.11,66.56
11,11,11.0,13250,145750,,,,,2772.0,30495.0,1788,19668,1338.0,14721.0,5899.0,129091.0,5899.0,64884.0,,,,,1621.0,23028.0,1045.0,14852.0,782.0,11116.0,3449.0,113203.0,3449.0,48996.0,6.11,72.67
12,12,12.0,13250,159000,,,,,2772.0,33268.0,1788,21456,1338.0,16059.0,5899.0,134990.0,5899.0,70783.0,,,,,1544.0,24572.0,996.0,15847.0,745.0,11861.0,3285.0,116487.0,3285.0,52280.0,6.11,78.78
13,13,13.0,13250,172250,,,,,2772.0,36040.0,1788,23244,1338.0,17397.0,5899.0,140888.0,5899.0,76681.0,,,,,1470.0,26042.0,948.0,16796.0,710.0,12571.0,3128.0,119616.0,3128.0,55409.0,6.11,84.89
post-use,13,14.3,0,172250,0,64207,0,0,0.0,36040.0,0,23244,0.0,17397.0,0.0,140888.0,0.0,76681.0,0,64207,0,0,0.0,26042.0,0.0,16796.0,0.0,12571.0,0.0,119616.0,0.0,55409.0,0.0,84.89
