period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.47,5.47
1,1.0,1.0,11500.0,11500,,,,,2406.0,2406.0,1788.0,1788.0,1162.0,1162.0,5356.0,69563.0,5356.0,5356.0,,,,,1344.0,1344.0,999.0,999.0,649.0,649.0,2992.0,67199.0,2992.0,2992.0,5.3,10.77
2,2.0,2.0,11500.0,23000,,,,,2406.0,4812.0,1788.0,3576.0,1162.0,2323.0,5356.0,74918.0,5356.0,10711.0,,,,,751.0,2095.0,558.0,1557.0,363.0,1011.0,1672.0,68870.0,1672.0,4663.0,5.3,16.07
3,3.0,3.0,11500.0,34500,,,,,2406.0,7218.0,1788.0,5364.0,1162.0,3484.0,5356.0,80274.0,5356.0,16067.0,,,,,420.0,2515.0,312.0,1869.0,203.0,1214.0,934.0,69804.0,934.0,5597.0,5.3,21.38
4,4.0,4.0,11500.0,46000,,,,,2406.0,9625.0,1788.0,7152.0,1162.0,4646.0,5356.0,85630.0,5356.0,21423.0,,,,,234.0,2749.0,174.0,2043.0,113.0,1327.0,522.0,70326.0,522.0,6119.0,5.3,26.68
5,5.0,5.0,11500.0,57500,,,,,2406.0,12031.0,1788.0,8940.0,1162.0,5808.0,5356.0,90985.0,5356.0,26778.0,,,,,131.0,2880.0,97.0,2140.0,63.0,1390.0,291.0,70617.0,291.0,6410.0,5.3,31.98
6,6.0,6.0,11500.0,69000,,,,,2406.0,14437.0,1788.0,10728.0,1162.0,6969.0,5356.0,96341.0,5356.0,32134.0,,,,,73.0,2953.0,54.0,2194.0,35.0,1426.0,163.0,70780.0,163.0,6573.0,5.3,37.28
7,7.0,7.0,11500.0,80500,,,,,2406.0,16843.0,1788.0,12516.0,1162.0,8130.0,5356.0,101697.0,5356.0,37490.0,,,,,41.0,2994.0,30.0,2225.0,20.0,1445.0,91.0,70871.0,91.0,6664.0,5.3,42.59
8,8.0,8.0,11500.0,92000,,,,,2406.0,19249.0,1788.0,14304.0,1162.0,9292.0,5356.0,107052.0,5356.0,42845.0,,,,,23.0,3017.0,17.0,2242.0,11.0,1456.0,51.0,70922.0,51.0,6715.0,5.3,47.89
8.9,8.9,8.9,10350.000000000004,102350,,,,,2166.0,21415.0,1609.0,15913.0,1045.0,10337.0,4820.0,111872.0,4820.0,47665.0,,,,,12.0,3029.0,9.0,2251.0,6.0,1462.0,27.0,70949.0,27.0,6742.0,4.77,52.66
post-use,8.9,9.790000000000001,0.0,102350,0,64207,0,0,0.0,21415.0,0.0,15913.0,0.0,10337.0,0.0,111872.0,0.0,47665.0,0,64207,0,0,0.0,3029.0,0.0,2251.0,0.0,1462.0,0.0,70949.0,0.0,6742.0,0.0,52.66
