period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.47,5.47
1,1.0,1.0,11500.0,11500,,,,,2087.0,2087.0,1788.0,1788.0,1162.0,1162.0,5036.0,69243.0,5036.0,5036.0,,,,,1987.0,1987.0,1703.0,1703.0,1106.0,1106.0,4796.0,69003.0,4796.0,4796.0,5.3,10.77
2,2.0,2.0,11500.0,23000,,,,,2087.0,4173.0,1788.0,3576.0,1162.0,2323.0,5036.0,74279.0,5036.0,10072.0,,,,,1893.0,3880.0,1622.0,3325.0,1054.0,2160.0,4568.0,73571.0,4568.0,9364.0,5.3,16.07
3,3.0,3.0,11500.0,34500,,,,,2087.0,6260.0,1788.0,5364.0,1162.0,3484.0,5036.0,79315.0,5036.0,15108.0,,,,,1803.0,5682.0,1545.0,4869.0,1003.0,3163.0,4350.0,77922.0,4350.0,13715.0,5.3,21.38
4,4.0,4.0,11500.0,46000,,,,,2087.0,8347.0,1788.0,7152.0,1162.0,4646.0,5036.0,84352.0,5036.0,20145.0,,,,,1717.0,7399.0,1471.0,6340.0,956.0,4119.0,4143.0,82065.0,4143.0,17858.0,5.3,26.68
5,5.0,5.0,11500.0,57500,,,,,2087.0,10433.0,1788.0,8940.0,1162.0,5808.0,5036.0,89388.0,5036.0,25181.0,,,,,1635.0,9034.0,1401.0,7741.0,910.0,5029.0,3946.0,86011.0,3946.0,21804.0,5.3,31.98
6,6.0,6.0,11500.0,69000,,,,,2087.0,12520.0,1788.0,10728.0,1162.0,6969.0,5036.0,94424.0,5036.0,30217.0,,,,,1557.0,10591.0,1334.0,9075.0,867.0,5895.0,3758.0,89769.0,3758.0,25562.0,5.3,37.28
7,7.0,7.0,11500.0,80500,,,,,2087.0,14607.0,1788.0,12516.0,1162.0,8130.0,5036.0,99460.0,5036.0,35253.0,,,,,1483.0,12074.0,1271.0,10346.0,825.0,6721.0,3579.0,93348.0,3579.0,29141.0,5.3,42.59
8,8.0,8.0,11500.0,92000,,,,,2087.0,16693.0,1788.0,14304.0,1162.0,9292.0,5036.0,104496.0,5036.0,40289.0,,,,,1412.0,13486.0,1210.0,11556.0,786.0,7507.0,3409.0,96757.0,3409.0,32550.0,5.3,47.89
8.9,8.9,8.9,10350.000000000004,102350,,,,,1878.0,18571.0,1609.0,15913.0,1045.0,10337.0,4533.0,109029.0,4533.0,44822.0,,,,,1216.0,14703.0,1042.0,12599.0,677.0,8184.0,2936.0,99693.0,2936.0,35486.0,4.77,52.66
post-use,8.9,9.790000000000001,0.0,102350,0,64207,0,0,0.0,18571.0,0.0,15913.0,0.0,10337.0,0.0,109029.0,0.0,44822.0,0,64207,0,0,0.0,14703.0,0.0,12599.0,0.0,8184.0,0.0,99693.0,0.0,35486.0,0.0,52.66
