period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,64207,64207,,,0.0,0.0,0,0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000,13000,,,,,3122.0,3122.0,1788,1788,1313.0,1313.0,6223.0,70430.0,6223.0,6223.0,,,,,2973.0,2973.0,1703.0,1703.0,1250.0,1250.0,5927.0,70134.0,5927.0,5927.0,5.99,11.46
2,2.0,2.0,13000,26000,,,,,3122.0,6244.0,1788,3576,1313.0,2626.0,6223.0,76653.0,6223.0,12446.0,,,,,2832.0,5805.0,1622.0,3325.0,1191.0,2441.0,5645.0,75778.0,5645.0,11571.0,5.99,17.46
3,3.0,3.0,13000,39000,,,,,3122.0,9366.0,1788,5364,1313.0,3939.0,6223.0,82876.0,6223.0,18669.0,,,,,2697.0,8502.0,1545.0,4869.0,1134.0,3576.0,5376.0,81154.0,5376.0,16947.0,5.99,23.45
4,4.0,4.0,13000,52000,,,,,3122.0,12488.0,1788,7152,1313.0,5252.0,6223.0,89099.0,6223.0,24892.0,,,,,2569.0,11071.0,1471.0,6340.0,1080.0,4656.0,5120.0,86274.0,5120.0,22067.0,5.99,29.45
5,5.0,5.0,13000,65000,,,,,3122.0,15610.0,1788,8940,1313.0,6565.0,6223.0,95322.0,6223.0,31115.0,,,,,2446.0,13517.0,1401.0,7741.0,1029.0,5685.0,4876.0,91150.0,4876.0,26943.0,5.99,35.44
6,6.0,6.0,13000,78000,,,,,3122.0,18732.0,1788,10728,1313.0,7878.0,6223.0,101545.0,6223.0,37338.0,,,,,2330.0,15847.0,1334.0,9075.0,980.0,6664.0,4644.0,95793.0,4644.0,31586.0,5.99,41.43
7,7.0,7.0,13000,91000,,,,,3122.0,21855.0,1788,12516,1313.0,9191.0,6223.0,107769.0,6223.0,43562.0,,,,,2219.0,18066.0,1271.0,10346.0,933.0,7598.0,4423.0,100216.0,4423.0,36009.0,5.99,47.43
8,8.0,8.0,13000,104000,,,,,3122.0,24977.0,1788,14304,1313.0,10504.0,6223.0,113992.0,6223.0,49785.0,,,,,2113.0,20179.0,1210.0,11556.0,889.0,8486.0,4212.0,104428.0,4212.0,40221.0,5.99,53.42
9,9.0,9.0,13000,117000,,,,,3122.0,28099.0,1788,16092,1313.0,11817.0,6223.0,120215.0,6223.0,56008.0,,,,,2013.0,22191.0,1153.0,12709.0,846.0,9333.0,4011.0,108440.0,4011.0,44233.0,5.99,59.41
10,10.0,10.0,13000,130000,,,,,3122.0,31221.0,1788,17880,1313.0,13130.0,6223.0,126438.0,6223.0,62231.0,,,,,1917.0,24108.0,1098.0,13806.0,806.0,10139.0,3820.0,112260.0,3820.0,48053.0,5.99,65.41
11,11.0,11.0,13000,143000,,,,,3122.0,34343.0,1788,19668,1313.0,14443.0,6223.0,132661.0,6223.0,68454.0,,,,,1825.0,25933.0,1045.0,14852.0,768.0,10906.0,3639.0,115898.0,3639.0,51691.0,5.99,71.4
11.5,11.5,11.5,6500,149500,,,,,1561.0,35904.0,894,20562,656.0,15100.0,3112.0,135772.0,3112.0,71565.0,,,,,891.0,26824.0,510.0,15362.0,375.0,11281.0,1775.0,117674.0,1775.0,53467.0,3.0,74.4
post-use,11.5,12.65,0,149500,0,64207,0,0,0.0,35904.0,0,20562,0.0,15100.0,0.0,135772.0,0.0,71565.0,0,64207,0,0,0.0,26824.0,0.0,15362.0,0.0,11281.0,0.0,117674.0,0.0,53467.0,0.0,74.4
