period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,1953.0,1953.0,1788.0,1788.0,1313.0,1313.0,5054.0,69261.0,5054.0,5054.0,,,,,1860.0,1860.0,1703.0,1703.0,1250.0,1250.0,4814.0,69021.0,4814.0,4814.0,5.99,11.46
2,2.0,2.0,13000.0,26000,,,,,1953.0,3907.0,1788.0,3576.0,1313.0,2626.0,5054.0,74316.0,5054.0,10109.0,,,,,1772.0,3632.0,1622.0,3325.0,1191.0,2441.0,4584.0,73605.0,4584.0,9398.0,5.99,17.46
3,3.0,3.0,13000.0,39000,,,,,1953.0,5860.0,1788.0,5364.0,1313.0,3939.0,5054.0,79370.0,5054.0,15163.0,,,,,1687.0,5320.0,1545.0,4869.0,1134.0,3576.0,4366.0,77971.0,4366.0,13764.0,5.99,23.45
4,4.0,4.0,13000.0,52000,,,,,1953.0,7814.0,1788.0,7152.0,1313.0,5252.0,5054.0,84425.0,5054.0,20218.0,,,,,1607.0,6927.0,1471.0,6340.0,1080.0,4656.0,4158.0,82130.0,4158.0,17923.0,5.99,29.45
5,5.0,5.0,13000.0,65000,,,,,1953.0,9767.0,1788.0,8940.0,1313.0,6565.0,5054.0,89479.0,5054.0,25272.0,,,,,1531.0,8457.0,1401.0,7741.0,1029.0,5685.0,3960.0,86090.0,3960.0,21883.0,5.99,35.44
6,6.0,6.0,13000.0,78000,,,,,1953.0,11720.0,1788.0,10728.0,1313.0,7878.0,5054.0,94533.0,5054.0,30326.0,,,,,1458.0,9915.0,1334.0,9075.0,980.0,6664.0,3772.0,89862.0,3772.0,25655.0,5.99,41.43
7,7.0,7.0,13000.0,91000,,,,,1953.0,13674.0,1788.0,12516.0,1313.0,9191.0,5054.0,99588.0,5054.0,35381.0,,,,,1388.0,11303.0,1271.0,10346.0,933.0,7598.0,3592.0,93454.0,3592.0,29247.0,5.99,47.43
8,8.0,8.0,13000.0,104000,,,,,1953.0,15627.0,1788.0,14304.0,1313.0,10504.0,5054.0,104642.0,5054.0,40435.0,,,,,1322.0,12625.0,1210.0,11556.0,889.0,8486.0,3421.0,96875.0,3421.0,32668.0,5.99,53.42
8.9,8.9,8.9,11700.000000000005,115700,,,,,1758.0,17385.0,1609.0,15913.0,1182.0,11686.0,4549.0,109191.0,4549.0,44984.0,,,,,1139.0,13764.0,1042.0,12599.0,765.0,9252.0,2947.0,99821.0,2947.0,35614.0,5.39,58.82
post-use,8.9,9.790000000000001,0.0,115700,0,64207,0,0,0.0,17385.0,0.0,15913.0,0.0,11686.0,0.0,109191.0,0.0,44984.0,0,64207,0,0,0.0,13764.0,0.0,12599.0,0.0,9252.0,0.0,99821.0,0.0,35614.0,0.0,58.82
