period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,64207,64207,,,0.0,0.0,0,0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.47,5.47
1,1,1.0,13250,13250,,,,,2556.0,2556.0,1788,1788,1338.0,1338.0,5683.0,69890.0,5683.0,5683.0,,,,,2435.0,2435.0,1703.0,1703.0,1275.0,1275.0,5412.0,69619.0,5412.0,5412.0,6.11,11.58
2,2,2.0,13250,26500,,,,,2556.0,5113.0,1788,3576,1338.0,2676.0,5683.0,75572.0,5683.0,11365.0,,,,,2319.0,4754.0,1622.0,3325.0,1214.0,2488.0,5154.0,74774.0,5154.0,10567.0,6.11,17.69
3,3,3.0,13250,39750,,,,,2556.0,7669.0,1788,5364,1338.0,4015.0,5683.0,81255.0,5683.0,17048.0,,,,,2208.0,6962.0,1545.0,4869.0,1156.0,3644.0,4909.0,79682.0,4909.0,15475.0,6.11,23.8
4,4,4.0,13250,53000,,,,,2556.0,10226.0,1788,7152,1338.0,5353.0,5683.0,86938.0,5683.0,22731.0,,,,,2103.0,9065.0,1471.0,6340.0,1101.0,4745.0,4675.0,84358.0,4675.0,20151.0,6.11,29.91
5,5,5.0,13250,66250,,,,,2556.0,12782.0,1788,8940,1338.0,6691.0,5683.0,92621.0,5683.0,28414.0,,,,,2003.0,11068.0,1401.0,7741.0,1049.0,5794.0,4453.0,88810.0,4453.0,24603.0,6.11,36.02
6,6,6.0,13250,79500,,,,,2556.0,15339.0,1788,10728,1338.0,8030.0,5683.0,98303.0,5683.0,34096.0,,,,,1908.0,12976.0,1334.0,9075.0,999.0,6793.0,4241.0,93051.0,4241.0,28844.0,6.11,42.12
7,7,7.0,13250,92750,,,,,2556.0,17895.0,1788,12516,1338.0,9368.0,5683.0,103986.0,5683.0,39779.0,,,,,1817.0,14793.0,1271.0,10346.0,951.0,7744.0,4039.0,97089.0,4039.0,32882.0,6.11,48.23
8,8,8.0,13250,106000,,,,,2556.0,20452.0,1788,14304,1338.0,10706.0,5683.0,109669.0,5683.0,45462.0,,,,,1730.0,16523.0,1210.0,11556.0,906.0,8649.0,3846.0,100936.0,3846.0,36729.0,6.11,54.34
9,9,9.0,13250,119250,,,,,2556.0,23008.0,1788,16092,1338.0,12044.0,5683.0,115352.0,5683.0,51145.0,,,,,1648.0,18171.0,1153.0,12709.0,863.0,9512.0,3663.0,104599.0,3663.0,40392.0,6.11,60.45
10,10,10.0,13250,132500,,,,,2556.0,25565.0,1788,17880,1338.0,13382.0,5683.0,121034.0,5683.0,56827.0,,,,,1569.0,19741.0,1098.0,13806.0,822.0,10334.0,3489.0,108088.0,3489.0,43881.0,6.11,66.56
11,11,11.0,13250,145750,,,,,2556.0,28121.0,1788,19668,1338.0,14721.0,5683.0,126717.0,5683.0,62510.0,,,,,1495.0,21235.0,1045.0,14852.0,782.0,11116.0,3323.0,111410.0,3323.0,47203.0,6.11,72.67
12,12,12.0,13250,159000,,,,,2556.0,30678.0,1788,21456,1338.0,16059.0,5683.0,132400.0,5683.0,68193.0,,,,,1424.0,22659.0,996.0,15847.0,745.0,11861.0,3164.0,114575.0,3164.0,50368.0,6.11,78.78
13,13,13.0,13250,172250,,,,,2556.0,33234.0,1788,23244,1338.0,17397.0,5683.0,138083.0,5683.0,73876.0,,,,,1356.0,24015.0,948.0,16796.0,710.0,12571.0,3014.0,117588.0,3014.0,53381.0,6.11,84.89
post-use,13,14.3,0,172250,0,64207,0,0,0.0,33234.0,0,23244,0.0,17397.0,0.0,138083.0,0.0,73876.0,0,64207,0,0,0.0,24015.0,0.0,16796.0,0.0,12571.0,0.0,117588.0,0.0,53381.0,0.0,84.89
