period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.47,5.47
1,1.0,1.0,11500.0,11500,,,,,2219.0,2219.0,1788.0,1788.0,1162.0,1162.0,5168.0,69375.0,5168.0,5168.0,,,,,2113.0,2113.0,1703.0,1703.0,1106.0,1106.0,4922.0,69129.0,4922.0,4922.0,5.3,10.77
2,2.0,2.0,11500.0,23000,,,,,2219.0,4438.0,1788.0,3576.0,1162.0,2323.0,5168.0,74544.0,5168.0,10337.0,,,,,2013.0,4126.0,1622.0,3325.0,1054.0,2160.0,4688.0,73817.0,4688.0,9610.0,5.3,16.07
3,3.0,3.0,11500.0,34500,,,,,2219.0,6657.0,1788.0,5364.0,1162.0,3484.0,5168.0,79712.0,5168.0,15505.0,,,,,1917.0,6042.0,1545.0,4869.0,1003.0,3163.0,4465.0,78282.0,4465.0,14075.0,5.3,21.38
4,4.0,4.0,11500.0,46000,,,,,2219.0,8875.0,1788.0,7152.0,1162.0,4646.0,5168.0,84880.0,5168.0,20673.0,,,,,1825.0,7868.0,1471.0,6340.0,956.0,4119.0,4252.0,82534.0,4252.0,18327.0,5.3,26.68
5,5.0,5.0,11500.0,57500,,,,,2219.0,11094.0,1788.0,8940.0,1162.0,5808.0,5168.0,90049.0,5168.0,25842.0,,,,,1739.0,9606.0,1401.0,7741.0,910.0,5029.0,4050.0,86583.0,4050.0,22376.0,5.3,31.98
6,6.0,6.0,11500.0,69000,,,,,2219.0,13313.0,1788.0,10728.0,1162.0,6969.0,5168.0,95217.0,5168.0,31010.0,,,,,1656.0,11262.0,1334.0,9075.0,867.0,5895.0,3857.0,90440.0,3857.0,26233.0,5.3,37.28
7,7.0,7.0,11500.0,80500,,,,,2219.0,15532.0,1788.0,12516.0,1162.0,8130.0,5168.0,100385.0,5168.0,36178.0,,,,,1577.0,12839.0,1271.0,10346.0,825.0,6721.0,3673.0,94113.0,3673.0,29906.0,5.3,42.59
8,8.0,8.0,11500.0,92000,,,,,2219.0,17751.0,1788.0,14304.0,1162.0,9292.0,5168.0,105554.0,5168.0,41347.0,,,,,1502.0,14341.0,1210.0,11556.0,786.0,7507.0,3498.0,97611.0,3498.0,33404.0,5.3,47.89
8.9,8.9,8.9,10350.000000000004,102350,,,,,1997.0,19748.0,1609.0,15913.0,1045.0,10337.0,4652.0,110205.0,4652.0,45998.0,,,,,1294.0,15634.0,1042.0,12599.0,677.0,8184.0,3013.0,100624.0,3013.0,36417.0,4.77,52.66
post-use,8.9,9.790000000000001,0.0,102350,0,64207,0,0,0.0,19748.0,0.0,15913.0,0.0,10337.0,0.0,110205.0,0.0,45998.0,0,64207,0,0,0.0,15634.0,0.0,12599.0,0.0,8184.0,0.0,100624.0,0.0,36417.0,0.0,52.66
