period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,12500.0,12500,,,-7500,-7500,683.0,683.0,1884.0,1884.0,762.0,762.0,-4170.0,71830.0,-4170.0,-4170.0,,,-7143.0,-7143.0,651.0,651.0,1794.0,1794.0,726.0,726.0,-3972.0,72028.0,-3972.0,-3972.0,0.83,10.66
2,2.0,2.0,12500.0,25000,,,,,683.0,1367.0,1884.0,3768.0,762.0,1525.0,3330.0,75160.0,3330.0,-840.0,,,,,620.0,1271.0,1709.0,3503.0,692.0,1418.0,3020.0,75049.0,3020.0,-951.0,0.83,11.49
3,3.0,3.0,12500.0,37500,,,,,683.0,2050.0,1884.0,5652.0,762.0,2288.0,3330.0,78490.0,3330.0,2490.0,,,,,590.0,1861.0,1627.0,5131.0,659.0,2076.0,2876.0,77925.0,2876.0,1925.0,0.83,12.33
4,4.0,4.0,12500.0,50000,,,,,683.0,2733.0,1884.0,7536.0,762.0,3050.0,3330.0,81819.0,3330.0,5819.0,,,,,562.0,2423.0,1550.0,6681.0,627.0,2704.0,2739.0,80665.0,2739.0,4665.0,0.83,13.16
5,5.0,5.0,12500.0,62500,,,,,683.0,3417.0,1884.0,9420.0,762.0,3812.0,3330.0,85149.0,3330.0,9149.0,,,,,535.0,2959.0,1476.0,8157.0,597.0,3301.0,2609.0,83274.0,2609.0,7274.0,0.83,14.0
6,6.0,6.0,12500.0,75000,,,,,683.0,4100.0,1884.0,11304.0,762.0,4575.0,3330.0,88479.0,3330.0,12479.0,,,,,510.0,3468.0,1406.0,9563.0,569.0,3870.0,2485.0,85758.0,2485.0,9758.0,0.83,14.83
7,7.0,7.0,12500.0,87500,,,,,683.0,4783.0,1884.0,13188.0,762.0,5338.0,3330.0,91809.0,3330.0,15809.0,,,,,486.0,3954.0,1339.0,10902.0,542.0,4412.0,2366.0,88125.0,2366.0,12125.0,0.83,15.67
8,8.0,8.0,12500.0,100000,,,,,683.0,5467.0,1884.0,15072.0,762.0,6100.0,3330.0,95139.0,3330.0,19139.0,,,,,463.0,4417.0,1275.0,12177.0,516.0,4928.0,2254.0,90379.0,2254.0,14379.0,0.83,16.5
8.9,8.9,8.9,11250.000000000004,111250,,,,,615.0,6082.0,1696.0,16768.0,686.0,6786.0,2997.0,98136.0,2997.0,22136.0,,,,,398.0,4815.0,1098.0,13275.0,445.0,5373.0,1941.0,92320.0,1941.0,16320.0,0.75,17.25
post-use,8.9,9.790000000000001,0.0,111250,0,76000,0,-7500,0.0,6082.0,0.0,16768.0,0.0,6786.0,0.0,98136.0,0.0,22136.0,0,76000,0.0,-7143.0,0.0,4815.0,0.0,13275.0,0.0,5373.0,0.0,92320.0,0.0,16320.0,0.0,17.25
