period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,676.0,676.0,1884.0,1884.0,702.0,702.0,-4238.0,71762.0,-4238.0,-4238.0,,,-7143.0,-7143.0,644.0,644.0,1794.0,1794.0,668.0,668.0,-4037.0,71963.0,-4037.0,-4037.0,0.77,10.59
2,2.0,2.0,11500.0,23000,,,,,676.0,1352.0,1884.0,3768.0,702.0,1403.0,3262.0,75023.0,3262.0,-977.0,,,,,613.0,1257.0,1709.0,3503.0,636.0,1304.0,2958.0,74922.0,2958.0,-1078.0,0.77,11.36
3,3.0,3.0,11500.0,34500,,,,,676.0,2028.0,1884.0,5652.0,702.0,2104.0,3262.0,78285.0,3262.0,2285.0,,,,,584.0,1841.0,1627.0,5131.0,606.0,1910.0,2817.0,77739.0,2817.0,1739.0,0.77,12.13
4,4.0,4.0,11500.0,46000,,,,,676.0,2704.0,1884.0,7536.0,702.0,2806.0,3262.0,81546.0,3262.0,5546.0,,,,,556.0,2397.0,1550.0,6681.0,577.0,2487.0,2683.0,80422.0,2683.0,4422.0,0.77,12.89
5,5.0,5.0,11500.0,57500,,,,,676.0,3380.0,1884.0,9420.0,702.0,3508.0,3262.0,84808.0,3262.0,8808.0,,,,,530.0,2927.0,1476.0,8157.0,550.0,3037.0,2556.0,82978.0,2556.0,6978.0,0.77,13.66
6,6.0,6.0,11500.0,69000,,,,,676.0,4056.0,1884.0,11304.0,702.0,4209.0,3262.0,88069.0,3262.0,12069.0,,,,,504.0,3432.0,1406.0,9563.0,523.0,3561.0,2434.0,85412.0,2434.0,9412.0,0.77,14.43
7,7.0,7.0,11500.0,80500,,,,,676.0,4732.0,1884.0,13188.0,702.0,4910.0,3262.0,91331.0,3262.0,15331.0,,,,,480.0,3912.0,1339.0,10902.0,499.0,4059.0,2318.0,87730.0,2318.0,11730.0,0.77,15.2
8,8.0,8.0,11500.0,92000,,,,,676.0,5409.0,1884.0,15072.0,702.0,5612.0,3262.0,94593.0,3262.0,18593.0,,,,,458.0,4370.0,1275.0,12177.0,475.0,4534.0,2208.0,89937.0,2208.0,13937.0,0.77,15.97
8.9,8.9,8.9,10350.000000000004,102350,,,,,608.0,6017.0,1696.0,16768.0,631.0,6243.0,2935.0,97528.0,2935.0,21528.0,,,,,394.0,4764.0,1098.0,13275.0,409.0,4943.0,1901.0,91839.0,1901.0,15839.0,0.69,16.66
post-use,8.9,9.790000000000001,0.0,102350,0,76000,0,-7500,0.0,6017.0,0.0,16768.0,0.0,6243.0,0.0,97528.0,0.0,21528.0,0,76000,0.0,-7143.0,0.0,4764.0,0.0,13275.0,0.0,4943.0,0.0,91839.0,0.0,15839.0,0.0,16.66
