period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13750.0,13750,,,-7500,-7500,515.0,515.0,1884.0,1884.0,839.0,839.0,-4263.0,71737.0,-4263.0,-4263.0,,,-7143.0,-7143.0,490.0,490.0,1794.0,1794.0,799.0,799.0,-4060.0,71940.0,-4060.0,-4060.0,1.61,11.44
2,2.0,2.0,13750.0,27500,,,,,515.0,1029.0,1884.0,3768.0,839.0,1678.0,3237.0,74975.0,3237.0,-1025.0,,,,,467.0,957.0,1709.0,3503.0,761.0,1560.0,2936.0,74877.0,2936.0,-1123.0,1.61,13.05
3,3.0,3.0,13750.0,41250,,,,,515.0,1544.0,1884.0,5652.0,839.0,2516.0,3237.0,78212.0,3237.0,2212.0,,,,,445.0,1402.0,1627.0,5131.0,725.0,2284.0,2797.0,77674.0,2797.0,1674.0,1.61,14.67
4,4.0,4.0,13750.0,55000,,,,,515.0,2059.0,1884.0,7536.0,839.0,3355.0,3237.0,81450.0,3237.0,5450.0,,,,,423.0,1825.0,1550.0,6681.0,690.0,2974.0,2663.0,80337.0,2663.0,4337.0,1.61,16.28
5,5.0,5.0,13750.0,68750,,,,,515.0,2574.0,1884.0,9420.0,839.0,4194.0,3237.0,84687.0,3237.0,8687.0,,,,,403.0,2229.0,1476.0,8157.0,657.0,3631.0,2537.0,82874.0,2537.0,6874.0,1.61,17.9
6,6.0,6.0,13750.0,82500,,,,,515.0,3088.0,1884.0,11304.0,839.0,5032.0,3237.0,87925.0,3237.0,11925.0,,,,,384.0,2613.0,1406.0,9563.0,626.0,4257.0,2416.0,85290.0,2416.0,9290.0,1.61,19.51
7,7.0,7.0,13750.0,96250,,,,,515.0,3603.0,1884.0,13188.0,839.0,5871.0,3237.0,91162.0,3237.0,15162.0,,,,,366.0,2978.0,1339.0,10902.0,596.0,4853.0,2301.0,87590.0,2301.0,11590.0,1.61,21.13
8,8.0,8.0,13750.0,110000,,,,,515.0,4118.0,1884.0,15072.0,839.0,6710.0,3237.0,94400.0,3237.0,18400.0,,,,,348.0,3327.0,1275.0,12177.0,568.0,5421.0,2191.0,89782.0,2191.0,13782.0,1.61,22.74
9,9.0,9.0,13750.0,123750,,,,,515.0,4633.0,1884.0,16956.0,839.0,7549.0,3237.0,97637.0,3237.0,21637.0,,,,,332.0,3659.0,1214.0,13391.0,541.0,5962.0,2087.0,91869.0,2087.0,15869.0,1.61,24.36
10,10.0,10.0,13750.0,137500,,,,,515.0,5147.0,1884.0,18840.0,839.0,8388.0,3237.0,100875.0,3237.0,24875.0,,,,,316.0,3975.0,1157.0,14548.0,515.0,6477.0,1988.0,93856.0,1988.0,17856.0,1.61,25.97
10.7,10.7,10.7,9624.99999999999,147125,,,,,360.0,5508.0,1319.0,20159.0,587.0,8975.0,2266.0,103141.0,2266.0,27141.0,,,,,214.0,4188.0,782.0,15330.0,348.0,6825.0,1345.0,95201.0,1345.0,19201.0,1.13,27.1
post-use,10.7,11.77,0.0,147125,0,76000,0,-7500,0.0,5508.0,0.0,20159.0,0.0,8975.0,0.0,103141.0,0.0,27141.0,0,76000,0.0,-7143.0,0.0,4188.0,0.0,15330.0,0.0,6825.0,0.0,95201.0,0.0,19201.0,0.0,27.1
