period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,76000,76000,,,0.0,0.0,0,0,0.0,0.0,76000.0,76000.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,9.82,9.82
1,1,1.0,13250,13250,,,-1389.0,-1389.0,496.0,496.0,1884,1884,808.0,808.0,1800.0,77800.0,1800.0,1800.0,,,-847.0,-847.0,302.0,302.0,1149.0,1149.0,493.0,493.0,1097.0,77097.0,1097.0,1097.0,1.56,11.38
2,2,2.0,13250,26500,,,,,496.0,992.0,1884,3768,808.0,1616.0,3188.0,80988.0,3188.0,4988.0,,,,,184.0,487.0,700.0,1849.0,301.0,793.0,1185.0,78283.0,1185.0,2283.0,1.56,12.93
3,3,3.0,13250,39750,,,,,496.0,1488.0,1884,5652,808.0,2425.0,3188.0,84176.0,3188.0,8176.0,,,,,112.0,599.0,427.0,2276.0,183.0,977.0,723.0,79006.0,723.0,3006.0,1.56,14.49
4,4,4.0,13250,53000,,,,,496.0,1984.0,1884,7536,808.0,3233.0,3188.0,87364.0,3188.0,11364.0,,,,,69.0,668.0,260.0,2537.0,112.0,1088.0,441.0,79446.0,441.0,3446.0,1.56,16.05
5,5,5.0,13250,66250,,,,,496.0,2480.0,1884,9420,808.0,4041.0,3188.0,90553.0,3188.0,14553.0,,,,,42.0,710.0,159.0,2696.0,68.0,1156.0,269.0,79715.0,269.0,3715.0,1.56,17.6
6,6,6.0,13250,79500,,,,,496.0,2976.0,1884,11304,808.0,4850.0,3188.0,93741.0,3188.0,17741.0,,,,,25.0,735.0,97.0,2792.0,42.0,1198.0,164.0,79879.0,164.0,3879.0,1.56,19.16
7,7,7.0,13250,92750,,,,,496.0,3472.0,1884,13188,808.0,5658.0,3188.0,96929.0,3188.0,20929.0,,,,,16.0,751.0,59.0,2851.0,25.0,1223.0,100.0,79979.0,100.0,3979.0,1.56,20.72
8,8,8.0,13250,106000,,,,,496.0,3968.0,1884,15072,808.0,6466.0,3188.0,100117.0,3188.0,24117.0,,,,,9.0,760.0,36.0,2887.0,15.0,1239.0,61.0,80040.0,61.0,4040.0,1.56,22.27
9,9,9.0,13250,119250,,,,,496.0,4464.0,1884,16956,808.0,7274.0,3188.0,103306.0,3188.0,27306.0,,,,,6.0,766.0,22.0,2909.0,9.0,1248.0,37.0,80077.0,37.0,4077.0,1.56,23.83
10,10,10.0,13250,132500,,,,,496.0,4960.0,1884,18840,808.0,8082.0,3188.0,106494.0,3188.0,30494.0,,,,,4.0,770.0,13.0,2923.0,6.0,1254.0,23.0,80100.0,23.0,4100.0,1.56,25.38
11,11,11.0,13250,145750,,,,,496.0,5456.0,1884,20724,808.0,8891.0,3188.0,109682.0,3188.0,33682.0,,,,,2.0,772.0,8.0,2931.0,4.0,1257.0,14.0,80113.0,14.0,4113.0,1.56,26.94
12,12,12.0,13250,159000,,,,,496.0,5952.0,1884,22608,808.0,9699.0,3188.0,112870.0,3188.0,36870.0,,,,,1.0,773.0,5.0,2936.0,2.0,1260.0,8.0,80122.0,8.0,4122.0,1.56,28.5
13,13,13.0,13250,172250,,,,,496.0,6448.0,1884,24492,808.0,10507.0,3188.0,116059.0,3188.0,40059.0,,,,,1.0,774.0,3.0,2939.0,1.0,1261.0,5.0,80127.0,5.0,4127.0,1.56,30.05
post-use,13,14.3,0,172250,0,76000,0.0,-1389.0,0.0,6448.0,0,24492,0.0,10507.0,0.0,116059.0,0.0,40059.0,0,76000,0.0,-847.0,0.0,774.0,0.0,2939.0,0.0,1261.0,0.0,80127.0,0.0,4127.0,0.0,30.05
