period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,76000,76000,,,0.0,0.0,0,0,0,0,76000.0,76000.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,9.82,9.82
1,1,1.0,13000,13000,,,-1389.0,-1389.0,397.0,397.0,1884,1884,793,793,1685.0,77685.0,1685.0,1685.0,,,-1323.0,-1323.0,378.0,378.0,1794.0,1794.0,755.0,755.0,1605.0,77605.0,1605.0,1605.0,0.38,10.2
2,2,2.0,13000,26000,,,,,397.0,793.0,1884,3768,793,1586,3074.0,80759.0,3074.0,4759.0,,,,,360.0,738.0,1709.0,3503.0,719.0,1475.0,2788.0,80393.0,2788.0,4393.0,0.38,10.58
3,3,3.0,13000,39000,,,,,397.0,1190.0,1884,5652,793,2379,3074.0,83832.0,3074.0,7832.0,,,,,343.0,1080.0,1627.0,5131.0,685.0,2160.0,2655.0,83048.0,2655.0,7048.0,0.38,10.96
4,4,4.0,13000,52000,,,,,397.0,1587.0,1884,7536,793,3172,3074.0,86906.0,3074.0,10906.0,,,,,326.0,1407.0,1550.0,6681.0,652.0,2812.0,2529.0,85577.0,2529.0,9577.0,0.38,11.34
5,5,5.0,13000,65000,,,,,397.0,1984.0,1884,9420,793,3965,3074.0,89980.0,3074.0,13980.0,,,,,311.0,1718.0,1476.0,8157.0,621.0,3433.0,2408.0,87985.0,2408.0,11985.0,0.38,11.72
6,6,6.0,13000,78000,,,,,397.0,2380.0,1884,11304,793,4758,3074.0,93054.0,3074.0,17054.0,,,,,296.0,2014.0,1406.0,9563.0,592.0,4025.0,2294.0,90279.0,2294.0,14279.0,0.38,12.09
7,7,7.0,13000,91000,,,,,397.0,2777.0,1884,13188,793,5551,3074.0,96127.0,3074.0,20127.0,,,,,282.0,2296.0,1339.0,10902.0,564.0,4589.0,2184.0,92463.0,2184.0,16463.0,0.38,12.47
8,8,8.0,13000,104000,,,,,397.0,3174.0,1884,15072,793,6344,3074.0,99201.0,3074.0,23201.0,,,,,269.0,2564.0,1275.0,12177.0,537.0,5125.0,2080.0,94544.0,2080.0,18544.0,0.38,12.85
9,9,9.0,13000,117000,,,,,397.0,3570.0,1884,16956,793,7137,3074.0,102275.0,3074.0,26275.0,,,,,256.0,2820.0,1214.0,13391.0,511.0,5637.0,1981.0,96525.0,1981.0,20525.0,0.38,13.23
10,10,10.0,13000,130000,,,,,397.0,3967.0,1884,18840,793,7930,3074.0,105348.0,3074.0,29348.0,,,,,244.0,3063.0,1157.0,14548.0,487.0,6123.0,1887.0,98412.0,1887.0,22412.0,0.38,13.61
11,11,11.0,13000,143000,,,,,397.0,4364.0,1884,20724,793,8723,3074.0,108422.0,3074.0,32422.0,,,,,232.0,3295.0,1102.0,15649.0,464.0,6587.0,1797.0,100209.0,1797.0,24209.0,0.38,13.99
12,12,12.0,13000,156000,,,,,397.0,4761.0,1884,22608,793,9516,3074.0,111496.0,3074.0,35496.0,,,,,221.0,3516.0,1049.0,16698.0,442.0,7029.0,1712.0,101921.0,1712.0,25921.0,0.38,14.37
13,13,13.0,13000,169000,,,,,397.0,5157.0,1884,24492,793,10309,3074.0,114570.0,3074.0,38570.0,,,,,210.0,3727.0,999.0,17697.0,421.0,7449.0,1630.0,103551.0,1630.0,27551.0,0.38,14.74
post-use,13,14.3,0,169000,0,76000,0.0,-1389.0,0.0,5157.0,0,24492,0,10309,0.0,114570.0,0.0,38570.0,0,76000,0.0,-1323.0,0.0,3727.0,0.0,17697.0,0.0,7449.0,0.0,103551.0,0.0,27551.0,0.0,14.74
