period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,76000,76000,,,0.0,0.0,0,0,0.0,0.0,76000.0,76000.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,14250,14250,,,-4153,-4153,450.0,450.0,1884,1884,869.0,869.0,-950.0,75050.0,-950.0,-950.0,,,-3955.0,-3955.0,428.0,428.0,1794.0,1794.0,828.0,828.0,-905.0,75095.0,-905.0,-905.0,3.66,13.48
2,2.0,2.0,14250,28500,,,,,450.0,900.0,1884,3768,869.0,1738.0,3203.0,78253.0,3203.0,2253.0,,,,,408.0,836.0,1709.0,3503.0,788.0,1616.0,2905.0,78001.0,2905.0,2001.0,3.66,17.14
3,3.0,3.0,14250,42750,,,,,450.0,1349.0,1884,5652,869.0,2608.0,3203.0,81456.0,3203.0,5456.0,,,,,389.0,1225.0,1627.0,5131.0,751.0,2367.0,2767.0,80767.0,2767.0,4767.0,3.66,20.79
4,4.0,4.0,14250,57000,,,,,450.0,1799.0,1884,7536,869.0,3477.0,3203.0,84659.0,3203.0,8659.0,,,,,370.0,1595.0,1550.0,6681.0,715.0,3082.0,2635.0,83403.0,2635.0,7403.0,3.66,24.45
5,5.0,5.0,14250,71250,,,,,450.0,2249.0,1884,9420,869.0,4346.0,3203.0,87862.0,3203.0,11862.0,,,,,352.0,1947.0,1476.0,8157.0,681.0,3763.0,2510.0,85912.0,2510.0,9912.0,3.66,28.11
6,6.0,6.0,14250,85500,,,,,450.0,2699.0,1884,11304,869.0,5216.0,3203.0,91065.0,3203.0,15065.0,,,,,336.0,2283.0,1406.0,9563.0,649.0,4412.0,2390.0,88303.0,2390.0,12303.0,3.66,31.76
7,7.0,7.0,14250,99750,,,,,450.0,3149.0,1884,13188,869.0,6085.0,3203.0,94268.0,3203.0,18268.0,,,,,320.0,2603.0,1339.0,10902.0,618.0,5030.0,2276.0,90579.0,2276.0,14579.0,3.66,35.42
8,8.0,8.0,14250,114000,,,,,450.0,3598.0,1884,15072,869.0,6954.0,3203.0,97471.0,3203.0,21471.0,,,,,304.0,2907.0,1275.0,12177.0,588.0,5618.0,2168.0,92747.0,2168.0,16747.0,3.66,39.08
9,9.0,9.0,14250,128250,,,,,450.0,4048.0,1884,16956,869.0,7823.0,3203.0,100675.0,3203.0,24675.0,,,,,290.0,3197.0,1214.0,13391.0,560.0,6178.0,2065.0,94812.0,2065.0,18812.0,3.66,42.73
10,10.0,10.0,14250,142500,,,,,450.0,4498.0,1884,18840,869.0,8692.0,3203.0,103878.0,3203.0,27878.0,,,,,276.0,3473.0,1157.0,14548.0,534.0,6712.0,1966.0,96778.0,1966.0,20778.0,3.66,46.39
11,11.0,11.0,14250,156750,,,,,450.0,4948.0,1884,20724,869.0,9562.0,3203.0,107081.0,3203.0,31081.0,,,,,263.0,3736.0,1102.0,15649.0,508.0,7220.0,1873.0,98651.0,1873.0,22651.0,3.66,50.05
11.5,11.5,11.5,7125,163875,,,,,225.0,5173.0,942,21666,435.0,9996.0,1602.0,108682.0,1602.0,32682.0,,,,,128.0,3865.0,537.0,16187.0,248.0,7468.0,914.0,99565.0,914.0,23565.0,1.83,51.88
post-use,11.5,12.65,0,163875,0,76000,0,-4153,0.0,5173.0,0,21666,0.0,9996.0,0.0,108682.0,0.0,32682.0,0,76000,0.0,-3955.0,0.0,3865.0,0.0,16187.0,0.0,7468.0,0.0,99565.0,0.0,23565.0,0.0,51.88
