period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,76000,76000,,,0.0,0.0,0,0,0.0,0.0,76000.0,76000.0,0.0,0.0,76000,76000,,,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0,0.0,9.82,9.82
1,1,1.0,13250,13250,,,-1389.0,-1389.0,422.0,422.0,1884,1884,808.0,808.0,1726.0,77726.0,1726.0,1726.0,,,-1323.0,-1323.0,402.0,402.0,1794.0,1794.0,770.0,770.0,1644.0,77644.0,1644.0,1644.0,3.4,13.22
2,2,2.0,13250,26500,,,,,422.0,844.0,1884,3768,808.0,1616.0,3114.0,80840.0,3114.0,4840.0,,,,,383.0,785.0,1709.0,3503.0,733.0,1503.0,2825.0,80469.0,2825.0,4469.0,3.4,16.62
3,3,3.0,13250,39750,,,,,422.0,1267.0,1884,5652,808.0,2425.0,3114.0,83955.0,3114.0,7955.0,,,,,365.0,1150.0,1627.0,5131.0,698.0,2201.0,2690.0,83159.0,2690.0,7159.0,3.4,20.02
4,4,4.0,13250,53000,,,,,422.0,1689.0,1884,7536,808.0,3233.0,3114.0,87069.0,3114.0,11069.0,,,,,347.0,1497.0,1550.0,6681.0,665.0,2866.0,2562.0,85721.0,2562.0,9721.0,3.4,23.42
5,5,5.0,13250,66250,,,,,422.0,2111.0,1884,9420,808.0,4041.0,3114.0,90184.0,3114.0,14184.0,,,,,331.0,1828.0,1476.0,8157.0,633.0,3499.0,2440.0,88161.0,2440.0,12161.0,3.4,26.82
6,6,6.0,13250,79500,,,,,422.0,2533.0,1884,11304,808.0,4850.0,3114.0,93298.0,3114.0,17298.0,,,,,315.0,2143.0,1406.0,9563.0,603.0,4102.0,2324.0,90486.0,2324.0,14486.0,3.4,30.22
7,7,7.0,13250,92750,,,,,422.0,2956.0,1884,13188,808.0,5658.0,3114.0,96413.0,3114.0,20413.0,,,,,300.0,2443.0,1339.0,10902.0,574.0,4677.0,2213.0,92699.0,2213.0,16699.0,3.4,33.62
8,8,8.0,13250,106000,,,,,422.0,3378.0,1884,15072,808.0,6466.0,3114.0,99527.0,3114.0,23527.0,,,,,286.0,2729.0,1275.0,12177.0,547.0,5224.0,2108.0,94807.0,2108.0,18807.0,3.4,37.02
9,9,9.0,13250,119250,,,,,422.0,3800.0,1884,16956,808.0,7274.0,3114.0,102642.0,3114.0,26642.0,,,,,272.0,3001.0,1214.0,13391.0,521.0,5745.0,2008.0,96815.0,2008.0,20815.0,3.4,40.42
10,10,10.0,13250,132500,,,,,422.0,4222.0,1884,18840,808.0,8082.0,3114.0,105756.0,3114.0,29756.0,,,,,259.0,3260.0,1157.0,14548.0,496.0,6241.0,1912.0,98727.0,1912.0,22727.0,3.4,43.82
11,11,11.0,13250,145750,,,,,422.0,4644.0,1884,20724,808.0,8891.0,3114.0,108870.0,3114.0,32870.0,,,,,247.0,3507.0,1102.0,15649.0,473.0,6714.0,1821.0,100547.0,1821.0,24547.0,3.4,47.22
12,12,12.0,13250,159000,,,,,422.0,5067.0,1884,22608,808.0,9699.0,3114.0,111985.0,3114.0,35985.0,,,,,235.0,3742.0,1049.0,16698.0,450.0,7164.0,1734.0,102282.0,1734.0,26282.0,3.4,50.63
13,13,13.0,13250,172250,,,,,422.0,5489.0,1884,24492,808.0,10507.0,3114.0,115099.0,3114.0,39099.0,,,,,224.0,3966.0,999.0,17697.0,429.0,7592.0,1652.0,103933.0,1652.0,27933.0,3.4,54.03
post-use,13,14.3,0,172250,0,76000,0.0,-1389.0,0.0,5489.0,0,24492,0.0,10507.0,0.0,115099.0,0.0,39099.0,0,76000,0.0,-1323.0,0.0,3966.0,0.0,17697.0,0.0,7592.0,0.0,103933.0,0.0,27933.0,0.0,54.03
