period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,42454.0,42454.0,,,0.0,0.0,0,0,0,0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.47,5.47
1,1,1.0,13000,13000,,,,,2215.0,2215.0,1788,1788,1313,1313,5316.0,47771.0,5316.0,5316.0,,,,,2110.0,2110.0,1703.0,1703.0,1250.0,1250.0,5063.0,47517.0,5063.0,5063.0,3.57,9.04
2,2,2.0,13000,26000,,,,,2215.0,4430.0,1788,3576,1313,2626,5316.0,53087.0,5316.0,10632.0,,,,,2009.0,4119.0,1622.0,3325.0,1191.0,2441.0,4822.0,52339.0,4822.0,9885.0,3.57,12.62
3,3,3.0,13000,39000,,,,,2215.0,6645.0,1788,5364,1313,3939,5316.0,58403.0,5316.0,15948.0,,,,,1913.0,6032.0,1545.0,4869.0,1134.0,3576.0,4592.0,56931.0,4592.0,14477.0,3.57,16.19
4,4,4.0,13000,52000,,,,,2215.0,8860.0,1788,7152,1313,5252,5316.0,63719.0,5316.0,21264.0,,,,,1822.0,7854.0,1471.0,6340.0,1080.0,4656.0,4374.0,61305.0,4374.0,18850.0,3.57,19.76
5,5,5.0,13000,65000,,,,,2215.0,11075.0,1788,8940,1313,6565,5316.0,69035.0,5316.0,26580.0,,,,,1736.0,9590.0,1401.0,7741.0,1029.0,5685.0,4165.0,65470.0,4165.0,23016.0,3.57,23.33
6,6,6.0,13000,78000,,,,,2215.0,13290.0,1788,10728,1313,7878,5316.0,74351.0,5316.0,31896.0,,,,,1653.0,11243.0,1334.0,9075.0,980.0,6664.0,3967.0,69437.0,3967.0,26982.0,3.57,26.91
7,7,7.0,13000,91000,,,,,2215.0,15505.0,1788,12516,1313,9191,5316.0,79667.0,5316.0,37212.0,,,,,1574.0,12817.0,1271.0,10346.0,933.0,7598.0,3778.0,73215.0,3778.0,30760.0,3.57,30.48
8,8,8.0,13000,104000,,,,,2215.0,17720.0,1788,14304,1313,10504,5316.0,84983.0,5316.0,42528.0,,,,,1499.0,14316.0,1210.0,11556.0,889.0,8486.0,3598.0,76813.0,3598.0,34359.0,3.57,34.05
9,9,9.0,13000,117000,,,,,2215.0,19935.0,1788,16092,1313,11817,5316.0,90299.0,5316.0,47844.0,,,,,1428.0,15744.0,1153.0,12709.0,846.0,9333.0,3427.0,80240.0,3427.0,37785.0,3.57,37.62
10,10,10.0,13000,130000,,,,,2215.0,22150.0,1788,17880,1313,13130,5316.0,95615.0,5316.0,53160.0,,,,,1360.0,17104.0,1098.0,13806.0,806.0,10139.0,3264.0,83503.0,3264.0,41049.0,3.57,41.2
11,11,11.0,13000,143000,,,,,2215.0,24365.0,1788,19668,1313,14443,5316.0,100931.0,5316.0,58476.0,,,,,1295.0,18399.0,1045.0,14852.0,768.0,10906.0,3108.0,86612.0,3108.0,44157.0,3.57,44.77
12,12,12.0,13000,156000,,,,,2215.0,26580.0,1788,21456,1313,15756,5316.0,106247.0,5316.0,63792.0,,,,,1233.0,19632.0,996.0,15847.0,731.0,11637.0,2960.0,89572.0,2960.0,47117.0,3.57,48.34
13,13,13.0,13000,169000,,,,,2215.0,28795.0,1788,23244,1313,17069,5316.0,111563.0,5316.0,69108.0,,,,,1175.0,20807.0,948.0,16796.0,696.0,12334.0,2819.0,92391.0,2819.0,49936.0,3.57,51.91
post-use,13,14.3,0,169000,0.0,42454.0,0,0,0.0,28795.0,0,23244,0,17069,0.0,111563.0,0.0,69108.0,0.0,42454.0,0,0,0.0,20807.0,0.0,16796.0,0.0,12334.0,0.0,92391.0,0.0,49936.0,0.0,51.91
