period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,42454.0,42454.0,,,0.0,0.0,0,0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.47,5.47
1,1,1.0,13250,13250,,,,,1295.0,1295.0,1788,1788,1338.0,1338.0,4421.0,46875.0,4421.0,4421.0,,,,,1233.0,1233.0,1703.0,1703.0,1275.0,1275.0,4210.0,46665.0,4210.0,4210.0,3.64,9.11
2,2,2.0,13250,26500,,,,,1295.0,2589.0,1788,3576,1338.0,2676.0,4421.0,51296.0,4421.0,8842.0,,,,,1174.0,2407.0,1622.0,3325.0,1214.0,2488.0,4010.0,50675.0,4010.0,8220.0,3.64,12.75
3,3,3.0,13250,39750,,,,,1295.0,3884.0,1788,5364,1338.0,4015.0,4421.0,55717.0,4421.0,13263.0,,,,,1118.0,3526.0,1545.0,4869.0,1156.0,3644.0,3819.0,54494.0,3819.0,12039.0,3.64,16.39
4,4,4.0,13250,53000,,,,,1295.0,5178.0,1788,7152,1338.0,5353.0,4421.0,60138.0,4421.0,17683.0,,,,,1065.0,4591.0,1471.0,6340.0,1101.0,4745.0,3637.0,58131.0,3637.0,15676.0,3.64,20.04
5,5,5.0,13250,66250,,,,,1295.0,6473.0,1788,8940,1338.0,6691.0,4421.0,64559.0,4421.0,22104.0,,,,,1014.0,5605.0,1401.0,7741.0,1049.0,5794.0,3464.0,61594.0,3464.0,19140.0,3.64,23.68
6,6,6.0,13250,79500,,,,,1295.0,7768.0,1788,10728,1338.0,8030.0,4421.0,68980.0,4421.0,26525.0,,,,,966.0,6571.0,1334.0,9075.0,999.0,6793.0,3299.0,64893.0,3299.0,22439.0,3.64,27.32
7,7,7.0,13250,92750,,,,,1295.0,9062.0,1788,12516,1338.0,9368.0,4421.0,73400.0,4421.0,30946.0,,,,,920.0,7491.0,1271.0,10346.0,951.0,7744.0,3142.0,68035.0,3142.0,25581.0,3.64,30.96
8,8,8.0,13250,106000,,,,,1295.0,10357.0,1788,14304,1338.0,10706.0,4421.0,77821.0,4421.0,35367.0,,,,,876.0,8367.0,1210.0,11556.0,906.0,8649.0,2992.0,71027.0,2992.0,28573.0,3.64,34.6
9,9,9.0,13250,119250,,,,,1295.0,11651.0,1788,16092,1338.0,12044.0,4421.0,82242.0,4421.0,39788.0,,,,,835.0,9202.0,1153.0,12709.0,863.0,9512.0,2850.0,73877.0,2850.0,31423.0,3.64,38.24
10,10,10.0,13250,132500,,,,,1295.0,12946.0,1788,17880,1338.0,13382.0,4421.0,86663.0,4421.0,44209.0,,,,,795.0,9997.0,1098.0,13806.0,822.0,10334.0,2714.0,76591.0,2714.0,34137.0,3.64,41.88
11,11,11.0,13250,145750,,,,,1295.0,14241.0,1788,19668,1338.0,14721.0,4421.0,91084.0,4421.0,48629.0,,,,,757.0,10753.0,1045.0,14852.0,782.0,11116.0,2585.0,79176.0,2585.0,36721.0,3.64,45.52
12,12,12.0,13250,159000,,,,,1295.0,15535.0,1788,21456,1338.0,16059.0,4421.0,95505.0,4421.0,53050.0,,,,,721.0,11474.0,996.0,15847.0,745.0,11861.0,2462.0,81638.0,2462.0,39183.0,3.64,49.17
13,13,13.0,13250,172250,,,,,1295.0,16830.0,1788,23244,1338.0,17397.0,4421.0,99926.0,4421.0,57471.0,,,,,687.0,12161.0,948.0,16796.0,710.0,12571.0,2344.0,83982.0,2344.0,41528.0,3.64,52.81
post-use,13,14.3,0,172250,0.0,42454.0,0,0,0.0,16830.0,0,23244,0.0,17397.0,0.0,99926.0,0.0,57471.0,0.0,42454.0,0,0,0.0,12161.0,0.0,16796.0,0.0,12571.0,0.0,83982.0,0.0,41528.0,0.0,52.81
