period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,1663.0,1663.0,1788.0,1788.0,1313.0,1313.0,4764.0,47219.0,4764.0,4764.0,,,,,1584.0,1584.0,1703.0,1703.0,1250.0,1250.0,4537.0,46992.0,4537.0,4537.0,3.57,9.04
2,2.0,2.0,13000.0,26000,,,,,1663.0,3326.0,1788.0,3576.0,1313.0,2626.0,4764.0,51983.0,4764.0,9528.0,,,,,1508.0,3092.0,1622.0,3325.0,1191.0,2441.0,4321.0,51313.0,4321.0,8858.0,3.57,12.62
3,3.0,3.0,13000.0,39000,,,,,1663.0,4989.0,1788.0,5364.0,1313.0,3939.0,4764.0,56747.0,4764.0,14292.0,,,,,1437.0,4529.0,1545.0,4869.0,1134.0,3576.0,4115.0,55428.0,4115.0,12974.0,3.57,16.19
4,4.0,4.0,13000.0,52000,,,,,1663.0,6652.0,1788.0,7152.0,1313.0,5252.0,4764.0,61511.0,4764.0,19056.0,,,,,1368.0,5897.0,1471.0,6340.0,1080.0,4656.0,3919.0,59348.0,3919.0,16893.0,3.57,19.76
5,5.0,5.0,13000.0,65000,,,,,1663.0,8316.0,1788.0,8940.0,1313.0,6565.0,4764.0,66275.0,4764.0,23821.0,,,,,1303.0,7200.0,1401.0,7741.0,1029.0,5685.0,3733.0,63081.0,3733.0,20626.0,3.57,23.33
6,6.0,6.0,13000.0,78000,,,,,1663.0,9979.0,1788.0,10728.0,1313.0,7878.0,4764.0,71039.0,4764.0,28585.0,,,,,1241.0,8441.0,1334.0,9075.0,980.0,6664.0,3555.0,66636.0,3555.0,24181.0,3.57,26.91
7,7.0,7.0,13000.0,91000,,,,,1663.0,11642.0,1788.0,12516.0,1313.0,9191.0,4764.0,75803.0,4764.0,33349.0,,,,,1182.0,9623.0,1271.0,10346.0,933.0,7598.0,3386.0,70021.0,3386.0,27567.0,3.57,30.48
8,8.0,8.0,13000.0,104000,,,,,1663.0,13305.0,1788.0,14304.0,1313.0,10504.0,4764.0,80567.0,4764.0,38113.0,,,,,1126.0,10749.0,1210.0,11556.0,889.0,8486.0,3225.0,73246.0,3225.0,30791.0,3.57,34.05
9,9.0,9.0,13000.0,117000,,,,,1663.0,14968.0,1788.0,16092.0,1313.0,11817.0,4764.0,85331.0,4764.0,42877.0,,,,,1072.0,11821.0,1153.0,12709.0,846.0,9333.0,3071.0,76317.0,3071.0,33862.0,3.57,37.62
9.9,9.9,9.9,11700.000000000005,128700,,,,,1497.0,16465.0,1609.0,17701.0,1182.0,12999.0,4288.0,89619.0,4288.0,47165.0,,,,,923.0,12744.0,993.0,13702.0,729.0,10062.0,2645.0,78962.0,2645.0,36508.0,3.22,40.84
post-use,9.9,10.89,0.0,128700,0.0,42454.0,0,0,0.0,16465.0,0.0,17701.0,0.0,12999.0,0.0,89619.0,0.0,47165.0,0.0,42454.0,0,0,0.0,12744.0,0.0,13702.0,0.0,10062.0,0.0,78962.0,0.0,36508.0,0.0,40.84
