period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,1663.0,1663.0,1788.0,1788.0,1313.0,1313.0,4764.0,47219.0,4764.0,4764.0,,,,,904.0,904.0,972.0,972.0,714.0,714.0,2589.0,45044.0,2589.0,2589.0,3.57,9.04
2,2.0,2.0,13000.0,26000,,,,,1663.0,3326.0,1788.0,3576.0,1313.0,2626.0,4764.0,51983.0,4764.0,9528.0,,,,,491.0,1395.0,528.0,1500.0,388.0,1101.0,1407.0,46451.0,1407.0,3996.0,3.57,12.62
3,3.0,3.0,13000.0,39000,,,,,1663.0,4989.0,1788.0,5364.0,1313.0,3939.0,4764.0,56747.0,4764.0,14292.0,,,,,267.0,1662.0,287.0,1787.0,211.0,1312.0,765.0,47216.0,765.0,4761.0,3.57,16.19
4,4.0,4.0,13000.0,52000,,,,,1663.0,6652.0,1788.0,7152.0,1313.0,5252.0,4764.0,61511.0,4764.0,19056.0,,,,,145.0,1807.0,156.0,1943.0,115.0,1427.0,416.0,47631.0,416.0,5177.0,3.57,19.76
5,5.0,5.0,13000.0,65000,,,,,1663.0,8316.0,1788.0,8940.0,1313.0,6565.0,4764.0,66275.0,4764.0,23821.0,,,,,79.0,1886.0,85.0,2028.0,62.0,1489.0,226.0,47857.0,226.0,5403.0,3.57,23.33
6,6.0,6.0,13000.0,78000,,,,,1663.0,9979.0,1788.0,10728.0,1313.0,7878.0,4764.0,71039.0,4764.0,28585.0,,,,,43.0,1929.0,46.0,2074.0,34.0,1523.0,123.0,47980.0,123.0,5525.0,3.57,26.91
7,7.0,7.0,13000.0,91000,,,,,1663.0,11642.0,1788.0,12516.0,1313.0,9191.0,4764.0,75803.0,4764.0,33349.0,,,,,23.0,1952.0,25.0,2099.0,18.0,1541.0,67.0,48047.0,67.0,5592.0,3.57,30.48
8,8.0,8.0,13000.0,104000,,,,,1663.0,13305.0,1788.0,14304.0,1313.0,10504.0,4764.0,80567.0,4764.0,38113.0,,,,,13.0,1965.0,14.0,2112.0,10.0,1551.0,36.0,48083.0,36.0,5628.0,3.57,34.05
9,9.0,9.0,13000.0,117000,,,,,1663.0,14968.0,1788.0,16092.0,1313.0,11817.0,4764.0,85331.0,4764.0,42877.0,,,,,7.0,1972.0,7.0,2120.0,5.0,1557.0,20.0,48103.0,20.0,5648.0,3.57,37.62
9.9,9.9,9.9,11700.000000000005,128700,,,,,1497.0,16465.0,1609.0,17701.0,1182.0,12999.0,4288.0,89619.0,4288.0,47165.0,,,,,4.0,1975.0,4.0,2124.0,3.0,1559.0,10.0,48113.0,10.0,5658.0,3.22,40.84
post-use,9.9,10.89,0.0,128700,0.0,42454.0,0,0,0.0,16465.0,0.0,17701.0,0.0,12999.0,0.0,89619.0,0.0,47165.0,0.0,42454.0,0,0,0.0,1975.0,0.0,2124.0,0.0,1559.0,0.0,48113.0,0.0,5658.0,0.0,40.84
