period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13750.0,13750,,,,,1525.0,1525.0,1788.0,1788.0,1389.0,1389.0,4702.0,47157.0,4702.0,4702.0,,,,,1453.0,1453.0,1703.0,1703.0,1323.0,1323.0,4478.0,46933.0,4478.0,4478.0,3.78,9.25
2,2.0,2.0,13750.0,27500,,,,,1525.0,3051.0,1788.0,3576.0,1389.0,2778.0,4702.0,51859.0,4702.0,9404.0,,,,,1384.0,2836.0,1622.0,3325.0,1260.0,2582.0,4265.0,51198.0,4265.0,8743.0,3.78,13.03
3,3.0,3.0,13750.0,41250,,,,,1525.0,4576.0,1788.0,5364.0,1389.0,4166.0,4702.0,56561.0,4702.0,14107.0,,,,,1318.0,4154.0,1545.0,4869.0,1200.0,3782.0,4062.0,55260.0,4062.0,12805.0,3.78,16.81
4,4.0,4.0,13750.0,55000,,,,,1525.0,6102.0,1788.0,7152.0,1389.0,5555.0,4702.0,61263.0,4702.0,18809.0,,,,,1255.0,5409.0,1471.0,6340.0,1143.0,4924.0,3869.0,59128.0,3869.0,16674.0,3.78,20.58
5,5.0,5.0,13750.0,68750,,,,,1525.0,7627.0,1788.0,8940.0,1389.0,6944.0,4702.0,65966.0,4702.0,23511.0,,,,,1195.0,6604.0,1401.0,7741.0,1088.0,6013.0,3684.0,62813.0,3684.0,20358.0,3.78,24.36
6,6.0,6.0,13750.0,82500,,,,,1525.0,9153.0,1788.0,10728.0,1389.0,8332.0,4702.0,70668.0,4702.0,28213.0,,,,,1138.0,7743.0,1334.0,9075.0,1036.0,7049.0,3509.0,66322.0,3509.0,23867.0,3.78,28.14
7,7.0,7.0,13750.0,96250,,,,,1525.0,10678.0,1788.0,12516.0,1389.0,9721.0,4702.0,75370.0,4702.0,32916.0,,,,,1084.0,8827.0,1271.0,10346.0,987.0,8036.0,3342.0,69663.0,3342.0,27209.0,3.78,31.92
8,8.0,8.0,13750.0,110000,,,,,1525.0,12204.0,1788.0,14304.0,1389.0,11110.0,4702.0,80072.0,4702.0,37618.0,,,,,1032.0,9859.0,1210.0,11556.0,940.0,8976.0,3183.0,72846.0,3183.0,30391.0,3.78,35.7
9,9.0,9.0,13750.0,123750,,,,,1525.0,13729.0,1788.0,16092.0,1389.0,12499.0,4702.0,84774.0,4702.0,42320.0,,,,,983.0,10843.0,1153.0,12709.0,895.0,9871.0,3031.0,75877.0,3031.0,33423.0,3.78,39.48
10,10.0,10.0,13750.0,137500,,,,,1525.0,15255.0,1788.0,17880.0,1389.0,13888.0,4702.0,89477.0,4702.0,47022.0,,,,,937.0,11779.0,1098.0,13806.0,853.0,10724.0,2887.0,78764.0,2887.0,36309.0,3.78,43.26
10.7,10.7,10.7,9624.99999999999,147125,,,,,1068.0,16323.0,1252.0,19132.0,972.0,14860.0,3292.0,92768.0,3292.0,50314.0,,,,,634.0,12413.0,743.0,14549.0,577.0,11300.0,1953.0,80717.0,1953.0,38262.0,2.65,45.9
post-use,10.7,11.77,0.0,147125,0.0,42454.0,0,0,0.0,16323.0,0.0,19132.0,0.0,14860.0,0.0,92768.0,0.0,50314.0,0.0,42454.0,0,0,0.0,12413.0,0.0,14549.0,0.0,11300.0,0.0,80717.0,0.0,38262.0,0.0,45.9
