period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,42454.0,42454.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42454.0,42454.0,0.0,0.0,5.47,5.47
1,1.0,1.0,11500.0,11500,,,,,1276.0,1276.0,1788.0,1788.0,1162.0,1162.0,4225.0,46680.0,4225.0,4225.0,,,,,1215.0,1215.0,1703.0,1703.0,1106.0,1106.0,4024.0,46479.0,4024.0,4024.0,3.16,8.63
2,2.0,2.0,11500.0,23000,,,,,1276.0,2552.0,1788.0,3576.0,1162.0,2323.0,4225.0,50905.0,4225.0,8451.0,,,,,1157.0,2372.0,1622.0,3325.0,1054.0,2160.0,3833.0,50311.0,3833.0,7857.0,3.16,11.79
3,3.0,3.0,11500.0,34500,,,,,1276.0,3828.0,1788.0,5364.0,1162.0,3484.0,4225.0,55131.0,4225.0,12676.0,,,,,1102.0,3474.0,1545.0,4869.0,1003.0,3163.0,3650.0,53961.0,3650.0,11507.0,3.16,14.95
4,4.0,4.0,11500.0,46000,,,,,1276.0,5103.0,1788.0,7152.0,1162.0,4646.0,4225.0,59356.0,4225.0,16901.0,,,,,1050.0,4524.0,1471.0,6340.0,956.0,4119.0,3476.0,57437.0,3476.0,14983.0,3.16,18.11
5,5.0,5.0,11500.0,57500,,,,,1276.0,6379.0,1788.0,8940.0,1162.0,5808.0,4225.0,63581.0,4225.0,21127.0,,,,,1000.0,5524.0,1401.0,7741.0,910.0,5029.0,3311.0,60748.0,3311.0,18294.0,3.16,21.27
6,6.0,6.0,11500.0,69000,,,,,1276.0,7655.0,1788.0,10728.0,1162.0,6969.0,4225.0,67807.0,4225.0,25352.0,,,,,952.0,6476.0,1334.0,9075.0,867.0,5895.0,3153.0,63901.0,3153.0,21447.0,3.16,24.43
7,7.0,7.0,11500.0,80500,,,,,1276.0,8931.0,1788.0,12516.0,1162.0,8130.0,4225.0,72032.0,4225.0,29577.0,,,,,907.0,7383.0,1271.0,10346.0,825.0,6721.0,3003.0,66904.0,3003.0,24449.0,3.16,27.59
8,8.0,8.0,11500.0,92000,,,,,1276.0,10207.0,1788.0,14304.0,1162.0,9292.0,4225.0,76257.0,4225.0,33803.0,,,,,864.0,8246.0,1210.0,11556.0,786.0,7507.0,2860.0,69764.0,2860.0,27309.0,3.16,30.75
8.9,8.9,8.9,10350.000000000004,102350,,,,,1148.0,11355.0,1609.0,15913.0,1045.0,10337.0,3803.0,80060.0,3803.0,37606.0,,,,,744.0,8990.0,1042.0,12599.0,677.0,8184.0,2463.0,72227.0,2463.0,29773.0,2.84,33.6
post-use,8.9,9.790000000000001,0.0,102350,0.0,42454.0,0,0,0.0,11355.0,0.0,15913.0,0.0,10337.0,0.0,80060.0,0.0,37606.0,0.0,42454.0,0,0,0.0,8990.0,0.0,12599.0,0.0,8184.0,0.0,72227.0,0.0,29773.0,0.0,33.6
