period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,2130.0,2130.0,1788.0,1788.0,1313.0,1313.0,5231.0,26931.0,5231.0,5231.0,,,,,2028.0,2028.0,1703.0,1703.0,1250.0,1250.0,4982.0,26682.0,4982.0,4982.0,3.46,8.93
2,2.0,2.0,13000.0,26000,,,,,2130.0,4259.0,1788.0,3576.0,1313.0,2626.0,5231.0,32161.0,5231.0,10461.0,,,,,1932.0,3960.0,1622.0,3325.0,1191.0,2441.0,4744.0,31426.0,4744.0,9726.0,3.46,12.39
3,3.0,3.0,13000.0,39000,,,,,2130.0,6389.0,1788.0,5364.0,1313.0,3939.0,5231.0,37392.0,5231.0,15692.0,,,,,1840.0,5800.0,1545.0,4869.0,1134.0,3576.0,4518.0,35944.0,4518.0,14244.0,3.46,15.85
4,4.0,4.0,13000.0,52000,,,,,2130.0,8519.0,1788.0,7152.0,1313.0,5252.0,5231.0,42623.0,5231.0,20923.0,,,,,1752.0,7552.0,1471.0,6340.0,1080.0,4656.0,4303.0,40248.0,4303.0,18548.0,3.46,19.31
5,5.0,5.0,13000.0,65000,,,,,2130.0,10648.0,1788.0,8940.0,1313.0,6565.0,5231.0,47853.0,5231.0,26153.0,,,,,1669.0,9220.0,1401.0,7741.0,1029.0,5685.0,4098.0,44346.0,4098.0,22646.0,3.46,22.77
6,6.0,6.0,13000.0,78000,,,,,2130.0,12778.0,1788.0,10728.0,1313.0,7878.0,5231.0,53084.0,5231.0,31384.0,,,,,1589.0,10809.0,1334.0,9075.0,980.0,6664.0,3903.0,48249.0,3903.0,26549.0,3.46,26.23
7,7.0,7.0,13000.0,91000,,,,,2130.0,14907.0,1788.0,12516.0,1313.0,9191.0,5231.0,58314.0,5231.0,36614.0,,,,,1513.0,12323.0,1271.0,10346.0,933.0,7598.0,3717.0,51966.0,3717.0,30266.0,3.46,29.69
8,8.0,8.0,13000.0,104000,,,,,2130.0,17037.0,1788.0,14304.0,1313.0,10504.0,5231.0,63545.0,5231.0,41845.0,,,,,1441.0,13764.0,1210.0,11556.0,889.0,8486.0,3540.0,55507.0,3540.0,33807.0,3.46,33.14
8.9,8.9,8.9,11700.000000000005,115700,,,,,1917.0,18954.0,1609.0,15913.0,1182.0,11686.0,4708.0,68253.0,4708.0,46553.0,,,,,1242.0,15006.0,1042.0,12599.0,765.0,9252.0,3049.0,58556.0,3049.0,36856.0,3.11,36.26
post-use,8.9,9.790000000000001,0.0,115700,0,21700,0,0,0.0,18954.0,0.0,15913.0,0.0,11686.0,0.0,68253.0,0.0,46553.0,0,21700,0,0,0.0,15006.0,0.0,12599.0,0.0,9252.0,0.0,58556.0,0.0,36856.0,0.0,36.26
