period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,21700,21700,,,0.0,0.0,0,0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000,13000,,,,,1221.0,1221.0,1788,1788,1313.0,1313.0,4322.0,26022.0,4322.0,4322.0,,,,,1163.0,1163.0,1703.0,1703.0,1250.0,1250.0,4116.0,25816.0,4116.0,4116.0,3.46,8.93
2,2.0,2.0,13000,26000,,,,,1221.0,2442.0,1788,3576,1313.0,2626.0,4322.0,30344.0,4322.0,8644.0,,,,,1108.0,2271.0,1622.0,3325.0,1191.0,2441.0,3920.0,29737.0,3920.0,8037.0,3.46,12.39
3,3.0,3.0,13000,39000,,,,,1221.0,3664.0,1788,5364,1313.0,3939.0,4322.0,34667.0,4322.0,12967.0,,,,,1055.0,3326.0,1545.0,4869.0,1134.0,3576.0,3734.0,33470.0,3734.0,11770.0,3.46,15.85
4,4.0,4.0,13000,52000,,,,,1221.0,4885.0,1788,7152,1313.0,5252.0,4322.0,38989.0,4322.0,17289.0,,,,,1005.0,4330.0,1471.0,6340.0,1080.0,4656.0,3556.0,37026.0,3556.0,15326.0,3.46,19.31
5,5.0,5.0,13000,65000,,,,,1221.0,6106.0,1788,8940,1313.0,6565.0,4322.0,43311.0,4322.0,21611.0,,,,,957.0,5287.0,1401.0,7741.0,1029.0,5685.0,3387.0,40413.0,3387.0,18713.0,3.46,22.77
6,6.0,6.0,13000,78000,,,,,1221.0,7327.0,1788,10728,1313.0,7878.0,4322.0,47633.0,4322.0,25933.0,,,,,911.0,6198.0,1334.0,9075.0,980.0,6664.0,3225.0,43638.0,3225.0,21938.0,3.46,26.23
7,7.0,7.0,13000,91000,,,,,1221.0,8548.0,1788,12516,1313.0,9191.0,4322.0,51955.0,4322.0,30255.0,,,,,868.0,7066.0,1271.0,10346.0,933.0,7598.0,3072.0,46710.0,3072.0,25010.0,3.46,29.69
8,8.0,8.0,13000,104000,,,,,1221.0,9770.0,1788,14304,1313.0,10504.0,4322.0,56278.0,4322.0,34578.0,,,,,827.0,7893.0,1210.0,11556.0,889.0,8486.0,2925.0,49635.0,2925.0,27935.0,3.46,33.14
9,9.0,9.0,13000,117000,,,,,1221.0,10991.0,1788,16092,1313.0,11817.0,4322.0,60600.0,4322.0,38900.0,,,,,787.0,8680.0,1153.0,12709.0,846.0,9333.0,2786.0,52422.0,2786.0,30722.0,3.46,36.6
10,10.0,10.0,13000,130000,,,,,1221.0,12212.0,1788,17880,1313.0,13130.0,4322.0,64922.0,4322.0,43222.0,,,,,750.0,9430.0,1098.0,13806.0,806.0,10139.0,2653.0,55075.0,2653.0,33375.0,3.46,40.06
11,11.0,11.0,13000,143000,,,,,1221.0,13433.0,1788,19668,1313.0,14443.0,4322.0,69244.0,4322.0,47544.0,,,,,714.0,10144.0,1045.0,14852.0,768.0,10906.0,2527.0,57602.0,2527.0,35902.0,3.46,43.52
11.5,11.5,11.5,6500,149500,,,,,611.0,14044.0,894,20562,656.0,15100.0,2161.0,71405.0,2161.0,49705.0,,,,,348.0,10492.0,510.0,15362.0,375.0,11281.0,1233.0,58835.0,1233.0,37135.0,1.73,45.25
post-use,11.5,12.65,0,149500,0,21700,0,0,0.0,14044.0,0,20562,0.0,15100.0,0.0,71405.0,0.0,49705.0,0,21700,0,0,0.0,10492.0,0.0,15362.0,0.0,11281.0,0.0,58835.0,0.0,37135.0,0.0,45.25
