period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.47,5.47
1,1.0,1.0,11500.0,11500,,,,,1414.0,1414.0,1788.0,1788.0,1162.0,1162.0,4364.0,26064.0,4364.0,4364.0,,,,,1347.0,1347.0,1703.0,1703.0,1106.0,1106.0,4156.0,25856.0,4156.0,4156.0,3.06,8.53
2,2.0,2.0,11500.0,23000,,,,,1414.0,2829.0,1788.0,3576.0,1162.0,2323.0,4364.0,30428.0,4364.0,8728.0,,,,,1283.0,2630.0,1622.0,3325.0,1054.0,2160.0,3958.0,29814.0,3958.0,8114.0,3.06,11.59
3,3.0,3.0,11500.0,34500,,,,,1414.0,4244.0,1788.0,5364.0,1162.0,3484.0,4364.0,34792.0,4364.0,13092.0,,,,,1222.0,3852.0,1545.0,4869.0,1003.0,3163.0,3770.0,33584.0,3770.0,11884.0,3.06,14.65
4,4.0,4.0,11500.0,46000,,,,,1414.0,5658.0,1788.0,7152.0,1162.0,4646.0,4364.0,39156.0,4364.0,17456.0,,,,,1164.0,5016.0,1471.0,6340.0,956.0,4119.0,3590.0,37175.0,3590.0,15475.0,3.06,17.71
5,5.0,5.0,11500.0,57500,,,,,1414.0,7072.0,1788.0,8940.0,1162.0,5808.0,4364.0,43520.0,4364.0,21820.0,,,,,1108.0,6124.0,1401.0,7741.0,910.0,5029.0,3419.0,40594.0,3419.0,18894.0,3.06,20.77
6,6.0,6.0,11500.0,69000,,,,,1414.0,8487.0,1788.0,10728.0,1162.0,6969.0,4364.0,47884.0,4364.0,26184.0,,,,,1056.0,7180.0,1334.0,9075.0,867.0,5895.0,3256.0,43850.0,3256.0,22150.0,3.06,23.83
7,7.0,7.0,11500.0,80500,,,,,1414.0,9902.0,1788.0,12516.0,1162.0,8130.0,4364.0,52248.0,4364.0,30548.0,,,,,1005.0,8185.0,1271.0,10346.0,825.0,6721.0,3101.0,46952.0,3101.0,25252.0,3.06,26.89
8,8.0,8.0,11500.0,92000,,,,,1414.0,11316.0,1788.0,14304.0,1162.0,9292.0,4364.0,56612.0,4364.0,34912.0,,,,,957.0,9142.0,1210.0,11556.0,786.0,7507.0,2954.0,49905.0,2954.0,28205.0,3.06,29.95
8.9,8.9,8.9,10350.000000000004,102350,,,,,1273.0,12589.0,1609.0,15913.0,1045.0,10337.0,3928.0,60540.0,3928.0,38840.0,,,,,825.0,9967.0,1042.0,12599.0,677.0,8184.0,2544.0,52450.0,2544.0,30750.0,2.75,32.71
post-use,8.9,9.790000000000001,0.0,102350,0,21700,0,0,0.0,12589.0,0.0,15913.0,0.0,10337.0,0.0,60540.0,0.0,38840.0,0,21700,0,0,0.0,9967.0,0.0,12599.0,0.0,8184.0,0.0,52450.0,0.0,30750.0,0.0,32.71
