period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,1835.0,1835.0,1788.0,1788.0,1313.0,1313.0,4936.0,26636.0,4936.0,4936.0,,,,,1748.0,1748.0,1703.0,1703.0,1250.0,1250.0,4701.0,26401.0,4701.0,4701.0,3.46,8.93
2,2.0,2.0,13000.0,26000,,,,,1835.0,3671.0,1788.0,3576.0,1313.0,2626.0,4936.0,31573.0,4936.0,9873.0,,,,,1665.0,3413.0,1622.0,3325.0,1191.0,2441.0,4477.0,30879.0,4477.0,9179.0,3.46,12.39
3,3.0,3.0,13000.0,39000,,,,,1835.0,5506.0,1788.0,5364.0,1313.0,3939.0,4936.0,36509.0,4936.0,14809.0,,,,,1585.0,4998.0,1545.0,4869.0,1134.0,3576.0,4264.0,35143.0,4264.0,13443.0,3.46,15.85
4,4.0,4.0,13000.0,52000,,,,,1835.0,7341.0,1788.0,7152.0,1313.0,5252.0,4936.0,41445.0,4936.0,19745.0,,,,,1510.0,6508.0,1471.0,6340.0,1080.0,4656.0,4061.0,39204.0,4061.0,17504.0,3.46,19.31
5,5.0,5.0,13000.0,65000,,,,,1835.0,9177.0,1788.0,8940.0,1313.0,6565.0,4936.0,46382.0,4936.0,24682.0,,,,,1438.0,7946.0,1401.0,7741.0,1029.0,5685.0,3868.0,43072.0,3868.0,21372.0,3.46,22.77
6,6.0,6.0,13000.0,78000,,,,,1835.0,11012.0,1788.0,10728.0,1313.0,7878.0,4936.0,51318.0,4936.0,29618.0,,,,,1370.0,9316.0,1334.0,9075.0,980.0,6664.0,3684.0,46755.0,3684.0,25055.0,3.46,26.23
7,7.0,7.0,13000.0,91000,,,,,1835.0,12848.0,1788.0,12516.0,1313.0,9191.0,4936.0,56255.0,4936.0,34555.0,,,,,1304.0,10620.0,1271.0,10346.0,933.0,7598.0,3508.0,50264.0,3508.0,28564.0,3.46,29.69
8,8.0,8.0,13000.0,104000,,,,,1835.0,14683.0,1788.0,14304.0,1313.0,10504.0,4936.0,61191.0,4936.0,39491.0,,,,,1242.0,11862.0,1210.0,11556.0,889.0,8486.0,3341.0,53605.0,3341.0,31905.0,3.46,33.14
9,9.0,9.0,13000.0,117000,,,,,1835.0,16518.0,1788.0,16092.0,1313.0,11817.0,4936.0,66127.0,4936.0,44427.0,,,,,1183.0,13045.0,1153.0,12709.0,846.0,9333.0,3182.0,56787.0,3182.0,35087.0,3.46,36.6
9.9,9.9,9.9,11700.000000000005,128700,,,,,1652.0,18170.0,1609.0,17701.0,1182.0,12999.0,4443.0,70570.0,4443.0,48870.0,,,,,1019.0,14064.0,993.0,13702.0,729.0,10062.0,2741.0,59528.0,2741.0,37828.0,3.11,39.72
post-use,9.9,10.89,0.0,128700,0,21700,0,0,0.0,18170.0,0.0,17701.0,0.0,12999.0,0.0,70570.0,0.0,48870.0,0,21700,0,0,0.0,14064.0,0.0,13702.0,0.0,10062.0,0.0,59528.0,0.0,37828.0,0.0,39.72
