period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,21700,21700,,,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,21700.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13750.0,13750,,,,,1560.0,1560.0,1788.0,1788.0,1389.0,1389.0,4736.0,26436.0,4736.0,4736.0,,,,,1485.0,1485.0,1703.0,1703.0,1323.0,1323.0,4511.0,26211.0,4511.0,4511.0,3.66,9.13
2,2.0,2.0,13750.0,27500,,,,,1560.0,3119.0,1788.0,3576.0,1389.0,2778.0,4736.0,31173.0,4736.0,9473.0,,,,,1415.0,2900.0,1622.0,3325.0,1260.0,2582.0,4296.0,30507.0,4296.0,8807.0,3.66,12.79
3,3.0,3.0,13750.0,41250,,,,,1560.0,4679.0,1788.0,5364.0,1389.0,4166.0,4736.0,35909.0,4736.0,14209.0,,,,,1347.0,4247.0,1545.0,4869.0,1200.0,3782.0,4091.0,34598.0,4091.0,12898.0,3.66,16.45
4,4.0,4.0,13750.0,55000,,,,,1560.0,6238.0,1788.0,7152.0,1389.0,5555.0,4736.0,40645.0,4736.0,18945.0,,,,,1283.0,5530.0,1471.0,6340.0,1143.0,4924.0,3897.0,38495.0,3897.0,16795.0,3.66,20.11
5,5.0,5.0,13750.0,68750,,,,,1560.0,7798.0,1788.0,8940.0,1389.0,6944.0,4736.0,45382.0,4736.0,23682.0,,,,,1222.0,6752.0,1401.0,7741.0,1088.0,6013.0,3711.0,42206.0,3711.0,20506.0,3.66,23.76
6,6.0,6.0,13750.0,82500,,,,,1560.0,9358.0,1788.0,10728.0,1389.0,8332.0,4736.0,50118.0,4736.0,28418.0,,,,,1164.0,7916.0,1334.0,9075.0,1036.0,7049.0,3534.0,45740.0,3534.0,24040.0,3.66,27.42
7,7.0,7.0,13750.0,96250,,,,,1560.0,10917.0,1788.0,12516.0,1389.0,9721.0,4736.0,54854.0,4736.0,33154.0,,,,,1108.0,9024.0,1271.0,10346.0,987.0,8036.0,3366.0,49106.0,3366.0,27406.0,3.66,31.08
8,8.0,8.0,13750.0,110000,,,,,1560.0,12477.0,1788.0,14304.0,1389.0,11110.0,4736.0,59591.0,4736.0,37891.0,,,,,1056.0,10080.0,1210.0,11556.0,940.0,8976.0,3206.0,52312.0,3206.0,30612.0,3.66,34.74
9,9.0,9.0,13750.0,123750,,,,,1560.0,14036.0,1788.0,16092.0,1389.0,12499.0,4736.0,64327.0,4736.0,42627.0,,,,,1005.0,11085.0,1153.0,12709.0,895.0,9871.0,3053.0,55365.0,3053.0,33665.0,3.66,38.4
10,10.0,10.0,13750.0,137500,,,,,1560.0,15596.0,1788.0,17880.0,1389.0,13888.0,4736.0,69063.0,4736.0,47363.0,,,,,957.0,12043.0,1098.0,13806.0,853.0,10724.0,2908.0,58273.0,2908.0,36573.0,3.66,42.06
10.7,10.7,10.7,9624.99999999999,147125,,,,,1092.0,16688.0,1252.0,19132.0,972.0,14860.0,3315.0,72379.0,3315.0,50679.0,,,,,648.0,12690.0,743.0,14549.0,577.0,11300.0,1967.0,60240.0,1967.0,38540.0,2.56,44.62
post-use,10.7,11.77,0.0,147125,0,21700,0,0,0.0,16688.0,0.0,19132.0,0.0,14860.0,0.0,72379.0,0.0,50679.0,0,21700,0,0,0.0,12690.0,0.0,14549.0,0.0,11300.0,0.0,60240.0,0.0,38540.0,0.0,44.62
