period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,72000,72000,,,0.0,0.0,0,0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000,13000,,,-4153,-4153,1102.0,1102.0,1884,1884,793.0,793.0,-374.0,71626.0,-374.0,-374.0,,,-3955.0,-3955.0,1049.0,1049.0,1794.0,1794.0,755.0,755.0,-357.0,71643.0,-357.0,-357.0,1.25,11.07
2,2.0,2.0,13000,26000,,,,,1102.0,2203.0,1884,3768,793.0,1586.0,3779.0,75404.0,3779.0,3404.0,,,,,999.0,2048.0,1709.0,3503.0,719.0,1475.0,3427.0,75071.0,3427.0,3071.0,1.25,12.32
3,3.0,3.0,13000,39000,,,,,1102.0,3305.0,1884,5652,793.0,2379.0,3779.0,79183.0,3779.0,7183.0,,,,,952.0,3000.0,1627.0,5131.0,685.0,2160.0,3264.0,78335.0,3264.0,6335.0,1.25,13.58
4,4.0,4.0,13000,52000,,,,,1102.0,4406.0,1884,7536,793.0,3172.0,3779.0,82961.0,3779.0,10961.0,,,,,906.0,3906.0,1550.0,6681.0,652.0,2812.0,3109.0,81444.0,3109.0,9444.0,1.25,14.83
5,5.0,5.0,13000,65000,,,,,1102.0,5508.0,1884,9420,793.0,3965.0,3779.0,86740.0,3779.0,14740.0,,,,,863.0,4769.0,1476.0,8157.0,621.0,3433.0,2961.0,84404.0,2961.0,12404.0,1.25,16.08
6,6.0,6.0,13000,78000,,,,,1102.0,6610.0,1884,11304,793.0,4758.0,3779.0,90519.0,3779.0,18519.0,,,,,822.0,5591.0,1406.0,9563.0,592.0,4025.0,2820.0,87224.0,2820.0,15224.0,1.25,17.33
7,7.0,7.0,13000,91000,,,,,1102.0,7711.0,1884,13188,793.0,5551.0,3779.0,94297.0,3779.0,22297.0,,,,,783.0,6374.0,1339.0,10902.0,564.0,4589.0,2685.0,89909.0,2685.0,17909.0,1.25,18.58
8,8.0,8.0,13000,104000,,,,,1102.0,8813.0,1884,15072,793.0,6344.0,3779.0,98076.0,3779.0,26076.0,,,,,746.0,7120.0,1275.0,12177.0,537.0,5125.0,2558.0,92467.0,2558.0,20467.0,1.25,19.83
9,9.0,9.0,13000,117000,,,,,1102.0,9915.0,1884,16956,793.0,7137.0,3779.0,101855.0,3779.0,29855.0,,,,,710.0,7830.0,1214.0,13391.0,511.0,5637.0,2436.0,94903.0,2436.0,22903.0,1.25,21.08
10,10.0,10.0,13000,130000,,,,,1102.0,11016.0,1884,18840,793.0,7930.0,3779.0,105633.0,3779.0,33633.0,,,,,676.0,8506.0,1157.0,14548.0,487.0,6123.0,2320.0,97222.0,2320.0,25222.0,1.25,22.34
11,11.0,11.0,13000,143000,,,,,1102.0,12118.0,1884,20724,793.0,8723.0,3779.0,109412.0,3779.0,37412.0,,,,,644.0,9151.0,1102.0,15649.0,464.0,6587.0,2209.0,99432.0,2209.0,27432.0,1.25,23.59
11.5,11.5,11.5,6500,149500,,,,,551.0,12669.0,942,21666,396.0,9120.0,1889.0,111301.0,1889.0,39301.0,,,,,314.0,9465.0,537.0,16187.0,226.0,6813.0,1078.0,100510.0,1078.0,28510.0,0.63,24.21
post-use,11.5,12.65,0,149500,0,72000,0,-4153,0.0,12669.0,0,21666,0.0,9120.0,0.0,111301.0,0.0,39301.0,0,72000,0.0,-3955.0,0.0,9465.0,0.0,16187.0,0.0,6813.0,0.0,100510.0,0.0,28510.0,0.0,24.21
