period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13750.0,13750,,,-7500,-7500,717.0,717.0,1884.0,1884.0,839.0,839.0,-4061.0,67939.0,-4061.0,-4061.0,,,-7143.0,-7143.0,683.0,683.0,1794.0,1794.0,799.0,799.0,-3867.0,68133.0,-3867.0,-3867.0,2.33,12.15
2,2.0,2.0,13750.0,27500,,,,,717.0,1433.0,1884.0,3768.0,839.0,1678.0,3439.0,71379.0,3439.0,-621.0,,,,,650.0,1333.0,1709.0,3503.0,761.0,1560.0,3120.0,71253.0,3120.0,-747.0,2.33,14.48
3,3.0,3.0,13750.0,41250,,,,,717.0,2150.0,1884.0,5652.0,839.0,2516.0,3439.0,74818.0,3439.0,2818.0,,,,,619.0,1952.0,1627.0,5131.0,725.0,2284.0,2971.0,74224.0,2971.0,2224.0,2.33,16.81
4,4.0,4.0,13750.0,55000,,,,,717.0,2867.0,1884.0,7536.0,839.0,3355.0,3439.0,78258.0,3439.0,6258.0,,,,,590.0,2541.0,1550.0,6681.0,690.0,2974.0,2830.0,77053.0,2830.0,5053.0,2.33,19.13
5,5.0,5.0,13750.0,68750,,,,,717.0,3584.0,1884.0,9420.0,839.0,4194.0,3439.0,81697.0,3439.0,9697.0,,,,,562.0,3103.0,1476.0,8157.0,657.0,3631.0,2695.0,79748.0,2695.0,7748.0,2.33,21.46
6,6.0,6.0,13750.0,82500,,,,,717.0,4300.0,1884.0,11304.0,839.0,5032.0,3439.0,85137.0,3439.0,13137.0,,,,,535.0,3638.0,1406.0,9563.0,626.0,4257.0,2567.0,82315.0,2567.0,10315.0,2.33,23.79
7,7.0,7.0,13750.0,96250,,,,,717.0,5017.0,1884.0,13188.0,839.0,5871.0,3439.0,88576.0,3439.0,16576.0,,,,,509.0,4147.0,1339.0,10902.0,596.0,4853.0,2444.0,84759.0,2444.0,12759.0,2.33,26.12
8,8.0,8.0,13750.0,110000,,,,,717.0,5734.0,1884.0,15072.0,839.0,6710.0,3439.0,92016.0,3439.0,20016.0,,,,,485.0,4632.0,1275.0,12177.0,568.0,5421.0,2328.0,87087.0,2328.0,15087.0,2.33,28.45
9,9.0,9.0,13750.0,123750,,,,,717.0,6450.0,1884.0,16956.0,839.0,7549.0,3439.0,95455.0,3439.0,23455.0,,,,,462.0,5094.0,1214.0,13391.0,541.0,5962.0,2217.0,89304.0,2217.0,17304.0,2.33,30.77
10,10.0,10.0,13750.0,137500,,,,,717.0,7167.0,1884.0,18840.0,839.0,8388.0,3439.0,98895.0,3439.0,26895.0,,,,,440.0,5534.0,1157.0,14548.0,515.0,6477.0,2112.0,91416.0,2112.0,19416.0,2.33,33.1
10.7,10.7,10.7,9624.99999999999,147125,,,,,502.0,7669.0,1319.0,20159.0,587.0,8975.0,2408.0,101302.0,2408.0,29302.0,,,,,298.0,5832.0,782.0,15330.0,348.0,6825.0,1428.0,92844.0,1428.0,20844.0,1.63,34.73
post-use,10.7,11.77,0.0,147125,0,72000,0,-7500,0.0,7669.0,0.0,20159.0,0.0,8975.0,0.0,101302.0,0.0,29302.0,0,72000,0.0,-7143.0,0.0,5832.0,0.0,15330.0,0.0,6825.0,0.0,92844.0,0.0,20844.0,0.0,34.73
