period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13750.0,13750,,,-7500,-7500,742.0,742.0,1884.0,1884.0,839.0,839.0,-4035.0,67965.0,-4035.0,-4035.0,,,-4934.0,-4934.0,488.0,488.0,1239.0,1239.0,552.0,552.0,-2655.0,69345.0,-2655.0,-2655.0,2.33,12.15
2,2.0,2.0,13750.0,27500,,,,,742.0,1484.0,1884.0,3768.0,839.0,1678.0,3465.0,71429.0,3465.0,-571.0,,,,,321.0,809.0,815.0,2055.0,363.0,915.0,1500.0,70845.0,1500.0,-1155.0,2.33,14.48
3,3.0,3.0,13750.0,41250,,,,,742.0,2226.0,1884.0,5652.0,839.0,2516.0,3465.0,74894.0,3465.0,2894.0,,,,,211.0,1021.0,536.0,2591.0,239.0,1154.0,987.0,71831.0,987.0,-169.0,2.33,16.81
4,4.0,4.0,13750.0,55000,,,,,742.0,2968.0,1884.0,7536.0,839.0,3355.0,3465.0,78359.0,3465.0,6359.0,,,,,139.0,1160.0,353.0,2944.0,157.0,1311.0,649.0,72480.0,649.0,480.0,2.33,19.13
5,5.0,5.0,13750.0,68750,,,,,742.0,3710.0,1884.0,9420.0,839.0,4194.0,3465.0,81823.0,3465.0,9824.0,,,,,91.0,1251.0,232.0,3177.0,103.0,1414.0,427.0,72907.0,427.0,907.0,2.33,21.46
6,6.0,6.0,13750.0,82500,,,,,742.0,4452.0,1884.0,11304.0,839.0,5032.0,3465.0,85288.0,3465.0,13288.0,,,,,60.0,1311.0,153.0,3329.0,68.0,1482.0,281.0,73188.0,281.0,1188.0,2.33,23.79
7,7.0,7.0,13750.0,96250,,,,,742.0,5194.0,1884.0,13188.0,839.0,5871.0,3465.0,88753.0,3465.0,16753.0,,,,,40.0,1351.0,101.0,3430.0,45.0,1527.0,185.0,73373.0,185.0,1373.0,2.33,26.12
8,8.0,8.0,13750.0,110000,,,,,742.0,5936.0,1884.0,15072.0,839.0,6710.0,3465.0,92218.0,3465.0,20218.0,,,,,26.0,1377.0,66.0,3496.0,29.0,1556.0,122.0,73495.0,122.0,1495.0,2.33,28.45
9,9.0,9.0,13750.0,123750,,,,,742.0,6678.0,1884.0,16956.0,839.0,7549.0,3465.0,95682.0,3465.0,23682.0,,,,,17.0,1394.0,43.0,3539.0,19.0,1576.0,80.0,73575.0,80.0,1575.0,2.33,30.77
10,10.0,10.0,13750.0,137500,,,,,742.0,7419.0,1884.0,18840.0,839.0,8388.0,3465.0,99147.0,3465.0,27147.0,,,,,11.0,1405.0,29.0,3568.0,13.0,1588.0,53.0,73627.0,53.0,1627.0,2.33,33.1
10.7,10.7,10.7,9624.99999999999,147125,,,,,519.0,7939.0,1319.0,20159.0,587.0,8975.0,2425.0,101572.0,2425.0,29572.0,,,,,6.0,1411.0,15.0,3583.0,7.0,1595.0,27.0,73655.0,27.0,1655.0,1.63,34.73
post-use,10.7,11.77,0.0,147125,0,72000,0,-7500,0.0,7939.0,0.0,20159.0,0.0,8975.0,0.0,101572.0,0.0,29572.0,0,72000,0.0,-4934.0,0.0,1411.0,0.0,3583.0,0.0,1595.0,0.0,73655.0,0.0,1655.0,0.0,34.73
