period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,621.0,621.0,1884.0,1884.0,702.0,702.0,-4294.0,67706.0,-4294.0,-4294.0,,,-4190.0,-4190.0,347.0,347.0,1053.0,1053.0,392.0,392.0,-2399.0,69601.0,-2399.0,-2399.0,1.95,11.77
2,2.0,2.0,11500.0,23000,,,,,621.0,1241.0,1884.0,3768.0,702.0,1403.0,3206.0,70912.0,3206.0,-1088.0,,,,,194.0,540.0,588.0,1641.0,219.0,611.0,1001.0,70602.0,1001.0,-1398.0,1.95,13.72
3,3.0,3.0,11500.0,34500,,,,,621.0,1862.0,1884.0,5652.0,702.0,2104.0,3206.0,74118.0,3206.0,2118.0,,,,,108.0,649.0,328.0,1969.0,122.0,733.0,559.0,71161.0,559.0,-839.0,1.95,15.66
4,4.0,4.0,11500.0,46000,,,,,621.0,2482.0,1884.0,7536.0,702.0,2806.0,3206.0,77324.0,3206.0,5324.0,,,,,60.0,709.0,184.0,2153.0,68.0,801.0,312.0,71473.0,312.0,-527.0,1.95,17.61
5,5.0,5.0,11500.0,57500,,,,,621.0,3103.0,1884.0,9420.0,702.0,3508.0,3206.0,80530.0,3206.0,8530.0,,,,,34.0,743.0,103.0,2255.0,38.0,840.0,174.0,71647.0,174.0,-353.0,1.95,19.56
6,6.0,6.0,11500.0,69000,,,,,621.0,3723.0,1884.0,11304.0,702.0,4209.0,3206.0,83736.0,3206.0,11736.0,,,,,19.0,762.0,57.0,2312.0,21.0,861.0,97.0,71745.0,97.0,-255.0,1.95,21.5
7,7.0,7.0,11500.0,80500,,,,,621.0,4344.0,1884.0,13188.0,702.0,4910.0,3206.0,86942.0,3206.0,14942.0,,,,,11.0,772.0,32.0,2344.0,12.0,873.0,54.0,71799.0,54.0,-201.0,1.95,23.45
8,8.0,8.0,11500.0,92000,,,,,621.0,4964.0,1884.0,15072.0,702.0,5612.0,3206.0,90148.0,3206.0,18148.0,,,,,6.0,778.0,18.0,2362.0,7.0,880.0,30.0,71830.0,30.0,-170.0,1.95,25.4
8.9,8.9,8.9,10350.000000000004,102350,,,,,558.0,5523.0,1696.0,16768.0,631.0,6243.0,2885.0,93034.0,2885.0,21034.0,,,,,3.0,781.0,10.0,2372.0,4.0,883.0,16.0,71846.0,16.0,-154.0,1.75,27.15
post-use,8.9,9.790000000000001,0.0,102350,0,72000,0,-7500,0.0,5523.0,0.0,16768.0,0.0,6243.0,0.0,93034.0,0.0,21034.0,0,72000,0.0,-4190.0,0.0,781.0,0.0,2372.0,0.0,883.0,0.0,71846.0,0.0,-154.0,0.0,27.15
