period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,523.0,523.0,1884.0,1884.0,702.0,702.0,-4391.0,67609.0,-4391.0,-4391.0,,,-7143.0,-7143.0,498.0,498.0,1794.0,1794.0,668.0,668.0,-4182.0,67818.0,-4182.0,-4182.0,4.25,14.08
2,2.0,2.0,11500.0,23000,,,,,523.0,1047.0,1884.0,3768.0,702.0,1403.0,3109.0,70718.0,3109.0,-1282.0,,,,,475.0,973.0,1709.0,3503.0,636.0,1304.0,2820.0,70638.0,2820.0,-1362.0,4.25,18.33
3,3.0,3.0,11500.0,34500,,,,,523.0,1570.0,1884.0,5652.0,702.0,2104.0,3109.0,73826.0,3109.0,1826.0,,,,,452.0,1425.0,1627.0,5131.0,606.0,1910.0,2685.0,73323.0,2685.0,1323.0,4.25,22.58
4,4.0,4.0,11500.0,46000,,,,,523.0,2093.0,1884.0,7536.0,702.0,2806.0,3109.0,76935.0,3109.0,4935.0,,,,,430.0,1855.0,1550.0,6681.0,577.0,2487.0,2558.0,75881.0,2558.0,3881.0,4.25,26.84
5,5.0,5.0,11500.0,57500,,,,,523.0,2616.0,1884.0,9420.0,702.0,3508.0,3109.0,80044.0,3109.0,8044.0,,,,,410.0,2265.0,1476.0,8157.0,550.0,3037.0,2436.0,78316.0,2436.0,6316.0,4.25,31.09
6,6.0,6.0,11500.0,69000,,,,,523.0,3140.0,1884.0,11304.0,702.0,4209.0,3109.0,83152.0,3109.0,11152.0,,,,,390.0,2656.0,1406.0,9563.0,523.0,3561.0,2320.0,80636.0,2320.0,8636.0,4.25,35.35
7,7.0,7.0,11500.0,80500,,,,,523.0,3663.0,1884.0,13188.0,702.0,4910.0,3109.0,86261.0,3109.0,14261.0,,,,,372.0,3028.0,1339.0,10902.0,499.0,4059.0,2209.0,82846.0,2209.0,10846.0,4.25,39.6
8,8.0,8.0,11500.0,92000,,,,,523.0,4186.0,1884.0,15072.0,702.0,5612.0,3109.0,89370.0,3109.0,17370.0,,,,,354.0,3382.0,1275.0,12177.0,475.0,4534.0,2104.0,84950.0,2104.0,12950.0,4.25,43.85
8.9,8.9,8.9,10350.000000000004,102350,,,,,471.0,4657.0,1696.0,16768.0,631.0,6243.0,2798.0,92168.0,2798.0,20168.0,,,,,305.0,3687.0,1098.0,13275.0,409.0,4943.0,1812.0,86762.0,1812.0,14762.0,3.83,47.68
post-use,8.9,9.790000000000001,0.0,102350,0,72000,0,-7500,0.0,4657.0,0.0,16768.0,0.0,6243.0,0.0,92168.0,0.0,20168.0,0,72000,0.0,-7143.0,0.0,3687.0,0.0,13275.0,0.0,4943.0,0.0,86762.0,0.0,14762.0,0.0,47.68
