period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13750.0,13750,,,-7500,-7500,632.0,632.0,1884.0,1884.0,839.0,839.0,-4146.0,67854.0,-4146.0,-4146.0,,,-7143.0,-7143.0,601.0,601.0,1794.0,1794.0,799.0,799.0,-3948.0,68052.0,-3948.0,-3948.0,5.09,14.91
2,2.0,2.0,13750.0,27500,,,,,632.0,1263.0,1884.0,3768.0,839.0,1678.0,3354.0,71209.0,3354.0,-791.0,,,,,573.0,1174.0,1709.0,3503.0,761.0,1560.0,3042.0,71094.0,3042.0,-906.0,5.09,19.99
3,3.0,3.0,13750.0,41250,,,,,632.0,1895.0,1884.0,5652.0,839.0,2516.0,3354.0,74563.0,3354.0,2563.0,,,,,546.0,1720.0,1627.0,5131.0,725.0,2284.0,2898.0,73992.0,2898.0,1992.0,5.09,25.08
4,4.0,4.0,13750.0,55000,,,,,632.0,2526.0,1884.0,7536.0,839.0,3355.0,3354.0,77917.0,3354.0,5917.0,,,,,520.0,2239.0,1550.0,6681.0,690.0,2974.0,2760.0,76751.0,2760.0,4751.0,5.09,30.17
5,5.0,5.0,13750.0,68750,,,,,632.0,3158.0,1884.0,9420.0,839.0,4194.0,3354.0,81272.0,3354.0,9272.0,,,,,495.0,2734.0,1476.0,8157.0,657.0,3631.0,2628.0,79380.0,2628.0,7380.0,5.09,35.25
6,6.0,6.0,13750.0,82500,,,,,632.0,3789.0,1884.0,11304.0,839.0,5032.0,3354.0,84626.0,3354.0,12626.0,,,,,471.0,3206.0,1406.0,9563.0,626.0,4257.0,2503.0,81883.0,2503.0,9883.0,5.09,40.34
7,7.0,7.0,13750.0,96250,,,,,632.0,4421.0,1884.0,13188.0,839.0,5871.0,3354.0,87980.0,3354.0,15980.0,,,,,449.0,3654.0,1339.0,10902.0,596.0,4853.0,2384.0,84266.0,2384.0,12266.0,5.09,45.43
8,8.0,8.0,13750.0,110000,,,,,632.0,5053.0,1884.0,15072.0,839.0,6710.0,3354.0,91335.0,3354.0,19335.0,,,,,427.0,4082.0,1275.0,12177.0,568.0,5421.0,2270.0,86537.0,2270.0,14537.0,5.09,50.51
9,9.0,9.0,13750.0,123750,,,,,632.0,5684.0,1884.0,16956.0,839.0,7549.0,3354.0,94689.0,3354.0,22689.0,,,,,407.0,4489.0,1214.0,13391.0,541.0,5962.0,2162.0,88699.0,2162.0,16699.0,5.09,55.6
10,10.0,10.0,13750.0,137500,,,,,632.0,6316.0,1884.0,18840.0,839.0,8388.0,3354.0,98043.0,3354.0,26043.0,,,,,388.0,4877.0,1157.0,14548.0,515.0,6477.0,2059.0,90758.0,2059.0,18758.0,5.09,60.68
10.7,10.7,10.7,9624.99999999999,147125,,,,,442.0,6758.0,1319.0,20159.0,587.0,8975.0,2348.0,100391.0,2348.0,28391.0,,,,,262.0,5139.0,782.0,15330.0,348.0,6825.0,1393.0,92151.0,1393.0,20151.0,3.56,64.24
post-use,10.7,11.77,0.0,147125,0,72000,0,-7500,0.0,6758.0,0.0,20159.0,0.0,8975.0,0.0,100391.0,0.0,28391.0,0,72000,0.0,-7143.0,0.0,5139.0,0.0,15330.0,0.0,6825.0,0.0,92151.0,0.0,20151.0,0.0,64.24
