period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,73920,73920,,,0.0,0.0,0,0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.47,5.47
1,1,1.0,13250,13250,,,,,2264.0,2264.0,1788,1788,1338.0,1338.0,5390.0,79310.0,5390.0,5390.0,,,,,2156.0,2156.0,1703.0,1703.0,1275.0,1275.0,5133.0,79053.0,5133.0,5133.0,4.9,10.37
2,2,2.0,13250,26500,,,,,2264.0,4528.0,1788,3576,1338.0,2676.0,5390.0,84700.0,5390.0,10780.0,,,,,2053.0,4209.0,1622.0,3325.0,1214.0,2488.0,4889.0,83942.0,4889.0,10022.0,4.9,15.26
3,3,3.0,13250,39750,,,,,2264.0,6791.0,1788,5364,1338.0,4015.0,5390.0,90090.0,5390.0,16170.0,,,,,1956.0,6165.0,1545.0,4869.0,1156.0,3644.0,4656.0,88599.0,4656.0,14679.0,4.9,20.16
4,4,4.0,13250,53000,,,,,2264.0,9055.0,1788,7152,1338.0,5353.0,5390.0,95480.0,5390.0,21560.0,,,,,1862.0,8027.0,1471.0,6340.0,1101.0,4745.0,4434.0,93033.0,4434.0,19113.0,4.9,25.06
5,5,5.0,13250,66250,,,,,2264.0,11319.0,1788,8940,1338.0,6691.0,5390.0,100870.0,5390.0,26950.0,,,,,1774.0,9801.0,1401.0,7741.0,1049.0,5794.0,4223.0,97256.0,4223.0,23336.0,4.9,29.95
6,6,6.0,13250,79500,,,,,2264.0,13583.0,1788,10728,1338.0,8030.0,5390.0,106260.0,5390.0,32340.0,,,,,1689.0,11490.0,1334.0,9075.0,999.0,6793.0,4022.0,101278.0,4022.0,27358.0,4.9,34.85
7,7,7.0,13250,92750,,,,,2264.0,15847.0,1788,12516,1338.0,9368.0,5390.0,111651.0,5390.0,37731.0,,,,,1609.0,13099.0,1271.0,10346.0,951.0,7744.0,3831.0,105109.0,3831.0,31189.0,4.9,39.75
8,8,8.0,13250,106000,,,,,2264.0,18111.0,1788,14304,1338.0,10706.0,5390.0,117041.0,5390.0,43121.0,,,,,1532.0,14632.0,1210.0,11556.0,906.0,8649.0,3648.0,108757.0,3648.0,34837.0,4.9,44.65
9,9,9.0,13250,119250,,,,,2264.0,20374.0,1788,16092,1338.0,12044.0,5390.0,122431.0,5390.0,48511.0,,,,,1459.0,16091.0,1153.0,12709.0,863.0,9512.0,3474.0,112232.0,3474.0,38312.0,4.9,49.54
10,10,10.0,13250,132500,,,,,2264.0,22638.0,1788,17880,1338.0,13382.0,5390.0,127821.0,5390.0,53901.0,,,,,1390.0,17481.0,1098.0,13806.0,822.0,10334.0,3309.0,115541.0,3309.0,41621.0,4.9,54.44
11,11,11.0,13250,145750,,,,,2264.0,24902.0,1788,19668,1338.0,14721.0,5390.0,133211.0,5390.0,59291.0,,,,,1324.0,18804.0,1045.0,14852.0,782.0,11116.0,3151.0,118692.0,3151.0,44772.0,4.9,59.34
12,12,12.0,13250,159000,,,,,2264.0,27166.0,1788,21456,1338.0,16059.0,5390.0,138601.0,5390.0,64681.0,,,,,1261.0,20065.0,996.0,15847.0,745.0,11861.0,3001.0,121694.0,3001.0,47774.0,4.9,64.23
13,13,13.0,13250,172250,,,,,2264.0,29430.0,1788,23244,1338.0,17397.0,5390.0,143991.0,5390.0,70071.0,,,,,1201.0,21265.0,948.0,16796.0,710.0,12571.0,2858.0,124552.0,2858.0,50632.0,4.9,69.13
post-use,13,14.3,0,172250,0,73920,0,0,0.0,29430.0,0,23244,0.0,17397.0,0.0,143991.0,0.0,70071.0,0,73920,0,0,0.0,21265.0,0.0,16796.0,0.0,12571.0,0.0,124552.0,0.0,50632.0,0.0,69.13
