period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,73920,73920,,,0.0,0.0,0,0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,3210.0,3210.0,1788,1788,1439.0,1439.0,6437.0,80357.0,6437.0,6437.0,,,,,3057.0,3057.0,1703.0,1703.0,1371.0,1371.0,6131.0,80051.0,6131.0,6131.0,5.27,10.74
2,2.0,2.0,14250,28500,,,,,3210.0,6420.0,1788,3576,1439.0,2878.0,6437.0,86795.0,6437.0,12875.0,,,,,2912.0,5969.0,1622.0,3325.0,1305.0,2676.0,5839.0,85890.0,5839.0,11970.0,5.27,16.0
3,3.0,3.0,14250,42750,,,,,3210.0,9631.0,1788,5364,1439.0,4318.0,6437.0,93232.0,6437.0,19312.0,,,,,2773.0,8742.0,1545.0,4869.0,1243.0,3919.0,5561.0,91451.0,5561.0,17531.0,5.27,21.27
4,4.0,4.0,14250,57000,,,,,3210.0,12841.0,1788,7152,1439.0,5757.0,6437.0,99670.0,6437.0,25750.0,,,,,2641.0,11383.0,1471.0,6340.0,1184.0,5104.0,5296.0,96747.0,5296.0,22827.0,5.27,26.54
5,5.0,5.0,14250,71250,,,,,3210.0,16051.0,1788,8940,1439.0,7196.0,6437.0,106107.0,6437.0,32187.0,,,,,2515.0,13899.0,1401.0,7741.0,1128.0,6231.0,5044.0,101791.0,5044.0,27871.0,5.27,31.8
6,6.0,6.0,14250,85500,,,,,3210.0,19261.0,1788,10728,1439.0,8636.0,6437.0,112545.0,6437.0,38625.0,,,,,2396.0,16294.0,1334.0,9075.0,1074.0,7305.0,4804.0,106595.0,4804.0,32675.0,5.27,37.07
7,7.0,7.0,14250,99750,,,,,3210.0,22471.0,1788,12516,1439.0,10075.0,6437.0,118982.0,6437.0,45062.0,,,,,2281.0,18575.0,1271.0,10346.0,1023.0,8328.0,4575.0,111170.0,4575.0,37250.0,5.27,42.34
8,8.0,8.0,14250,114000,,,,,3210.0,25682.0,1788,14304,1439.0,11514.0,6437.0,125420.0,6437.0,51500.0,,,,,2173.0,20748.0,1210.0,11556.0,974.0,9302.0,4357.0,115527.0,4357.0,41607.0,5.27,47.6
9,9.0,9.0,14250,128250,,,,,3210.0,28892.0,1788,16092,1439.0,12953.0,6437.0,131857.0,6437.0,57937.0,,,,,2069.0,22818.0,1153.0,12709.0,928.0,10230.0,4150.0,119676.0,4150.0,45756.0,5.27,52.87
10,10.0,10.0,14250,142500,,,,,3210.0,32102.0,1788,17880,1439.0,14392.0,6437.0,138295.0,6437.0,64375.0,,,,,1971.0,24788.0,1098.0,13806.0,884.0,11114.0,3952.0,123628.0,3952.0,49708.0,5.27,58.14
11,11.0,11.0,14250,156750,,,,,3210.0,35312.0,1788,19668,1439.0,15832.0,6437.0,144732.0,6437.0,70812.0,,,,,1877.0,26665.0,1045.0,14852.0,841.0,11955.0,3764.0,127392.0,3764.0,53472.0,5.27,63.4
11.5,11.5,11.5,7125,163875,,,,,1605.0,36917.0,894,20562,720.0,16551.0,3219.0,147951.0,3219.0,74031.0,,,,,916.0,27581.0,510.0,15362.0,411.0,12366.0,1837.0,129229.0,1837.0,55309.0,2.63,66.03
post-use,11.5,12.65,0,163875,0,73920,0,0,0.0,36917.0,0,20562,0.0,16551.0,0.0,147951.0,0.0,74031.0,0,73920,0,0,0.0,27581.0,0.0,15362.0,0.0,12366.0,0.0,129229.0,0.0,55309.0,0.0,66.03
