period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,73920,73920,,,0.0,0.0,0,0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,1731.0,1731.0,1788,1788,1439.0,1439.0,4958.0,78878.0,4958.0,4958.0,,,,,1649.0,1649.0,1703.0,1703.0,1371.0,1371.0,4722.0,78642.0,4722.0,4722.0,5.27,10.74
2,2.0,2.0,14250,28500,,,,,1731.0,3462.0,1788,3576,1439.0,2878.0,4958.0,83836.0,4958.0,9916.0,,,,,1570.0,3219.0,1622.0,3325.0,1305.0,2676.0,4497.0,83139.0,4497.0,9219.0,5.27,16.0
3,3.0,3.0,14250,42750,,,,,1731.0,5193.0,1788,5364,1439.0,4318.0,4958.0,88795.0,4958.0,14875.0,,,,,1495.0,4714.0,1545.0,4869.0,1243.0,3919.0,4283.0,87423.0,4283.0,13503.0,5.27,21.27
4,4.0,4.0,14250,57000,,,,,1731.0,6924.0,1788,7152,1439.0,5757.0,4958.0,93753.0,4958.0,19833.0,,,,,1424.0,6138.0,1471.0,6340.0,1184.0,5104.0,4079.0,91502.0,4079.0,17582.0,5.27,26.54
5,5.0,5.0,14250,71250,,,,,1731.0,8655.0,1788,8940,1439.0,7196.0,4958.0,98711.0,4958.0,24791.0,,,,,1356.0,7494.0,1401.0,7741.0,1128.0,6231.0,3885.0,95387.0,3885.0,21467.0,5.27,31.8
6,6.0,6.0,14250,85500,,,,,1731.0,10386.0,1788,10728,1439.0,8636.0,4958.0,103669.0,4958.0,29749.0,,,,,1292.0,8786.0,1334.0,9075.0,1074.0,7305.0,3700.0,99087.0,3700.0,25167.0,5.27,37.07
7,7.0,7.0,14250,99750,,,,,1731.0,12117.0,1788,12516,1439.0,10075.0,4958.0,108628.0,4958.0,34708.0,,,,,1230.0,10016.0,1271.0,10346.0,1023.0,8328.0,3524.0,102610.0,3524.0,28690.0,5.27,42.34
8,8.0,8.0,14250,114000,,,,,1731.0,13848.0,1788,14304,1439.0,11514.0,4958.0,113586.0,4958.0,39666.0,,,,,1172.0,11188.0,1210.0,11556.0,974.0,9302.0,3356.0,105966.0,3356.0,32046.0,5.27,47.6
9,9.0,9.0,14250,128250,,,,,1731.0,15579.0,1788,16092,1439.0,12953.0,4958.0,118544.0,4958.0,44624.0,,,,,1116.0,12304.0,1153.0,12709.0,928.0,10230.0,3196.0,109162.0,3196.0,35242.0,5.27,52.87
10,10.0,10.0,14250,142500,,,,,1731.0,17310.0,1788,17880,1439.0,14392.0,4958.0,123502.0,4958.0,49582.0,,,,,1063.0,13366.0,1098.0,13806.0,884.0,11114.0,3044.0,112206.0,3044.0,38286.0,5.27,58.14
11,11.0,11.0,14250,156750,,,,,1731.0,19041.0,1788,19668,1439.0,15832.0,4958.0,128461.0,4958.0,54541.0,,,,,1012.0,14378.0,1045.0,14852.0,841.0,11955.0,2899.0,115105.0,2899.0,41185.0,5.27,63.4
11.5,11.5,11.5,7125,163875,,,,,865.0,19906.0,894,20562,720.0,16551.0,2479.0,130940.0,2479.0,57020.0,,,,,494.0,14872.0,510.0,15362.0,411.0,12366.0,1415.0,116520.0,1415.0,42600.0,2.63,66.03
post-use,11.5,12.65,0,163875,0,73920,0,0,0.0,19906.0,0,20562,0.0,16551.0,0.0,130940.0,0.0,57020.0,0,73920,0,0,0.0,14872.0,0.0,15362.0,0.0,12366.0,0.0,116520.0,0.0,42600.0,0.0,66.03
