period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,61448,61448,,,0.0,0.0,0,0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,14250,14250,,,-4153,-4153,1123.0,1123.0,1884,1884,869.0,869.0,-277.0,61171.0,-277.0,-277.0,,,-3955.0,-3955.0,1069.0,1069.0,1794.0,1794.0,828.0,828.0,-264.0,61184.0,-264.0,-264.0,1.28,11.1
2,2.0,2.0,14250,28500,,,,,1123.0,2245.0,1884,3768,869.0,1738.0,3876.0,65047.0,3876.0,3599.0,,,,,1018.0,2087.0,1709.0,3503.0,788.0,1616.0,3516.0,64700.0,3516.0,3252.0,1.28,12.37
3,3.0,3.0,14250,42750,,,,,1123.0,3368.0,1884,5652,869.0,2608.0,3876.0,68923.0,3876.0,7475.0,,,,,970.0,3057.0,1627.0,5131.0,751.0,2367.0,3348.0,68048.0,3348.0,6600.0,1.28,13.65
4,4.0,4.0,14250,57000,,,,,1123.0,4491.0,1884,7536,869.0,3477.0,3876.0,72799.0,3876.0,11351.0,,,,,924.0,3981.0,1550.0,6681.0,715.0,3082.0,3189.0,71236.0,3189.0,9788.0,1.28,14.92
5,5.0,5.0,14250,71250,,,,,1123.0,5613.0,1884,9420,869.0,4346.0,3876.0,76674.0,3876.0,15226.0,,,,,880.0,4860.0,1476.0,8157.0,681.0,3763.0,3037.0,74273.0,3037.0,12825.0,1.28,16.2
6,6.0,6.0,14250,85500,,,,,1123.0,6736.0,1884,11304,869.0,5216.0,3876.0,80550.0,3876.0,19102.0,,,,,838.0,5698.0,1406.0,9563.0,649.0,4412.0,2892.0,77166.0,2892.0,15718.0,1.28,17.47
7,7.0,7.0,14250,99750,,,,,1123.0,7858.0,1884,13188,869.0,6085.0,3876.0,84426.0,3876.0,22978.0,,,,,798.0,6496.0,1339.0,10902.0,618.0,5030.0,2755.0,79920.0,2755.0,18472.0,1.28,18.75
8,8.0,8.0,14250,114000,,,,,1123.0,8981.0,1884,15072,869.0,6954.0,3876.0,88302.0,3876.0,26854.0,,,,,760.0,7256.0,1275.0,12177.0,588.0,5618.0,2623.0,82543.0,2623.0,21095.0,1.28,20.02
9,9.0,9.0,14250,128250,,,,,1123.0,10104.0,1884,16956,869.0,7823.0,3876.0,92178.0,3876.0,30730.0,,,,,724.0,7980.0,1214.0,13391.0,560.0,6178.0,2498.0,85042.0,2498.0,23594.0,1.28,21.3
10,10.0,10.0,14250,142500,,,,,1123.0,11226.0,1884,18840,869.0,8692.0,3876.0,96054.0,3876.0,34606.0,,,,,689.0,8669.0,1157.0,14548.0,534.0,6712.0,2379.0,87421.0,2379.0,25973.0,1.28,22.57
11,11.0,11.0,14250,156750,,,,,1123.0,12349.0,1884,20724,869.0,9562.0,3876.0,99930.0,3876.0,38482.0,,,,,656.0,9325.0,1102.0,15649.0,508.0,7220.0,2266.0,89688.0,2266.0,28240.0,1.28,23.85
11.5,11.5,11.5,7125,163875,,,,,561.0,12910.0,942,21666,435.0,9996.0,1938.0,101868.0,1938.0,40420.0,,,,,320.0,9645.0,537.0,16187.0,248.0,7468.0,1106.0,90793.0,1106.0,29345.0,0.64,24.49
post-use,11.5,12.65,0,163875,0,61448,0,-4153,0.0,12910.0,0,21666,0.0,9996.0,0.0,101868.0,0.0,40420.0,0,61448,0.0,-3955.0,0.0,9645.0,0.0,16187.0,0.0,7468.0,0.0,90793.0,0.0,29345.0,0.0,24.49
