period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,12500.0,12500,,,-7500,-7500,1627.0,1627.0,1884.0,1884.0,762.0,762.0,-3227.0,58221.0,-3227.0,-3227.0,,,-7143.0,-7143.0,1549.0,1549.0,1794.0,1794.0,726.0,726.0,-3073.0,58375.0,-3073.0,-3073.0,1.97,11.79
2,2.0,2.0,12500.0,25000,,,,,1627.0,3254.0,1884.0,3768.0,762.0,1525.0,4273.0,62495.0,4273.0,1047.0,,,,,1476.0,3025.0,1709.0,3503.0,692.0,1418.0,3876.0,62251.0,3876.0,803.0,1.97,13.76
3,3.0,3.0,12500.0,37500,,,,,1627.0,4881.0,1884.0,5652.0,762.0,2288.0,4273.0,66768.0,4273.0,5320.0,,,,,1405.0,4431.0,1627.0,5131.0,659.0,2076.0,3692.0,65943.0,3692.0,4495.0,1.97,15.72
4,4.0,4.0,12500.0,50000,,,,,1627.0,6508.0,1884.0,7536.0,762.0,3050.0,4273.0,71042.0,4273.0,9594.0,,,,,1338.0,5769.0,1550.0,6681.0,627.0,2704.0,3516.0,69459.0,3516.0,8011.0,1.97,17.69
5,5.0,5.0,12500.0,62500,,,,,1627.0,8135.0,1884.0,9420.0,762.0,3812.0,4273.0,75315.0,4273.0,13867.0,,,,,1275.0,7044.0,1476.0,8157.0,597.0,3301.0,3348.0,72807.0,3348.0,11359.0,1.97,19.66
6,6.0,6.0,12500.0,75000,,,,,1627.0,9762.0,1884.0,11304.0,762.0,4575.0,4273.0,79589.0,4273.0,18141.0,,,,,1214.0,8258.0,1406.0,9563.0,569.0,3870.0,3189.0,75996.0,3189.0,14548.0,1.97,21.63
7,7.0,7.0,12500.0,87500,,,,,1627.0,11389.0,1884.0,13188.0,762.0,5338.0,4273.0,83862.0,4273.0,22414.0,,,,,1156.0,9414.0,1339.0,10902.0,542.0,4412.0,3037.0,79033.0,3037.0,17585.0,1.97,23.59
8,8.0,8.0,12500.0,100000,,,,,1627.0,13016.0,1884.0,15072.0,762.0,6100.0,4273.0,88136.0,4273.0,26688.0,,,,,1101.0,10515.0,1275.0,12177.0,516.0,4928.0,2892.0,81925.0,2892.0,20477.0,1.97,25.56
8.9,8.9,8.9,11250.000000000004,111250,,,,,1464.0,14480.0,1696.0,16768.0,686.0,6786.0,3846.0,91982.0,3846.0,30534.0,,,,,948.0,11464.0,1098.0,13275.0,445.0,5373.0,2491.0,84417.0,2491.0,22969.0,1.77,27.33
post-use,8.9,9.790000000000001,0.0,111250,0,61448,0,-7500,0.0,14480.0,0.0,16768.0,0.0,6786.0,0.0,91982.0,0.0,30534.0,0,61448,0.0,-7143.0,0.0,11464.0,0.0,13275.0,0.0,5373.0,0.0,84417.0,0.0,22969.0,0.0,27.33
