period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,770.0,770.0,1884.0,1884.0,702.0,702.0,-4145.0,57303.0,-4145.0,-4145.0,,,-7143.0,-7143.0,733.0,733.0,1794.0,1794.0,668.0,668.0,-3947.0,57501.0,-3947.0,-3947.0,1.02,10.84
2,2.0,2.0,11500.0,23000,,,,,770.0,1539.0,1884.0,3768.0,702.0,1403.0,3355.0,60658.0,3355.0,-790.0,,,,,698.0,1431.0,1709.0,3503.0,636.0,1304.0,3043.0,60544.0,3043.0,-904.0,1.02,11.87
3,3.0,3.0,11500.0,34500,,,,,770.0,2309.0,1884.0,5652.0,702.0,2104.0,3355.0,64014.0,3355.0,2566.0,,,,,665.0,2096.0,1627.0,5131.0,606.0,1910.0,2898.0,63442.0,2898.0,1994.0,1.02,12.89
4,4.0,4.0,11500.0,46000,,,,,770.0,3079.0,1884.0,7536.0,702.0,2806.0,3355.0,67369.0,3355.0,5921.0,,,,,633.0,2729.0,1550.0,6681.0,577.0,2487.0,2760.0,66203.0,2760.0,4755.0,1.02,13.91
5,5.0,5.0,11500.0,57500,,,,,770.0,3849.0,1884.0,9420.0,702.0,3508.0,3355.0,70724.0,3355.0,9276.0,,,,,603.0,3333.0,1476.0,8157.0,550.0,3037.0,2629.0,68832.0,2629.0,7384.0,1.02,14.93
6,6.0,6.0,11500.0,69000,,,,,770.0,4618.0,1884.0,11304.0,702.0,4209.0,3355.0,74079.0,3355.0,12631.0,,,,,574.0,3907.0,1406.0,9563.0,523.0,3561.0,2504.0,71335.0,2504.0,9887.0,1.02,15.95
7,7.0,7.0,11500.0,80500,,,,,770.0,5388.0,1884.0,13188.0,702.0,4910.0,3355.0,77435.0,3355.0,15987.0,,,,,547.0,4454.0,1339.0,10902.0,499.0,4059.0,2385.0,73720.0,2385.0,12272.0,1.02,16.97
8,8.0,8.0,11500.0,92000,,,,,770.0,6158.0,1884.0,15072.0,702.0,5612.0,3355.0,80790.0,3355.0,19342.0,,,,,521.0,4975.0,1275.0,12177.0,475.0,4534.0,2271.0,75991.0,2271.0,14543.0,1.02,17.99
8.9,8.9,8.9,10350.000000000004,102350,,,,,693.0,6851.0,1696.0,16768.0,631.0,6243.0,3020.0,83810.0,3020.0,22362.0,,,,,449.0,5424.0,1098.0,13275.0,409.0,4943.0,1956.0,77947.0,1956.0,16499.0,0.92,18.91
post-use,8.9,9.790000000000001,0.0,102350,0,61448,0,-7500,0.0,6851.0,0.0,16768.0,0.0,6243.0,0.0,83810.0,0.0,22362.0,0,61448,0.0,-7143.0,0.0,5424.0,0.0,13275.0,0.0,4943.0,0.0,77947.0,0.0,16499.0,0.0,18.91
