period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,61448,61448,,,0.0,0.0,0,0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,14250,14250,,,-4153,-4153,621.0,621.0,1884,1884,869.0,869.0,-778.0,60670.0,-778.0,-778.0,,,-3955.0,-3955.0,592.0,592.0,1794.0,1794.0,828.0,828.0,-741.0,60707.0,-741.0,-741.0,2.39,12.21
2,2.0,2.0,14250,28500,,,,,621.0,1243.0,1884,3768,869.0,1738.0,3375.0,64044.0,3375.0,2596.0,,,,,564.0,1155.0,1709.0,3503.0,788.0,1616.0,3061.0,63768.0,3061.0,2320.0,2.39,14.6
3,3.0,3.0,14250,42750,,,,,621.0,1864.0,1884,5652,869.0,2608.0,3375.0,67419.0,3375.0,5971.0,,,,,537.0,1692.0,1627.0,5131.0,751.0,2367.0,2915.0,66683.0,2915.0,5235.0,2.39,16.98
4,4.0,4.0,14250,57000,,,,,621.0,2486.0,1884,7536,869.0,3477.0,3375.0,70794.0,3375.0,9346.0,,,,,511.0,2203.0,1550.0,6681.0,715.0,3082.0,2776.0,69459.0,2776.0,8011.0,2.39,19.37
5,5.0,5.0,14250,71250,,,,,621.0,3107.0,1884,9420,869.0,4346.0,3375.0,74168.0,3375.0,12720.0,,,,,487.0,2690.0,1476.0,8157.0,681.0,3763.0,2644.0,72103.0,2644.0,10655.0,2.39,21.76
6,6.0,6.0,14250,85500,,,,,621.0,3728.0,1884,11304,869.0,5216.0,3375.0,77543.0,3375.0,16095.0,,,,,464.0,3154.0,1406.0,9563.0,649.0,4412.0,2518.0,74621.0,2518.0,13173.0,2.39,24.14
7,7.0,7.0,14250,99750,,,,,621.0,4350.0,1884,13188,869.0,6085.0,3375.0,80917.0,3375.0,19469.0,,,,,442.0,3596.0,1339.0,10902.0,618.0,5030.0,2398.0,77020.0,2398.0,15572.0,2.39,26.53
8,8.0,8.0,14250,114000,,,,,621.0,4971.0,1884,15072,869.0,6954.0,3375.0,84292.0,3375.0,22844.0,,,,,421.0,4016.0,1275.0,12177.0,588.0,5618.0,2284.0,79304.0,2284.0,17856.0,2.39,28.92
9,9.0,9.0,14250,128250,,,,,621.0,5592.0,1884,16956,869.0,7823.0,3375.0,87667.0,3375.0,26219.0,,,,,401.0,4417.0,1214.0,13391.0,560.0,6178.0,2175.0,81479.0,2175.0,20031.0,2.39,31.3
10,10.0,10.0,14250,142500,,,,,621.0,6214.0,1884,18840,869.0,8692.0,3375.0,91041.0,3375.0,29593.0,,,,,381.0,4798.0,1157.0,14548.0,534.0,6712.0,2072.0,83551.0,2072.0,22103.0,2.39,33.69
11,11.0,11.0,14250,156750,,,,,621.0,6835.0,1884,20724,869.0,9562.0,3375.0,94416.0,3375.0,32968.0,,,,,363.0,5161.0,1102.0,15649.0,508.0,7220.0,1973.0,85524.0,1973.0,24076.0,2.39,36.08
11.5,11.5,11.5,7125,163875,,,,,311.0,7146.0,942,21666,435.0,9996.0,1687.0,96103.0,1687.0,34655.0,,,,,177.0,5339.0,537.0,16187.0,248.0,7468.0,963.0,86487.0,963.0,25039.0,1.19,37.27
post-use,11.5,12.65,0,163875,0,61448,0,-4153,0.0,7146.0,0,21666,0.0,9996.0,0.0,96103.0,0.0,34655.0,0,61448,0.0,-3955.0,0.0,5339.0,0.0,16187.0,0.0,7468.0,0.0,86487.0,0.0,25039.0,0.0,37.27
