period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,652.0,652.0,1884.0,1884.0,793.0,793.0,-4171.0,57277.0,-4171.0,-4171.0,,,-4076.0,-4076.0,354.0,354.0,1024.0,1024.0,431.0,431.0,-2267.0,59181.0,-2267.0,-2267.0,2.05,11.87
2,2.0,2.0,13000.0,26000,,,,,652.0,1304.0,1884.0,3768.0,793.0,1586.0,3329.0,60606.0,3329.0,-842.0,,,,,193.0,547.0,556.0,1580.0,234.0,665.0,983.0,60165.0,983.0,-1283.0,2.05,13.91
3,3.0,3.0,13000.0,39000,,,,,652.0,1956.0,1884.0,5652.0,793.0,2379.0,3329.0,63935.0,3329.0,2487.0,,,,,105.0,652.0,302.0,1883.0,127.0,793.0,534.0,60699.0,534.0,-749.0,2.05,15.96
4,4.0,4.0,13000.0,52000,,,,,652.0,2609.0,1884.0,7536.0,793.0,3172.0,3329.0,67265.0,3329.0,5817.0,,,,,57.0,709.0,164.0,2047.0,69.0,862.0,290.0,60989.0,290.0,-459.0,2.05,18.01
5,5.0,5.0,13000.0,65000,,,,,652.0,3261.0,1884.0,9420.0,793.0,3965.0,3329.0,70594.0,3329.0,9146.0,,,,,31.0,740.0,89.0,2137.0,38.0,899.0,158.0,61147.0,158.0,-301.0,2.05,20.05
6,6.0,6.0,13000.0,78000,,,,,652.0,3913.0,1884.0,11304.0,793.0,4758.0,3329.0,73923.0,3329.0,12475.0,,,,,17.0,756.0,49.0,2185.0,20.0,920.0,86.0,61233.0,86.0,-215.0,2.05,22.1
7,7.0,7.0,13000.0,91000,,,,,652.0,4565.0,1884.0,13188.0,793.0,5551.0,3329.0,77252.0,3329.0,15804.0,,,,,9.0,766.0,26.0,2211.0,11.0,931.0,47.0,61280.0,47.0,-168.0,2.05,24.15
8,8.0,8.0,13000.0,104000,,,,,652.0,5217.0,1884.0,15072.0,793.0,6344.0,3329.0,80581.0,3329.0,19133.0,,,,,5.0,770.0,14.0,2226.0,6.0,937.0,25.0,61305.0,25.0,-143.0,2.05,26.19
9,9.0,9.0,13000.0,117000,,,,,652.0,5869.0,1884.0,16956.0,793.0,7137.0,3329.0,83910.0,3329.0,22462.0,,,,,3.0,773.0,8.0,2234.0,3.0,940.0,14.0,61319.0,14.0,-129.0,2.05,28.24
9.9,9.9,9.9,11700.000000000005,128700,,,,,587.0,6456.0,1696.0,18652.0,714.0,7851.0,2996.0,86907.0,2996.0,25459.0,,,,,1.0,775.0,4.0,2238.0,2.0,942.0,7.0,61326.0,7.0,-122.0,1.84,30.08
post-use,9.9,10.89,0.0,128700,0,61448,0,-7500,0.0,6456.0,0.0,18652.0,0.0,7851.0,0.0,86907.0,0.0,25459.0,0,61448,0.0,-4076.0,0.0,775.0,0.0,2238.0,0.0,942.0,0.0,61326.0,0.0,-122.0,0.0,30.08
