period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,577.0,577.0,1884.0,1884.0,702.0,702.0,-4338.0,57110.0,-4338.0,-4338.0,,,-7143.0,-7143.0,549.0,549.0,1794.0,1794.0,668.0,668.0,-4131.0,57317.0,-4131.0,-4131.0,1.81,11.63
2,2.0,2.0,11500.0,23000,,,,,577.0,1154.0,1884.0,3768.0,702.0,1403.0,3162.0,60273.0,3162.0,-1175.0,,,,,523.0,1073.0,1709.0,3503.0,636.0,1304.0,2868.0,60185.0,2868.0,-1263.0,1.81,13.44
3,3.0,3.0,11500.0,34500,,,,,577.0,1731.0,1884.0,5652.0,702.0,2104.0,3162.0,63435.0,3162.0,1987.0,,,,,498.0,1571.0,1627.0,5131.0,606.0,1910.0,2732.0,62917.0,2732.0,1469.0,1.81,15.25
4,4.0,4.0,11500.0,46000,,,,,577.0,2308.0,1884.0,7536.0,702.0,2806.0,3162.0,66598.0,3162.0,5150.0,,,,,475.0,2046.0,1550.0,6681.0,577.0,2487.0,2602.0,65519.0,2602.0,4071.0,1.81,17.06
5,5.0,5.0,11500.0,57500,,,,,577.0,2885.0,1884.0,9420.0,702.0,3508.0,3162.0,69760.0,3162.0,8312.0,,,,,452.0,2498.0,1476.0,8157.0,550.0,3037.0,2478.0,67997.0,2478.0,6549.0,1.81,18.87
6,6.0,6.0,11500.0,69000,,,,,577.0,3461.0,1884.0,11304.0,702.0,4209.0,3162.0,72922.0,3162.0,11474.0,,,,,430.0,2928.0,1406.0,9563.0,523.0,3561.0,2360.0,70357.0,2360.0,8909.0,1.81,20.68
7,7.0,7.0,11500.0,80500,,,,,577.0,4038.0,1884.0,13188.0,702.0,4910.0,3162.0,76085.0,3162.0,14637.0,,,,,410.0,3338.0,1339.0,10902.0,499.0,4059.0,2247.0,72604.0,2247.0,11156.0,1.81,22.49
8,8.0,8.0,11500.0,92000,,,,,577.0,4615.0,1884.0,15072.0,702.0,5612.0,3162.0,79247.0,3162.0,17799.0,,,,,390.0,3729.0,1275.0,12177.0,475.0,4534.0,2140.0,74744.0,2140.0,13296.0,1.81,24.3
8.9,8.9,8.9,10350.000000000004,102350,,,,,519.0,5134.0,1696.0,16768.0,631.0,6243.0,2846.0,82093.0,2846.0,20645.0,,,,,336.0,4065.0,1098.0,13275.0,409.0,4943.0,1844.0,76588.0,1844.0,15140.0,1.63,25.93
post-use,8.9,9.790000000000001,0.0,102350,0,61448,0,-7500,0.0,5134.0,0.0,16768.0,0.0,6243.0,0.0,82093.0,0.0,20645.0,0,61448,0.0,-7143.0,0.0,4065.0,0.0,13275.0,0.0,4943.0,0.0,76588.0,0.0,15140.0,0.0,25.93
