period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,61448,61448,,,0.0,0.0,0,0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,14250,14250,,,-4153,-4153,583.0,583.0,1884,1884,869.0,869.0,-817.0,60631.0,-817.0,-817.0,,,-3955.0,-3955.0,555.0,555.0,1794.0,1794.0,828.0,828.0,-778.0,60670.0,-778.0,-778.0,0.56,10.38
2,2.0,2.0,14250,28500,,,,,583.0,1166.0,1884,3768,869.0,1738.0,3336.0,63967.0,3336.0,2519.0,,,,,529.0,1084.0,1709.0,3503.0,788.0,1616.0,3026.0,63696.0,3026.0,2248.0,0.56,10.93
3,3.0,3.0,14250,42750,,,,,583.0,1748.0,1884,5652,869.0,2608.0,3336.0,67303.0,3336.0,5855.0,,,,,503.0,1587.0,1627.0,5131.0,751.0,2367.0,2882.0,66578.0,2882.0,5130.0,0.56,11.49
4,4.0,4.0,14250,57000,,,,,583.0,2331.0,1884,7536,869.0,3477.0,3336.0,70639.0,3336.0,9191.0,,,,,479.0,2066.0,1550.0,6681.0,715.0,3082.0,2745.0,69322.0,2745.0,7874.0,0.56,12.05
5,5.0,5.0,14250,71250,,,,,583.0,2914.0,1884,9420,869.0,4346.0,3336.0,73975.0,3336.0,12527.0,,,,,457.0,2523.0,1476.0,8157.0,681.0,3763.0,2614.0,71936.0,2614.0,10488.0,0.56,12.6
6,6.0,6.0,14250,85500,,,,,583.0,3497.0,1884,11304,869.0,5216.0,3336.0,77311.0,3336.0,15863.0,,,,,435.0,2958.0,1406.0,9563.0,649.0,4412.0,2489.0,74425.0,2489.0,12977.0,0.56,13.16
7,7.0,7.0,14250,99750,,,,,583.0,4079.0,1884,13188,869.0,6085.0,3336.0,80647.0,3336.0,19199.0,,,,,414.0,3372.0,1339.0,10902.0,618.0,5030.0,2371.0,76796.0,2371.0,15348.0,0.56,13.72
8,8.0,8.0,14250,114000,,,,,583.0,4662.0,1884,15072,869.0,6954.0,3336.0,83983.0,3336.0,22535.0,,,,,394.0,3766.0,1275.0,12177.0,588.0,5618.0,2258.0,79054.0,2258.0,17606.0,0.56,14.27
9,9.0,9.0,14250,128250,,,,,583.0,5245.0,1884,16956,869.0,7823.0,3336.0,87319.0,3336.0,25871.0,,,,,376.0,4142.0,1214.0,13391.0,560.0,6178.0,2150.0,81204.0,2150.0,19756.0,0.56,14.83
10,10.0,10.0,14250,142500,,,,,583.0,5828.0,1884,18840,869.0,8692.0,3336.0,90655.0,3336.0,29207.0,,,,,358.0,4500.0,1157.0,14548.0,534.0,6712.0,2048.0,83253.0,2048.0,21805.0,0.56,15.38
11,11.0,11.0,14250,156750,,,,,583.0,6410.0,1884,20724,869.0,9562.0,3336.0,93991.0,3336.0,32543.0,,,,,341.0,4841.0,1102.0,15649.0,508.0,7220.0,1950.0,85203.0,1950.0,23755.0,0.56,15.94
11.5,11.5,11.5,7125,163875,,,,,291.0,6702.0,942,21666,435.0,9996.0,1668.0,95659.0,1668.0,34211.0,,,,,166.0,5007.0,537.0,16187.0,248.0,7468.0,952.0,86155.0,952.0,24707.0,0.28,16.22
post-use,11.5,12.65,0,163875,0,61448,0,-4153,0.0,6702.0,0,21666,0.0,9996.0,0.0,95659.0,0.0,34211.0,0,61448,0.0,-3955.0,0.0,5007.0,0.0,16187.0,0.0,7468.0,0.0,86155.0,0.0,24707.0,0.0,16.22
