period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,61448,61448,,,0.0,0.0,0,0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1,1.0,13250,13250,,,-1389.0,-1389.0,560.0,560.0,1884,1884,808.0,808.0,1864.0,63312.0,1864.0,1864.0,,,-1323.0,-1323.0,534.0,534.0,1794.0,1794.0,770.0,770.0,1775.0,63223.0,1775.0,1775.0,0.52,10.34
2,2,2.0,13250,26500,,,,,560.0,1121.0,1884,3768,808.0,1616.0,3253.0,66565.0,3253.0,5117.0,,,,,508.0,1042.0,1709.0,3503.0,733.0,1503.0,2950.0,66174.0,2950.0,4726.0,0.52,10.86
3,3,3.0,13250,39750,,,,,560.0,1681.0,1884,5652,808.0,2425.0,3253.0,69818.0,3253.0,8370.0,,,,,484.0,1526.0,1627.0,5131.0,698.0,2201.0,2810.0,68983.0,2810.0,7535.0,0.52,11.37
4,4,4.0,13250,53000,,,,,560.0,2242.0,1884,7536,808.0,3233.0,3253.0,73070.0,3253.0,11622.0,,,,,461.0,1987.0,1550.0,6681.0,665.0,2866.0,2676.0,71659.0,2676.0,10211.0,0.52,11.89
5,5,5.0,13250,66250,,,,,560.0,2802.0,1884,9420,808.0,4041.0,3253.0,76323.0,3253.0,14875.0,,,,,439.0,2427.0,1476.0,8157.0,633.0,3499.0,2549.0,74208.0,2549.0,12760.0,0.52,12.41
6,6,6.0,13250,79500,,,,,560.0,3363.0,1884,11304,808.0,4850.0,3253.0,79576.0,3253.0,18128.0,,,,,418.0,2845.0,1406.0,9563.0,603.0,4102.0,2427.0,76635.0,2427.0,15187.0,0.52,12.92
7,7,7.0,13250,92750,,,,,560.0,3923.0,1884,13188,808.0,5658.0,3253.0,82828.0,3253.0,21380.0,,,,,398.0,3243.0,1339.0,10902.0,574.0,4677.0,2312.0,78947.0,2312.0,17499.0,0.52,13.44
8,8,8.0,13250,106000,,,,,560.0,4484.0,1884,15072,808.0,6466.0,3253.0,86081.0,3253.0,24633.0,,,,,379.0,3623.0,1275.0,12177.0,547.0,5224.0,2202.0,81149.0,2202.0,19701.0,0.52,13.96
9,9,9.0,13250,119250,,,,,560.0,5044.0,1884,16956,808.0,7274.0,3253.0,89334.0,3253.0,27886.0,,,,,361.0,3984.0,1214.0,13391.0,521.0,5745.0,2097.0,83245.0,2097.0,21797.0,0.52,14.48
10,10,10.0,13250,132500,,,,,560.0,5605.0,1884,18840,808.0,8082.0,3253.0,92587.0,3253.0,31139.0,,,,,344.0,4328.0,1157.0,14548.0,496.0,6241.0,1997.0,85242.0,1997.0,23794.0,0.52,14.99
11,11,11.0,13250,145750,,,,,560.0,6165.0,1884,20724,808.0,8891.0,3253.0,95839.0,3253.0,34391.0,,,,,328.0,4656.0,1102.0,15649.0,473.0,6714.0,1902.0,87144.0,1902.0,25696.0,0.52,15.51
12,12,12.0,13250,159000,,,,,560.0,6726.0,1884,22608,808.0,9699.0,3253.0,99092.0,3253.0,37644.0,,,,,312.0,4968.0,1049.0,16698.0,450.0,7164.0,1811.0,88955.0,1811.0,27507.0,0.52,16.03
13,13,13.0,13250,172250,,,,,560.0,7286.0,1884,24492,808.0,10507.0,3253.0,102345.0,3253.0,40897.0,,,,,297.0,5265.0,999.0,17697.0,429.0,7592.0,1725.0,90680.0,1725.0,29232.0,0.52,16.54
post-use,13,14.3,0,172250,0,61448,0.0,-1389.0,0.0,7286.0,0,24492,0.0,10507.0,0.0,102345.0,0.0,40897.0,0,61448,0.0,-1323.0,0.0,5265.0,0.0,17697.0,0.0,7592.0,0.0,90680.0,0.0,29232.0,0.0,16.54
