period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,61448,61448,,,0.0,0.0,0,0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,14250,14250,,,-4153,-4153,609.0,609.0,1884,1884,869.0,869.0,-791.0,60657.0,-791.0,-791.0,,,-3955.0,-3955.0,580.0,580.0,1794.0,1794.0,828.0,828.0,-754.0,60694.0,-754.0,-754.0,4.9,14.72
2,2.0,2.0,14250,28500,,,,,609.0,1217.0,1884,3768,869.0,1738.0,3362.0,64019.0,3362.0,2571.0,,,,,552.0,1131.0,1709.0,3503.0,788.0,1616.0,3049.0,63744.0,3049.0,2296.0,4.9,19.62
3,3.0,3.0,14250,42750,,,,,609.0,1826.0,1884,5652,869.0,2608.0,3362.0,67380.0,3362.0,5932.0,,,,,526.0,1657.0,1627.0,5131.0,751.0,2367.0,2904.0,66648.0,2904.0,5200.0,4.9,24.52
4,4.0,4.0,14250,57000,,,,,609.0,2434.0,1884,7536,869.0,3477.0,3362.0,70742.0,3362.0,9294.0,,,,,501.0,2158.0,1550.0,6681.0,715.0,3082.0,2766.0,69413.0,2766.0,7965.0,4.9,29.42
5,5.0,5.0,14250,71250,,,,,609.0,3043.0,1884,9420,869.0,4346.0,3362.0,74104.0,3362.0,12656.0,,,,,477.0,2635.0,1476.0,8157.0,681.0,3763.0,2634.0,72047.0,2634.0,10599.0,4.9,34.32
6,6.0,6.0,14250,85500,,,,,609.0,3651.0,1884,11304,869.0,5216.0,3362.0,77466.0,3362.0,16018.0,,,,,454.0,3089.0,1406.0,9563.0,649.0,4412.0,2509.0,74556.0,2509.0,13108.0,4.9,39.23
7,7.0,7.0,14250,99750,,,,,609.0,4260.0,1884,13188,869.0,6085.0,3362.0,80827.0,3362.0,19379.0,,,,,432.0,3521.0,1339.0,10902.0,618.0,5030.0,2389.0,76945.0,2389.0,15497.0,4.9,44.13
8,8.0,8.0,14250,114000,,,,,609.0,4868.0,1884,15072,869.0,6954.0,3362.0,84189.0,3362.0,22741.0,,,,,412.0,3933.0,1275.0,12177.0,588.0,5618.0,2275.0,79221.0,2275.0,17773.0,4.9,49.03
9,9.0,9.0,14250,128250,,,,,609.0,5477.0,1884,16956,869.0,7823.0,3362.0,87551.0,3362.0,26103.0,,,,,392.0,4325.0,1214.0,13391.0,560.0,6178.0,2167.0,81388.0,2167.0,19940.0,4.9,53.93
10,10.0,10.0,14250,142500,,,,,609.0,6085.0,1884,18840,869.0,8692.0,3362.0,90913.0,3362.0,29465.0,,,,,374.0,4699.0,1157.0,14548.0,534.0,6712.0,2064.0,83451.0,2064.0,22003.0,4.9,58.83
11,11.0,11.0,14250,156750,,,,,609.0,6694.0,1884,20724,869.0,9562.0,3362.0,94274.0,3362.0,32826.0,,,,,356.0,5055.0,1102.0,15649.0,508.0,7220.0,1966.0,85417.0,1966.0,23969.0,4.9,63.73
11.5,11.5,11.5,7125,163875,,,,,304.0,6998.0,942,21666,435.0,9996.0,1681.0,95955.0,1681.0,34507.0,,,,,174.0,5228.0,537.0,16187.0,248.0,7468.0,959.0,86376.0,959.0,24928.0,2.45,66.18
post-use,11.5,12.65,0,163875,0,61448,0,-4153,0.0,6998.0,0,21666,0.0,9996.0,0.0,95955.0,0.0,34507.0,0,61448,0.0,-3955.0,0.0,5228.0,0.0,16187.0,0.0,7468.0,0.0,86376.0,0.0,24928.0,0.0,66.18
