period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,837.0,837.0,1884.0,1884.0,793.0,793.0,-3986.0,57462.0,-3986.0,-3986.0,,,-7143.0,-7143.0,797.0,797.0,1794.0,1794.0,755.0,755.0,-3797.0,57651.0,-3797.0,-3797.0,0.95,10.77
2,2.0,2.0,13000.0,26000,,,,,837.0,1673.0,1884.0,3768.0,793.0,1586.0,3514.0,60975.0,3514.0,-473.0,,,,,759.0,1555.0,1709.0,3503.0,719.0,1475.0,3187.0,60838.0,3187.0,-610.0,0.95,11.72
3,3.0,3.0,13000.0,39000,,,,,837.0,2510.0,1884.0,5652.0,793.0,2379.0,3514.0,64489.0,3514.0,3041.0,,,,,723.0,2278.0,1627.0,5131.0,685.0,2160.0,3035.0,63873.0,3035.0,2425.0,0.95,12.67
4,4.0,4.0,13000.0,52000,,,,,837.0,3346.0,1884.0,7536.0,793.0,3172.0,3514.0,68002.0,3514.0,6554.0,,,,,688.0,2966.0,1550.0,6681.0,652.0,2812.0,2891.0,66764.0,2891.0,5316.0,0.95,13.62
5,5.0,5.0,13000.0,65000,,,,,837.0,4183.0,1884.0,9420.0,793.0,3965.0,3514.0,71516.0,3514.0,10068.0,,,,,655.0,3622.0,1476.0,8157.0,621.0,3433.0,2753.0,69517.0,2753.0,8069.0,0.95,14.57
6,6.0,6.0,13000.0,78000,,,,,837.0,5019.0,1884.0,11304.0,793.0,4758.0,3514.0,75029.0,3514.0,13581.0,,,,,624.0,4246.0,1406.0,9563.0,592.0,4025.0,2622.0,72139.0,2622.0,10691.0,0.95,15.52
7,7.0,7.0,13000.0,91000,,,,,837.0,5856.0,1884.0,13188.0,793.0,5551.0,3514.0,78543.0,3514.0,17095.0,,,,,595.0,4841.0,1339.0,10902.0,564.0,4589.0,2497.0,74636.0,2497.0,13188.0,0.95,16.47
8,8.0,8.0,13000.0,104000,,,,,837.0,6692.0,1884.0,15072.0,793.0,6344.0,3514.0,82056.0,3514.0,20608.0,,,,,566.0,5407.0,1275.0,12177.0,537.0,5125.0,2378.0,77014.0,2378.0,15566.0,0.95,17.42
9,9.0,9.0,13000.0,117000,,,,,837.0,7529.0,1884.0,16956.0,793.0,7137.0,3514.0,85570.0,3514.0,24122.0,,,,,539.0,5946.0,1214.0,13391.0,511.0,5637.0,2265.0,79279.0,2265.0,17831.0,0.95,18.37
9.9,9.9,9.9,11700.000000000005,128700,,,,,753.0,8282.0,1696.0,18652.0,714.0,7851.0,3162.0,88732.0,3162.0,27284.0,,,,,464.0,6410.0,1046.0,14437.0,440.0,6077.0,1951.0,81230.0,1951.0,19782.0,0.86,19.23
post-use,9.9,10.89,0.0,128700,0,61448,0,-7500,0.0,8282.0,0.0,18652.0,0.0,7851.0,0.0,88732.0,0.0,27284.0,0,61448,0.0,-7143.0,0.0,6410.0,0.0,14437.0,0.0,6077.0,0.0,81230.0,0.0,19782.0,0.0,19.23
