period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,740.0,740.0,1884.0,1884.0,702.0,702.0,-4174.0,57274.0,-4174.0,-4174.0,,,-7143.0,-7143.0,705.0,705.0,1794.0,1794.0,668.0,668.0,-3976.0,57472.0,-3976.0,-3976.0,0.84,10.66
2,2.0,2.0,11500.0,23000,,,,,740.0,1480.0,1884.0,3768.0,702.0,1403.0,3326.0,60599.0,3326.0,-849.0,,,,,671.0,1376.0,1709.0,3503.0,636.0,1304.0,3016.0,60489.0,3016.0,-959.0,0.84,11.5
3,3.0,3.0,11500.0,34500,,,,,740.0,2220.0,1884.0,5652.0,702.0,2104.0,3326.0,63925.0,3326.0,2477.0,,,,,639.0,2015.0,1627.0,5131.0,606.0,1910.0,2873.0,63361.0,2873.0,1913.0,0.84,12.34
4,4.0,4.0,11500.0,46000,,,,,740.0,2960.0,1884.0,7536.0,702.0,2806.0,3326.0,67250.0,3326.0,5802.0,,,,,609.0,2624.0,1550.0,6681.0,577.0,2487.0,2736.0,66097.0,2736.0,4649.0,0.84,13.18
5,5.0,5.0,11500.0,57500,,,,,740.0,3700.0,1884.0,9420.0,702.0,3508.0,3326.0,70576.0,3326.0,9128.0,,,,,580.0,3204.0,1476.0,8157.0,550.0,3037.0,2606.0,68703.0,2606.0,7255.0,0.84,14.03
6,6.0,6.0,11500.0,69000,,,,,740.0,4440.0,1884.0,11304.0,702.0,4209.0,3326.0,73901.0,3326.0,12453.0,,,,,552.0,3756.0,1406.0,9563.0,523.0,3561.0,2482.0,71184.0,2482.0,9736.0,0.84,14.87
7,7.0,7.0,11500.0,80500,,,,,740.0,5180.0,1884.0,13188.0,702.0,4910.0,3326.0,77227.0,3326.0,15779.0,,,,,526.0,4282.0,1339.0,10902.0,499.0,4059.0,2363.0,73548.0,2363.0,12100.0,0.84,15.71
8,8.0,8.0,11500.0,92000,,,,,740.0,5920.0,1884.0,15072.0,702.0,5612.0,3326.0,80552.0,3326.0,19104.0,,,,,501.0,4783.0,1275.0,12177.0,475.0,4534.0,2251.0,75799.0,2251.0,14351.0,0.84,16.55
8.9,8.9,8.9,10350.000000000004,102350,,,,,666.0,6586.0,1696.0,16768.0,631.0,6243.0,2993.0,83545.0,2993.0,22097.0,,,,,431.0,5214.0,1098.0,13275.0,409.0,4943.0,1939.0,77737.0,1939.0,16289.0,0.76,17.3
post-use,8.9,9.790000000000001,0.0,102350,0,61448,0,-7500,0.0,6586.0,0.0,16768.0,0.0,6243.0,0.0,83545.0,0.0,22097.0,0,61448,0.0,-7143.0,0.0,5214.0,0.0,13275.0,0.0,4943.0,0.0,77737.0,0.0,16289.0,0.0,17.3
