period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,61448,61448,,,0.0,0.0,0,0,0,0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1,1.0,13000,13000,,,-1389.0,-1389.0,515.0,515.0,1884,1884,793,793,1803.0,63251.0,1803.0,1803.0,,,-1323.0,-1323.0,490.0,490.0,1794.0,1794.0,755.0,755.0,1717.0,63165.0,1717.0,1717.0,1.67,11.49
2,2,2.0,13000,26000,,,,,515.0,1029.0,1884,3768,793,1586,3192.0,66442.0,3192.0,4994.0,,,,,467.0,957.0,1709.0,3503.0,719.0,1475.0,2895.0,66060.0,2895.0,4612.0,1.67,13.16
3,3,3.0,13000,39000,,,,,515.0,1544.0,1884,5652,793,2379,3192.0,69634.0,3192.0,8186.0,,,,,444.0,1401.0,1627.0,5131.0,685.0,2160.0,2757.0,68817.0,2757.0,7369.0,1.67,14.84
4,4,4.0,13000,52000,,,,,515.0,2058.0,1884,7536,793,3172,3192.0,72826.0,3192.0,11378.0,,,,,423.0,1825.0,1550.0,6681.0,652.0,2812.0,2626.0,71443.0,2626.0,9995.0,1.67,16.51
5,5,5.0,13000,65000,,,,,515.0,2573.0,1884,9420,793,3965,3192.0,76017.0,3192.0,14569.0,,,,,403.0,2228.0,1476.0,8157.0,621.0,3433.0,2501.0,73943.0,2501.0,12495.0,1.67,18.18
6,6,6.0,13000,78000,,,,,515.0,3087.0,1884,11304,793,4758,3192.0,79209.0,3192.0,17761.0,,,,,384.0,2612.0,1406.0,9563.0,592.0,4025.0,2382.0,76325.0,2382.0,14877.0,1.67,19.85
7,7,7.0,13000,91000,,,,,515.0,3602.0,1884,13188,793,5551,3192.0,82400.0,3192.0,20952.0,,,,,366.0,2977.0,1339.0,10902.0,564.0,4589.0,2268.0,78593.0,2268.0,17145.0,1.67,21.52
8,8,8.0,13000,104000,,,,,515.0,4116.0,1884,15072,793,6344,3192.0,85592.0,3192.0,24144.0,,,,,348.0,3326.0,1275.0,12177.0,537.0,5125.0,2160.0,80753.0,2160.0,19305.0,1.67,23.19
9,9,9.0,13000,117000,,,,,515.0,4631.0,1884,16956,793,7137,3192.0,88783.0,3192.0,27335.0,,,,,332.0,3657.0,1214.0,13391.0,511.0,5637.0,2057.0,82810.0,2057.0,21362.0,1.67,24.86
10,10,10.0,13000,130000,,,,,515.0,5146.0,1884,18840,793,7930,3192.0,91975.0,3192.0,30527.0,,,,,316.0,3973.0,1157.0,14548.0,487.0,6123.0,1959.0,84770.0,1959.0,23322.0,1.67,26.54
11,11,11.0,13000,143000,,,,,515.0,5660.0,1884,20724,793,8723,3192.0,95166.0,3192.0,33718.0,,,,,301.0,4274.0,1102.0,15649.0,464.0,6587.0,1866.0,86636.0,1866.0,25188.0,1.67,28.21
12,12,12.0,13000,156000,,,,,515.0,6175.0,1884,22608,793,9516,3192.0,98358.0,3192.0,36910.0,,,,,287.0,4561.0,1049.0,16698.0,442.0,7029.0,1777.0,88413.0,1777.0,26965.0,1.67,29.88
13,13,13.0,13000,169000,,,,,515.0,6689.0,1884,24492,793,10309,3192.0,101550.0,3192.0,40102.0,,,,,273.0,4834.0,999.0,17697.0,421.0,7449.0,1693.0,90106.0,1693.0,28658.0,1.67,31.55
post-use,13,14.3,0,169000,0,61448,0.0,-1389.0,0.0,6689.0,0,24492,0,10309,0.0,101550.0,0.0,40102.0,0,61448,0.0,-1323.0,0.0,4834.0,0.0,17697.0,0.0,7449.0,0.0,90106.0,0.0,28658.0,0.0,31.55
