period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,384.0,384.0,1884.0,1884.0,702.0,702.0,-4530.0,56918.0,-4530.0,-4530.0,,,-7143.0,-7143.0,366.0,366.0,1794.0,1794.0,668.0,668.0,-4315.0,57133.0,-4315.0,-4315.0,0.37,10.19
2,2.0,2.0,11500.0,23000,,,,,384.0,768.0,1884.0,3768.0,702.0,1403.0,2970.0,59887.0,2970.0,-1561.0,,,,,348.0,714.0,1709.0,3503.0,636.0,1304.0,2694.0,59827.0,2694.0,-1621.0,0.37,10.56
3,3.0,3.0,11500.0,34500,,,,,384.0,1152.0,1884.0,5652.0,702.0,2104.0,2970.0,62857.0,2970.0,1409.0,,,,,332.0,1046.0,1627.0,5131.0,606.0,1910.0,2565.0,62392.0,2565.0,944.0,0.37,10.92
4,4.0,4.0,11500.0,46000,,,,,384.0,1537.0,1884.0,7536.0,702.0,2806.0,2970.0,65827.0,2970.0,4379.0,,,,,316.0,1362.0,1550.0,6681.0,577.0,2487.0,2443.0,64835.0,2443.0,3387.0,0.37,11.29
5,5.0,5.0,11500.0,57500,,,,,384.0,1921.0,1884.0,9420.0,702.0,3508.0,2970.0,68796.0,2970.0,7348.0,,,,,301.0,1663.0,1476.0,8157.0,550.0,3037.0,2327.0,67162.0,2327.0,5714.0,0.37,11.66
6,6.0,6.0,11500.0,69000,,,,,384.0,2305.0,1884.0,11304.0,702.0,4209.0,2970.0,71766.0,2970.0,10318.0,,,,,287.0,1950.0,1406.0,9563.0,523.0,3561.0,2216.0,69378.0,2216.0,7930.0,0.37,12.02
7,7.0,7.0,11500.0,80500,,,,,384.0,2689.0,1884.0,13188.0,702.0,4910.0,2970.0,74735.0,2970.0,13287.0,,,,,273.0,2223.0,1339.0,10902.0,499.0,4059.0,2110.0,71489.0,2110.0,10041.0,0.37,12.39
8,8.0,8.0,11500.0,92000,,,,,384.0,3073.0,1884.0,15072.0,702.0,5612.0,2970.0,77705.0,2970.0,16257.0,,,,,260.0,2483.0,1275.0,12177.0,475.0,4534.0,2010.0,73499.0,2010.0,12051.0,0.37,12.75
8.9,8.9,8.9,10350.000000000004,102350,,,,,346.0,3419.0,1696.0,16768.0,631.0,6243.0,2673.0,80378.0,2673.0,18930.0,,,,,224.0,2707.0,1098.0,13275.0,409.0,4943.0,1731.0,75230.0,1731.0,13782.0,0.33,13.08
post-use,8.9,9.790000000000001,0.0,102350,0,61448,0,-7500,0.0,3419.0,0.0,16768.0,0.0,6243.0,0.0,80378.0,0.0,18930.0,0,61448,0.0,-7143.0,0.0,2707.0,0.0,13275.0,0.0,4943.0,0.0,75230.0,0.0,13782.0,0.0,13.08
