period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,449.0,449.0,1884.0,1884.0,793.0,793.0,-4374.0,57074.0,-4374.0,-4374.0,,,-7143.0,-7143.0,428.0,428.0,1794.0,1794.0,755.0,755.0,-4166.0,57282.0,-4166.0,-4166.0,3.65,13.47
2,2.0,2.0,13000.0,26000,,,,,449.0,898.0,1884.0,3768.0,793.0,1586.0,3126.0,60200.0,3126.0,-1248.0,,,,,407.0,835.0,1709.0,3503.0,719.0,1475.0,2836.0,60118.0,2836.0,-1330.0,3.65,17.13
3,3.0,3.0,13000.0,39000,,,,,449.0,1348.0,1884.0,5652.0,793.0,2379.0,3126.0,63327.0,3126.0,1879.0,,,,,388.0,1223.0,1627.0,5131.0,685.0,2160.0,2701.0,62818.0,2701.0,1370.0,3.65,20.78
4,4.0,4.0,13000.0,52000,,,,,449.0,1797.0,1884.0,7536.0,793.0,3172.0,3126.0,66453.0,3126.0,5005.0,,,,,370.0,1593.0,1550.0,6681.0,652.0,2812.0,2572.0,65390.0,2572.0,3942.0,3.65,24.43
5,5.0,5.0,13000.0,65000,,,,,449.0,2246.0,1884.0,9420.0,793.0,3965.0,3126.0,69579.0,3126.0,8131.0,,,,,352.0,1945.0,1476.0,8157.0,621.0,3433.0,2449.0,67840.0,2449.0,6392.0,3.65,28.08
6,6.0,6.0,13000.0,78000,,,,,449.0,2695.0,1884.0,11304.0,793.0,4758.0,3126.0,72705.0,3126.0,11257.0,,,,,335.0,2280.0,1406.0,9563.0,592.0,4025.0,2333.0,70173.0,2333.0,8725.0,3.65,31.73
7,7.0,7.0,13000.0,91000,,,,,449.0,3144.0,1884.0,13188.0,793.0,5551.0,3126.0,75831.0,3126.0,14383.0,,,,,319.0,2599.0,1339.0,10902.0,564.0,4589.0,2222.0,72394.0,2222.0,10946.0,3.65,35.38
8,8.0,8.0,13000.0,104000,,,,,449.0,3593.0,1884.0,15072.0,793.0,6344.0,3126.0,78957.0,3126.0,17509.0,,,,,304.0,2903.0,1275.0,12177.0,537.0,5125.0,2116.0,74510.0,2116.0,13062.0,3.65,39.04
8.9,8.9,8.9,11700.000000000005,115700,,,,,404.0,3998.0,1696.0,16768.0,714.0,7058.0,2814.0,81771.0,2814.0,20323.0,,,,,262.0,3165.0,1098.0,13275.0,462.0,5588.0,1823.0,76333.0,1823.0,14885.0,3.29,42.32
post-use,8.9,9.790000000000001,0.0,115700,0,61448,0,-7500,0.0,3998.0,0.0,16768.0,0.0,7058.0,0.0,81771.0,0.0,20323.0,0,61448,0.0,-7143.0,0.0,3165.0,0.0,13275.0,0.0,5588.0,0.0,76333.0,0.0,14885.0,0.0,42.32
