period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,47196.0,47196.0,,,0.0,0.0,0,0,0.0,0.0,47196.0,47196.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,1864.0,1864.0,1788,1788,1439.0,1439.0,5091.0,52286.0,5091.0,5091.0,,,,,1775.0,1775.0,1703.0,1703.0,1371.0,1371.0,4849.0,52044.0,4849.0,4849.0,3.95,9.42
2,2.0,2.0,14250,28500,,,,,1864.0,3727.0,1788,3576,1439.0,2878.0,5091.0,57377.0,5091.0,10182.0,,,,,1690.0,3465.0,1622.0,3325.0,1305.0,2676.0,4618.0,56662.0,4618.0,9466.0,3.95,13.36
3,3.0,3.0,14250,42750,,,,,1864.0,5591.0,1788,5364,1439.0,4318.0,5091.0,62468.0,5091.0,15273.0,,,,,1610.0,5075.0,1545.0,4869.0,1243.0,3919.0,4398.0,61059.0,4398.0,13864.0,3.95,17.31
4,4.0,4.0,14250,57000,,,,,1864.0,7455.0,1788,7152,1439.0,5757.0,5091.0,67559.0,5091.0,20364.0,,,,,1533.0,6609.0,1471.0,6340.0,1184.0,5104.0,4188.0,65248.0,4188.0,18052.0,3.95,21.25
5,5.0,5.0,14250,71250,,,,,1864.0,9318.0,1788,8940,1439.0,7196.0,5091.0,72650.0,5091.0,25455.0,,,,,1460.0,8069.0,1401.0,7741.0,1128.0,6231.0,3989.0,69237.0,3989.0,22041.0,3.95,25.2
6,6.0,6.0,14250,85500,,,,,1864.0,11182.0,1788,10728,1439.0,8636.0,5091.0,77741.0,5091.0,30546.0,,,,,1391.0,9460.0,1334.0,9075.0,1074.0,7305.0,3799.0,73036.0,3799.0,25840.0,3.95,29.14
7,7.0,7.0,14250,99750,,,,,1864.0,13046.0,1788,12516,1439.0,10075.0,5091.0,82832.0,5091.0,35637.0,,,,,1324.0,10784.0,1271.0,10346.0,1023.0,8328.0,3618.0,76654.0,3618.0,29458.0,3.95,33.09
8,8.0,8.0,14250,114000,,,,,1864.0,14910.0,1788,14304,1439.0,11514.0,5091.0,87923.0,5091.0,40728.0,,,,,1261.0,12045.0,1210.0,11556.0,974.0,9302.0,3446.0,80099.0,3446.0,32904.0,3.95,37.03
9,9.0,9.0,14250,128250,,,,,1864.0,16773.0,1788,16092,1439.0,12953.0,5091.0,93014.0,5091.0,45818.0,,,,,1201.0,13247.0,1153.0,12709.0,928.0,10230.0,3282.0,83381.0,3282.0,36186.0,3.95,40.98
10,10.0,10.0,14250,142500,,,,,1864.0,18637.0,1788,17880,1439.0,14392.0,5091.0,98105.0,5091.0,50909.0,,,,,1144.0,14391.0,1098.0,13806.0,884.0,11114.0,3125.0,86506.0,3125.0,39311.0,3.95,44.92
11,11.0,11.0,14250,156750,,,,,1864.0,20501.0,1788,19668,1439.0,15832.0,5091.0,103196.0,5091.0,56000.0,,,,,1090.0,15481.0,1045.0,14852.0,841.0,11955.0,2977.0,89483.0,2977.0,42287.0,3.95,48.87
11.5,11.5,11.5,7125,163875,,,,,932.0,21432.0,894,20562,720.0,16551.0,2545.0,105741.0,2545.0,58546.0,,,,,532.0,16012.0,510.0,15362.0,411.0,12366.0,1452.0,90935.0,1452.0,43740.0,1.97,50.84
post-use,11.5,12.65,0,163875,0.0,47196.0,0,0,0.0,21432.0,0,20562,0.0,16551.0,0.0,105741.0,0.0,58546.0,0.0,47196.0,0,0,0.0,16012.0,0.0,15362.0,0.0,12366.0,0.0,90935.0,0.0,43740.0,0.0,50.84
