period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13750.0,13750,,,,,1780.0,1780.0,1788.0,1788.0,1389.0,1389.0,4957.0,52153.0,4957.0,4957.0,,,,,1171.0,1171.0,1176.0,1176.0,914.0,914.0,3261.0,50457.0,3261.0,3261.0,3.81,9.28
2,2.0,2.0,13750.0,27500,,,,,1780.0,3561.0,1788.0,3576.0,1389.0,2778.0,4957.0,57110.0,4957.0,9914.0,,,,,771.0,1942.0,774.0,1950.0,601.0,1515.0,2146.0,52602.0,2146.0,5407.0,3.81,13.08
3,3.0,3.0,13750.0,41250,,,,,1780.0,5341.0,1788.0,5364.0,1389.0,4166.0,4957.0,62067.0,4957.0,14871.0,,,,,507.0,2449.0,509.0,2459.0,395.0,1910.0,1412.0,54014.0,1412.0,6818.0,3.81,16.89
4,4.0,4.0,13750.0,55000,,,,,1780.0,7121.0,1788.0,7152.0,1389.0,5555.0,4957.0,67024.0,4957.0,19828.0,,,,,334.0,2782.0,335.0,2794.0,260.0,2170.0,929.0,54942.0,929.0,7747.0,3.81,20.7
5,5.0,5.0,13750.0,68750,,,,,1780.0,8902.0,1788.0,8940.0,1389.0,6944.0,4957.0,71981.0,4957.0,24785.0,,,,,219.0,3002.0,220.0,3015.0,171.0,2342.0,611.0,55553.0,611.0,8358.0,3.81,24.5
6,6.0,6.0,13750.0,82500,,,,,1780.0,10682.0,1788.0,10728.0,1389.0,8332.0,4957.0,76938.0,4957.0,29742.0,,,,,144.0,3146.0,145.0,3160.0,113.0,2454.0,402.0,55955.0,402.0,8760.0,3.81,28.31
7,7.0,7.0,13750.0,96250,,,,,1780.0,12462.0,1788.0,12516.0,1389.0,9721.0,4957.0,81895.0,4957.0,34699.0,,,,,95.0,3241.0,95.0,3255.0,74.0,2528.0,264.0,56220.0,264.0,9024.0,3.81,32.12
8,8.0,8.0,13750.0,110000,,,,,1780.0,14243.0,1788.0,14304.0,1389.0,11110.0,4957.0,86852.0,4957.0,39657.0,,,,,62.0,3304.0,63.0,3318.0,49.0,2577.0,174.0,56394.0,174.0,9198.0,3.81,35.92
9,9.0,9.0,13750.0,123750,,,,,1780.0,16023.0,1788.0,16092.0,1389.0,12499.0,4957.0,91809.0,4957.0,44614.0,,,,,41.0,3345.0,41.0,3359.0,32.0,2609.0,114.0,56508.0,114.0,9313.0,3.81,39.73
10,10.0,10.0,13750.0,137500,,,,,1780.0,17803.0,1788.0,17880.0,1389.0,13888.0,4957.0,96766.0,4957.0,49571.0,,,,,27.0,3372.0,27.0,3386.0,21.0,2630.0,75.0,56584.0,75.0,9388.0,3.81,43.54
10.7,10.7,10.7,9624.99999999999,147125,,,,,1246.0,19049.0,1252.0,19132.0,972.0,14860.0,3470.0,100236.0,3470.0,53041.0,,,,,14.0,3386.0,14.0,3400.0,11.0,2641.0,39.0,56623.0,39.0,9427.0,2.66,46.2
post-use,10.7,11.77,0.0,147125,0.0,47196.0,0,0,0.0,19049.0,0.0,19132.0,0.0,14860.0,0.0,100236.0,0.0,53041.0,0.0,47196.0,0,0,0.0,3386.0,0.0,3400.0,0.0,2641.0,0.0,56623.0,0.0,9427.0,0.0,46.2
