period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,47196.0,47196.0,,,0.0,0.0,0,0,0.0,0.0,47196.0,47196.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,5.47,5.47
1,1,1.0,13250,13250,,,,,1716.0,1716.0,1788,1788,1338.0,1338.0,4842.0,52037.0,4842.0,4842.0,,,,,1634.0,1634.0,1703.0,1703.0,1275.0,1275.0,4611.0,51807.0,4611.0,4611.0,3.67,9.14
2,2,2.0,13250,26500,,,,,1716.0,3431.0,1788,3576,1338.0,2676.0,4842.0,56879.0,4842.0,9684.0,,,,,1556.0,3190.0,1622.0,3325.0,1214.0,2488.0,4392.0,56198.0,4392.0,9003.0,3.67,12.81
3,3,3.0,13250,39750,,,,,1716.0,5147.0,1788,5364,1338.0,4015.0,4842.0,61721.0,4842.0,14525.0,,,,,1482.0,4672.0,1545.0,4869.0,1156.0,3644.0,4183.0,60381.0,4183.0,13185.0,3.67,16.48
4,4,4.0,13250,53000,,,,,1716.0,6862.0,1788,7152,1338.0,5353.0,4842.0,66563.0,4842.0,19367.0,,,,,1411.0,6083.0,1471.0,6340.0,1101.0,4745.0,3983.0,64364.0,3983.0,17169.0,3.67,20.14
5,5,5.0,13250,66250,,,,,1716.0,8578.0,1788,8940,1338.0,6691.0,4842.0,71405.0,4842.0,24209.0,,,,,1344.0,7428.0,1401.0,7741.0,1049.0,5794.0,3794.0,68158.0,3794.0,20963.0,3.67,23.81
6,6,6.0,13250,79500,,,,,1716.0,10293.0,1788,10728,1338.0,8030.0,4842.0,76246.0,4842.0,29051.0,,,,,1280.0,8708.0,1334.0,9075.0,999.0,6793.0,3613.0,71771.0,3613.0,24576.0,3.67,27.48
7,7,7.0,13250,92750,,,,,1716.0,12009.0,1788,12516,1338.0,9368.0,4842.0,81088.0,4842.0,33893.0,,,,,1219.0,9927.0,1271.0,10346.0,951.0,7744.0,3441.0,75212.0,3441.0,28017.0,3.67,31.15
8,8,8.0,13250,106000,,,,,1716.0,13725.0,1788,14304,1338.0,10706.0,4842.0,85930.0,4842.0,38735.0,,,,,1161.0,11088.0,1210.0,11556.0,906.0,8649.0,3277.0,78489.0,3277.0,31294.0,3.67,34.82
9,9,9.0,13250,119250,,,,,1716.0,15440.0,1788,16092,1338.0,12044.0,4842.0,90772.0,4842.0,43576.0,,,,,1106.0,12194.0,1153.0,12709.0,863.0,9512.0,3121.0,81610.0,3121.0,34415.0,3.67,38.49
10,10,10.0,13250,132500,,,,,1716.0,17156.0,1788,17880,1338.0,13382.0,4842.0,95614.0,4842.0,48418.0,,,,,1053.0,13247.0,1098.0,13806.0,822.0,10334.0,2972.0,84583.0,2972.0,37387.0,3.67,42.15
11,11,11.0,13250,145750,,,,,1716.0,18871.0,1788,19668,1338.0,14721.0,4842.0,100456.0,4842.0,53260.0,,,,,1003.0,14250.0,1045.0,14852.0,782.0,11116.0,2831.0,87414.0,2831.0,40218.0,3.67,45.82
12,12,12.0,13250,159000,,,,,1716.0,20587.0,1788,21456,1338.0,16059.0,4842.0,105297.0,4842.0,58102.0,,,,,955.0,15206.0,996.0,15847.0,745.0,11861.0,2696.0,90110.0,2696.0,42914.0,3.67,49.49
13,13,13.0,13250,172250,,,,,1716.0,22303.0,1788,23244,1338.0,17397.0,4842.0,110139.0,4842.0,62944.0,,,,,910.0,16115.0,948.0,16796.0,710.0,12571.0,2568.0,92678.0,2568.0,45482.0,3.67,53.16
post-use,13,14.3,0,172250,0.0,47196.0,0,0,0.0,22303.0,0,23244,0.0,17397.0,0.0,110139.0,0.0,62944.0,0.0,47196.0,0,0,0.0,16115.0,0.0,16796.0,0.0,12571.0,0.0,92678.0,0.0,45482.0,0.0,53.16
