period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,47196.0,47196.0,,,0.0,0.0,0,0,0,0,47196.0,47196.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,5.47,5.47
1,1,1.0,13000,13000,,,,,1932.0,1932.0,1788,1788,1313,1313,5033.0,52229.0,5033.0,5033.0,,,,,1840.0,1840.0,1703.0,1703.0,1250.0,1250.0,4793.0,51989.0,4793.0,4793.0,3.6,9.07
2,2,2.0,13000,26000,,,,,1932.0,3864.0,1788,3576,1313,2626,5033.0,57262.0,5033.0,10066.0,,,,,1752.0,3592.0,1622.0,3325.0,1191.0,2441.0,4565.0,56554.0,4565.0,9358.0,3.6,12.67
3,3,3.0,13000,39000,,,,,1932.0,5796.0,1788,5364,1313,3939,5033.0,62295.0,5033.0,15099.0,,,,,1669.0,5261.0,1545.0,4869.0,1134.0,3576.0,4348.0,60902.0,4348.0,13706.0,3.6,16.27
4,4,4.0,13000,52000,,,,,1932.0,7728.0,1788,7152,1313,5252,5033.0,67328.0,5033.0,20132.0,,,,,1589.0,6851.0,1471.0,6340.0,1080.0,4656.0,4141.0,65042.0,4141.0,17847.0,3.6,19.87
5,5,5.0,13000,65000,,,,,1932.0,9660.0,1788,8940,1313,6565,5033.0,72361.0,5033.0,25165.0,,,,,1514.0,8365.0,1401.0,7741.0,1029.0,5685.0,3944.0,68986.0,3944.0,21790.0,3.6,23.47
6,6,6.0,13000,78000,,,,,1932.0,11592.0,1788,10728,1313,7878,5033.0,77394.0,5033.0,30198.0,,,,,1442.0,9806.0,1334.0,9075.0,980.0,6664.0,3756.0,72742.0,3756.0,25546.0,3.6,27.07
7,7,7.0,13000,91000,,,,,1932.0,13524.0,1788,12516,1313,9191,5033.0,82427.0,5033.0,35231.0,,,,,1373.0,11179.0,1271.0,10346.0,933.0,7598.0,3577.0,76318.0,3577.0,29123.0,3.6,30.66
8,8,8.0,13000,104000,,,,,1932.0,15456.0,1788,14304,1313,10504,5033.0,87460.0,5033.0,40264.0,,,,,1308.0,12487.0,1210.0,11556.0,889.0,8486.0,3407.0,79725.0,3407.0,32529.0,3.6,34.26
9,9,9.0,13000,117000,,,,,1932.0,17388.0,1788,16092,1313,11817,5033.0,92493.0,5033.0,45297.0,,,,,1245.0,13732.0,1153.0,12709.0,846.0,9333.0,3244.0,82969.0,3244.0,35774.0,3.6,37.86
10,10,10.0,13000,130000,,,,,1932.0,19320.0,1788,17880,1313,13130,5033.0,97526.0,5033.0,50330.0,,,,,1186.0,14919.0,1098.0,13806.0,806.0,10139.0,3090.0,86059.0,3090.0,38864.0,3.6,41.46
11,11,11.0,13000,143000,,,,,1932.0,21252.0,1788,19668,1313,14443,5033.0,102559.0,5033.0,55363.0,,,,,1130.0,16048.0,1045.0,14852.0,768.0,10906.0,2943.0,89002.0,2943.0,41806.0,3.6,45.06
12,12,12.0,13000,156000,,,,,1932.0,23184.0,1788,21456,1313,15756,5033.0,107592.0,5033.0,60396.0,,,,,1076.0,17124.0,996.0,15847.0,731.0,11637.0,2803.0,91804.0,2803.0,44609.0,3.6,48.66
13,13,13.0,13000,169000,,,,,1932.0,25116.0,1788,23244,1313,17069,5033.0,112625.0,5033.0,65429.0,,,,,1025.0,18149.0,948.0,16796.0,696.0,12334.0,2669.0,94474.0,2669.0,47278.0,3.6,52.26
post-use,13,14.3,0,169000,0.0,47196.0,0,0,0.0,25116.0,0,23244,0,17069,0.0,112625.0,0.0,65429.0,0.0,47196.0,0,0,0.0,18149.0,0.0,16796.0,0.0,12334.0,0.0,94474.0,0.0,47278.0,0.0,52.26
