period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,47196.0,47196.0,,,0.0,0.0,0,0,0.0,0.0,47196.0,47196.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,5.47,5.47
1,1,1.0,13250,13250,,,,,1582.0,1582.0,1788,1788,1338.0,1338.0,4708.0,51904.0,4708.0,4708.0,,,,,1507.0,1507.0,1703.0,1703.0,1275.0,1275.0,4484.0,51680.0,4484.0,4484.0,3.67,9.14
2,2,2.0,13250,26500,,,,,1582.0,3164.0,1788,3576,1338.0,2676.0,4708.0,56612.0,4708.0,9417.0,,,,,1435.0,2942.0,1622.0,3325.0,1214.0,2488.0,4271.0,55950.0,4271.0,8755.0,3.67,12.81
3,3,3.0,13250,39750,,,,,1582.0,4746.0,1788,5364,1338.0,4015.0,4708.0,61320.0,4708.0,14125.0,,,,,1367.0,4308.0,1545.0,4869.0,1156.0,3644.0,4067.0,60017.0,4067.0,12822.0,3.67,16.48
4,4,4.0,13250,53000,,,,,1582.0,6328.0,1788,7152,1338.0,5353.0,4708.0,66029.0,4708.0,18833.0,,,,,1302.0,5610.0,1471.0,6340.0,1101.0,4745.0,3874.0,63891.0,3874.0,16695.0,3.67,20.14
5,5,5.0,13250,66250,,,,,1582.0,7910.0,1788,8940,1338.0,6691.0,4708.0,70737.0,4708.0,23541.0,,,,,1240.0,6849.0,1401.0,7741.0,1049.0,5794.0,3689.0,67580.0,3689.0,20384.0,3.67,23.81
6,6,6.0,13250,79500,,,,,1582.0,9492.0,1788,10728,1338.0,8030.0,4708.0,75445.0,4708.0,28250.0,,,,,1181.0,8030.0,1334.0,9075.0,999.0,6793.0,3513.0,71093.0,3513.0,23898.0,3.67,27.48
7,7,7.0,13250,92750,,,,,1582.0,11074.0,1788,12516,1338.0,9368.0,4708.0,80153.0,4708.0,32958.0,,,,,1124.0,9154.0,1271.0,10346.0,951.0,7744.0,3346.0,74439.0,3346.0,27244.0,3.67,31.15
8,8,8.0,13250,106000,,,,,1582.0,12656.0,1788,14304,1338.0,10706.0,4708.0,84862.0,4708.0,37666.0,,,,,1071.0,10225.0,1210.0,11556.0,906.0,8649.0,3187.0,77626.0,3187.0,30431.0,3.67,34.82
9,9,9.0,13250,119250,,,,,1582.0,14238.0,1788,16092,1338.0,12044.0,4708.0,89570.0,4708.0,42374.0,,,,,1020.0,11245.0,1153.0,12709.0,863.0,9512.0,3035.0,80661.0,3035.0,33466.0,3.67,38.49
10,10,10.0,13250,132500,,,,,1582.0,15820.0,1788,17880,1338.0,13382.0,4708.0,94278.0,4708.0,47083.0,,,,,971.0,12216.0,1098.0,13806.0,822.0,10334.0,2890.0,83551.0,2890.0,36356.0,3.67,42.15
11,11,11.0,13250,145750,,,,,1582.0,17402.0,1788,19668,1338.0,14721.0,4708.0,98986.0,4708.0,51791.0,,,,,925.0,13141.0,1045.0,14852.0,782.0,11116.0,2753.0,86304.0,2753.0,39109.0,3.67,45.82
12,12,12.0,13250,159000,,,,,1582.0,18984.0,1788,21456,1338.0,16059.0,4708.0,103695.0,4708.0,56499.0,,,,,881.0,14022.0,996.0,15847.0,745.0,11861.0,2622.0,88926.0,2622.0,41731.0,3.67,49.49
13,13,13.0,13250,172250,,,,,1582.0,20566.0,1788,23244,1338.0,17397.0,4708.0,108403.0,4708.0,61207.0,,,,,839.0,14861.0,948.0,16796.0,710.0,12571.0,2497.0,91423.0,2497.0,44227.0,3.67,53.16
post-use,13,14.3,0,172250,0.0,47196.0,0,0,0.0,20566.0,0,23244,0.0,17397.0,0.0,108403.0,0.0,61207.0,0.0,47196.0,0,0,0.0,14861.0,0.0,16796.0,0.0,12571.0,0.0,91423.0,0.0,44227.0,0.0,53.16
