period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.47,5.47
1,1.0,1.0,12500.0,12500,,,,,2022.0,2022.0,1788.0,1788.0,1262.0,1262.0,5073.0,53253.0,5073.0,5073.0,,,,,1926.0,1926.0,1703.0,1703.0,1202.0,1202.0,4831.0,53011.0,4831.0,4831.0,4.35,9.82
2,2.0,2.0,12500.0,25000,,,,,2022.0,4045.0,1788.0,3576.0,1262.0,2525.0,5073.0,58326.0,5073.0,10146.0,,,,,1834.0,3761.0,1622.0,3325.0,1145.0,2348.0,4601.0,57613.0,4601.0,9433.0,4.35,14.18
3,3.0,3.0,12500.0,37500,,,,,2022.0,6067.0,1788.0,5364.0,1262.0,3788.0,5073.0,63399.0,5073.0,15219.0,,,,,1747.0,5508.0,1545.0,4869.0,1091.0,3438.0,4382.0,61995.0,4382.0,13815.0,4.35,18.53
4,4.0,4.0,12500.0,50000,,,,,2022.0,8090.0,1788.0,7152.0,1262.0,5050.0,5073.0,68472.0,5073.0,20292.0,,,,,1664.0,7172.0,1471.0,6340.0,1039.0,4477.0,4174.0,66169.0,4174.0,17989.0,4.35,22.88
5,5.0,5.0,12500.0,62500,,,,,2022.0,10112.0,1788.0,8940.0,1262.0,6312.0,5073.0,73545.0,5073.0,25365.0,,,,,1585.0,8756.0,1401.0,7741.0,989.0,5466.0,3975.0,70143.0,3975.0,21963.0,4.35,27.24
6,6.0,6.0,12500.0,75000,,,,,2022.0,12135.0,1788.0,10728.0,1262.0,7575.0,5073.0,78618.0,5073.0,30438.0,,,,,1509.0,10265.0,1334.0,9075.0,942.0,6408.0,3786.0,73929.0,3786.0,25749.0,4.35,31.59
7,7.0,7.0,12500.0,87500,,,,,2022.0,14157.0,1788.0,12516.0,1262.0,8838.0,5073.0,83691.0,5073.0,35511.0,,,,,1437.0,11703.0,1271.0,10346.0,897.0,7305.0,3605.0,77534.0,3605.0,29354.0,4.35,35.94
8,8.0,8.0,12500.0,100000,,,,,2022.0,16180.0,1788.0,14304.0,1262.0,10100.0,5073.0,88764.0,5073.0,40584.0,,,,,1369.0,13072.0,1210.0,11556.0,855.0,8160.0,3434.0,80968.0,3434.0,32788.0,4.35,40.29
8.9,8.9,8.9,11250.000000000004,111250,,,,,1820.0,18000.0,1609.0,15913.0,1136.0,11236.0,4566.0,93329.0,4566.0,45149.0,,,,,1179.0,14251.0,1042.0,12599.0,736.0,8896.0,2957.0,83925.0,2957.0,35745.0,3.92,44.21
post-use,8.9,9.790000000000001,0.0,111250,0,48180,0,0,0.0,18000.0,0.0,15913.0,0.0,11236.0,0.0,93329.0,0.0,45149.0,0,48180,0,0,0.0,14251.0,0.0,12599.0,0.0,8896.0,0.0,83925.0,0.0,35745.0,0.0,44.21
