period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.47,5.47
1,1.0,1.0,11500.0,11500,,,,,1863.0,1863.0,1788.0,1788.0,1162.0,1162.0,4812.0,52992.0,4812.0,4812.0,,,,,1774.0,1774.0,1703.0,1703.0,1106.0,1106.0,4583.0,52763.0,4583.0,4583.0,4.0,9.48
2,2.0,2.0,11500.0,23000,,,,,1863.0,3726.0,1788.0,3576.0,1162.0,2323.0,4812.0,57805.0,4812.0,9625.0,,,,,1690.0,3464.0,1622.0,3325.0,1054.0,2160.0,4365.0,57128.0,4365.0,8948.0,4.0,13.48
3,3.0,3.0,11500.0,34500,,,,,1863.0,5589.0,1788.0,5364.0,1162.0,3484.0,4812.0,62617.0,4812.0,14437.0,,,,,1609.0,5073.0,1545.0,4869.0,1003.0,3163.0,4157.0,61285.0,4157.0,13105.0,4.0,17.48
4,4.0,4.0,11500.0,46000,,,,,1863.0,7452.0,1788.0,7152.0,1162.0,4646.0,4812.0,67430.0,4812.0,19250.0,,,,,1533.0,6606.0,1471.0,6340.0,956.0,4119.0,3959.0,65245.0,3959.0,17065.0,4.0,21.49
5,5.0,5.0,11500.0,57500,,,,,1863.0,9315.0,1788.0,8940.0,1162.0,5808.0,4812.0,72242.0,4812.0,24062.0,,,,,1460.0,8066.0,1401.0,7741.0,910.0,5029.0,3771.0,69015.0,3771.0,20835.0,4.0,25.49
6,6.0,6.0,11500.0,69000,,,,,1863.0,11178.0,1788.0,10728.0,1162.0,6969.0,4812.0,77055.0,4812.0,28875.0,,,,,1390.0,9456.0,1334.0,9075.0,867.0,5895.0,3591.0,72606.0,3591.0,24426.0,4.0,29.5
7,7.0,7.0,11500.0,80500,,,,,1863.0,13041.0,1788.0,12516.0,1162.0,8130.0,4812.0,81867.0,4812.0,33687.0,,,,,1324.0,10780.0,1271.0,10346.0,825.0,6721.0,3420.0,76027.0,3420.0,27847.0,4.0,33.5
8,8.0,8.0,11500.0,92000,,,,,1863.0,14904.0,1788.0,14304.0,1162.0,9292.0,4812.0,86680.0,4812.0,38500.0,,,,,1261.0,12041.0,1210.0,11556.0,786.0,7507.0,3257.0,79284.0,3257.0,31104.0,4.0,37.51
8.9,8.9,8.9,10350.000000000004,102350,,,,,1677.0,16580.0,1609.0,15913.0,1045.0,10337.0,4331.0,91011.0,4331.0,42831.0,,,,,1086.0,13127.0,1042.0,12599.0,677.0,8184.0,2806.0,82089.0,2806.0,33909.0,3.6,41.11
post-use,8.9,9.790000000000001,0.0,102350,0,48180,0,0,0.0,16580.0,0.0,15913.0,0.0,10337.0,0.0,91011.0,0.0,42831.0,0,48180,0,0,0.0,13127.0,0.0,12599.0,0.0,8184.0,0.0,82089.0,0.0,33909.0,0.0,41.11
