period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.47,5.47
1,1.0,1.0,12500.0,12500,,,,,1753.0,1753.0,1788.0,1788.0,1262.0,1262.0,4803.0,52983.0,4803.0,4803.0,,,,,1669.0,1669.0,1703.0,1703.0,1202.0,1202.0,4574.0,52754.0,4574.0,4574.0,4.35,9.82
2,2.0,2.0,12500.0,25000,,,,,1753.0,3505.0,1788.0,3576.0,1262.0,2525.0,4803.0,57786.0,4803.0,9606.0,,,,,1590.0,3259.0,1622.0,3325.0,1145.0,2348.0,4357.0,57111.0,4357.0,8931.0,4.35,14.18
3,3.0,3.0,12500.0,37500,,,,,1753.0,5258.0,1788.0,5364.0,1262.0,3788.0,4803.0,62589.0,4803.0,14409.0,,,,,1514.0,4773.0,1545.0,4869.0,1091.0,3438.0,4149.0,61260.0,4149.0,13080.0,4.35,18.53
4,4.0,4.0,12500.0,50000,,,,,1753.0,7011.0,1788.0,7152.0,1262.0,5050.0,4803.0,67393.0,4803.0,19213.0,,,,,1442.0,6215.0,1471.0,6340.0,1039.0,4477.0,3952.0,65212.0,3952.0,17032.0,4.35,22.88
5,5.0,5.0,12500.0,62500,,,,,1753.0,8763.0,1788.0,8940.0,1262.0,6312.0,4803.0,72196.0,4803.0,24016.0,,,,,1373.0,7588.0,1401.0,7741.0,989.0,5466.0,3763.0,68975.0,3763.0,20795.0,4.35,27.24
6,6.0,6.0,12500.0,75000,,,,,1753.0,10516.0,1788.0,10728.0,1262.0,7575.0,4803.0,76999.0,4803.0,28819.0,,,,,1308.0,8896.0,1334.0,9075.0,942.0,6408.0,3584.0,72559.0,3584.0,24379.0,4.35,31.59
7,7.0,7.0,12500.0,87500,,,,,1753.0,12269.0,1788.0,12516.0,1262.0,8838.0,4803.0,81802.0,4803.0,33622.0,,,,,1246.0,10141.0,1271.0,10346.0,897.0,7305.0,3414.0,75973.0,3414.0,27793.0,4.35,35.94
8,8.0,8.0,12500.0,100000,,,,,1753.0,14021.0,1788.0,14304.0,1262.0,10100.0,4803.0,86605.0,4803.0,38425.0,,,,,1186.0,11328.0,1210.0,11556.0,855.0,8160.0,3251.0,79224.0,3251.0,31044.0,4.35,40.29
8.9,8.9,8.9,11250.000000000004,111250,,,,,1577.0,15599.0,1609.0,15913.0,1136.0,11236.0,4323.0,90928.0,4323.0,42748.0,,,,,1022.0,12349.0,1042.0,12599.0,736.0,8896.0,2800.0,82024.0,2800.0,33844.0,3.92,44.21
post-use,8.9,9.790000000000001,0.0,111250,0,48180,0,0,0.0,15599.0,0.0,15913.0,0.0,11236.0,0.0,90928.0,0.0,42748.0,0,48180,0,0,0.0,12349.0,0.0,12599.0,0.0,8896.0,0.0,82024.0,0.0,33844.0,0.0,44.21
