period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,48180,48180,,,0.0,0.0,0,0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000,13000,,,,,2082.0,2082.0,1788,1788,1313.0,1313.0,5183.0,53363.0,5183.0,5183.0,,,,,2042.0,2042.0,1753.0,1753.0,1287.0,1287.0,5082.0,53262.0,5082.0,5082.0,4.53,10.0
2,2.0,2.0,13000,26000,,,,,2082.0,4165.0,1788,3576,1313.0,2626.0,5183.0,58547.0,5183.0,10367.0,,,,,2001.0,4043.0,1719.0,3472.0,1262.0,2549.0,4982.0,58244.0,4982.0,10064.0,4.53,14.52
3,3.0,3.0,13000,39000,,,,,2082.0,6247.0,1788,5364,1313.0,3939.0,5183.0,63730.0,5183.0,15550.0,,,,,1962.0,6005.0,1685.0,5156.0,1237.0,3787.0,4884.0,63128.0,4884.0,14948.0,4.53,19.05
4,4.0,4.0,13000,52000,,,,,2082.0,8329.0,1788,7152,1313.0,5252.0,5183.0,68913.0,5183.0,20733.0,,,,,1924.0,7929.0,1652.0,6808.0,1213.0,5000.0,4789.0,67917.0,4789.0,19737.0,4.53,23.58
5,5.0,5.0,13000,65000,,,,,2082.0,10412.0,1788,8940,1313.0,6565.0,5183.0,74097.0,5183.0,25917.0,,,,,1886.0,9815.0,1619.0,8428.0,1189.0,6189.0,4695.0,72611.0,4695.0,24431.0,4.53,28.11
6,6.0,6.0,13000,78000,,,,,2082.0,12494.0,1788,10728,1313.0,7878.0,5183.0,79280.0,5183.0,31100.0,,,,,1849.0,11664.0,1588.0,10015.0,1166.0,7355.0,4603.0,77214.0,4603.0,29034.0,4.53,32.63
7,7.0,7.0,13000,91000,,,,,2082.0,14576.0,1788,12516,1313.0,9191.0,5183.0,84463.0,5183.0,36283.0,,,,,1813.0,13477.0,1557.0,11572.0,1143.0,8498.0,4512.0,81727.0,4512.0,33547.0,4.53,37.16
8,8.0,8.0,13000,104000,,,,,2082.0,16659.0,1788,14304,1313.0,10504.0,5183.0,89647.0,5183.0,41467.0,,,,,1777.0,15254.0,1526.0,13098.0,1121.0,9618.0,4424.0,86150.0,4424.0,37970.0,4.53,41.69
9,9.0,9.0,13000,117000,,,,,2082.0,18741.0,1788,16092,1313.0,11817.0,5183.0,94830.0,5183.0,46650.0,,,,,1742.0,16997.0,1496.0,14594.0,1099.0,10717.0,4337.0,90488.0,4337.0,42308.0,4.53,46.21
10,10.0,10.0,13000,130000,,,,,2082.0,20823.0,1788,17880,1313.0,13130.0,5183.0,100013.0,5183.0,51833.0,,,,,1708.0,18705.0,1467.0,16061.0,1077.0,11794.0,4252.0,94740.0,4252.0,46560.0,4.53,50.74
11,11.0,11.0,13000,143000,,,,,2082.0,22906.0,1788,19668,1313.0,14443.0,5183.0,105197.0,5183.0,57017.0,,,,,1675.0,20380.0,1438.0,17499.0,1056.0,12850.0,4169.0,98909.0,4169.0,50729.0,4.53,55.27
11.5,11.5,11.5,6500,149500,,,,,1041.0,23947.0,894,20562,656.0,15100.0,2592.0,107788.0,2592.0,59608.0,,,,,829.0,21209.0,712.0,18211.0,523.0,13373.0,2064.0,100972.0,2064.0,52792.0,2.26,57.53
post-use,11.5,12.65,0,149500,0,48180,0,0,0.0,23947.0,0,20562,0.0,15100.0,0.0,107788.0,0.0,59608.0,0,48180,0,0,0.0,21209.0,0.0,18211.0,0.0,13373.0,0.0,100972.0,0.0,52792.0,0.0,57.53
