period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,2082.0,2082.0,1788.0,1788.0,1313.0,1313.0,5183.0,53363.0,5183.0,5183.0,,,,,1983.0,1983.0,1703.0,1703.0,1250.0,1250.0,4937.0,53117.0,4937.0,4937.0,4.53,10.0
2,2.0,2.0,13000.0,26000,,,,,2082.0,4165.0,1788.0,3576.0,1313.0,2626.0,5183.0,58547.0,5183.0,10367.0,,,,,1889.0,3872.0,1622.0,3325.0,1191.0,2441.0,4701.0,57818.0,4701.0,9638.0,4.53,14.52
3,3.0,3.0,13000.0,39000,,,,,2082.0,6247.0,1788.0,5364.0,1313.0,3939.0,5183.0,63730.0,5183.0,15550.0,,,,,1799.0,5671.0,1545.0,4869.0,1134.0,3576.0,4478.0,62296.0,4478.0,14116.0,4.53,19.05
4,4.0,4.0,13000.0,52000,,,,,2082.0,8329.0,1788.0,7152.0,1313.0,5252.0,5183.0,68913.0,5183.0,20733.0,,,,,1713.0,7384.0,1471.0,6340.0,1080.0,4656.0,4264.0,66560.0,4264.0,18380.0,4.53,23.58
5,5.0,5.0,13000.0,65000,,,,,2082.0,10412.0,1788.0,8940.0,1313.0,6565.0,5183.0,74097.0,5183.0,25917.0,,,,,1632.0,9015.0,1401.0,7741.0,1029.0,5685.0,4061.0,70621.0,4061.0,22441.0,4.53,28.11
6,6.0,6.0,13000.0,78000,,,,,2082.0,12494.0,1788.0,10728.0,1313.0,7878.0,5183.0,79280.0,5183.0,31100.0,,,,,1554.0,10569.0,1334.0,9075.0,980.0,6664.0,3868.0,74489.0,3868.0,26309.0,4.53,32.63
7,7.0,7.0,13000.0,91000,,,,,2082.0,14576.0,1788.0,12516.0,1313.0,9191.0,5183.0,84463.0,5183.0,36283.0,,,,,1480.0,12049.0,1271.0,10346.0,933.0,7598.0,3684.0,78173.0,3684.0,29993.0,4.53,37.16
8,8.0,8.0,13000.0,104000,,,,,2082.0,16659.0,1788.0,14304.0,1313.0,10504.0,5183.0,89647.0,5183.0,41467.0,,,,,1409.0,13459.0,1210.0,11556.0,889.0,8486.0,3508.0,81681.0,3508.0,33501.0,4.53,41.69
9,9.0,9.0,13000.0,117000,,,,,2082.0,18741.0,1788.0,16092.0,1313.0,11817.0,5183.0,94830.0,5183.0,46650.0,,,,,1342.0,14801.0,1153.0,12709.0,846.0,9333.0,3341.0,85022.0,3341.0,36842.0,4.53,46.21
10,10.0,10.0,13000.0,130000,,,,,2082.0,20823.0,1788.0,17880.0,1313.0,13130.0,5183.0,100013.0,5183.0,51833.0,,,,,1278.0,16079.0,1098.0,13806.0,806.0,10139.0,3182.0,88204.0,3182.0,40024.0,4.53,50.74
10.7,10.7,10.7,9099.99999999999,139100,,,,,1458.0,22281.0,1252.0,19132.0,919.0,14049.0,3628.0,103642.0,3628.0,55462.0,,,,,865.0,16944.0,743.0,14549.0,545.0,10684.0,2153.0,90357.0,2153.0,42177.0,3.17,53.91
post-use,10.7,11.77,0.0,139100,0,48180,0,0,0.0,22281.0,0.0,19132.0,0.0,14049.0,0.0,103642.0,0.0,55462.0,0,48180,0,0,0.0,16944.0,0.0,14549.0,0.0,10684.0,0.0,90357.0,0.0,42177.0,0.0,53.91
