period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,48180,48180,,,0.0,0.0,0,0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,1639.0,1639.0,1788,1788,1439.0,1439.0,4866.0,53046.0,4866.0,4866.0,,,,,1561.0,1561.0,1703.0,1703.0,1371.0,1371.0,4635.0,52815.0,4635.0,4635.0,4.96,10.43
2,2.0,2.0,14250,28500,,,,,1639.0,3278.0,1788,3576,1439.0,2878.0,4866.0,57913.0,4866.0,9733.0,,,,,1487.0,3048.0,1622.0,3325.0,1305.0,2676.0,4414.0,57229.0,4414.0,9049.0,4.96,15.4
3,3.0,3.0,14250,42750,,,,,1639.0,4918.0,1788,5364,1439.0,4318.0,4866.0,62779.0,4866.0,14599.0,,,,,1416.0,4464.0,1545.0,4869.0,1243.0,3919.0,4204.0,61433.0,4204.0,13253.0,4.96,20.36
4,4.0,4.0,14250,57000,,,,,1639.0,6557.0,1788,7152,1439.0,5757.0,4866.0,67646.0,4866.0,19466.0,,,,,1349.0,5813.0,1471.0,6340.0,1184.0,5104.0,4004.0,65436.0,4004.0,17256.0,4.96,25.32
5,5.0,5.0,14250,71250,,,,,1639.0,8196.0,1788,8940,1439.0,7196.0,4866.0,72512.0,4866.0,24332.0,,,,,1284.0,7097.0,1401.0,7741.0,1128.0,6231.0,3813.0,69249.0,3813.0,21069.0,4.96,30.28
6,6.0,6.0,14250,85500,,,,,1639.0,9835.0,1788,10728,1439.0,8636.0,4866.0,77379.0,4866.0,29199.0,,,,,1223.0,8320.0,1334.0,9075.0,1074.0,7305.0,3631.0,72881.0,3631.0,24701.0,4.96,35.25
7,7.0,7.0,14250,99750,,,,,1639.0,11475.0,1788,12516,1439.0,10075.0,4866.0,82245.0,4866.0,34065.0,,,,,1165.0,9485.0,1271.0,10346.0,1023.0,8328.0,3459.0,76339.0,3459.0,28159.0,4.96,40.21
8,8.0,8.0,14250,114000,,,,,1639.0,13114.0,1788,14304,1439.0,11514.0,4866.0,87112.0,4866.0,38932.0,,,,,1110.0,10595.0,1210.0,11556.0,974.0,9302.0,3294.0,79633.0,3294.0,31453.0,4.96,45.17
9,9.0,9.0,14250,128250,,,,,1639.0,14753.0,1788,16092,1439.0,12953.0,4866.0,91978.0,4866.0,43798.0,,,,,1057.0,11651.0,1153.0,12709.0,928.0,10230.0,3137.0,82770.0,3137.0,34590.0,4.96,50.13
10,10.0,10.0,14250,142500,,,,,1639.0,16392.0,1788,17880,1439.0,14392.0,4866.0,96845.0,4866.0,48665.0,,,,,1006.0,12658.0,1098.0,13806.0,884.0,11114.0,2988.0,85758.0,2988.0,37578.0,4.96,55.09
11,11.0,11.0,14250,156750,,,,,1639.0,18032.0,1788,19668,1439.0,15832.0,4866.0,101711.0,4866.0,53531.0,,,,,958.0,13616.0,1045.0,14852.0,841.0,11955.0,2845.0,88603.0,2845.0,40423.0,4.96,60.06
11.5,11.5,11.5,7125,163875,,,,,820.0,18851.0,894,20562,720.0,16551.0,2433.0,104145.0,2433.0,55965.0,,,,,468.0,14084.0,510.0,15362.0,411.0,12366.0,1388.0,89991.0,1388.0,41811.0,2.48,62.54
post-use,11.5,12.65,0,163875,0,48180,0,0,0.0,18851.0,0,20562,0.0,16551.0,0.0,104145.0,0.0,55965.0,0,48180,0,0,0.0,14084.0,0.0,15362.0,0.0,12366.0,0.0,89991.0,0.0,41811.0,0.0,62.54
